program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
31       FIELD     semihonest  shamir            3          0.33          30                 1                  4           0.0220715            0.10                 15            54         ~38           0.648352        1.62459
31       FIELD     semihonest  shamir            3          0.18          18                 1                  6           0.0249756            0.11                 15            56         ~54           0.652512        1.63685
31       FIELD     semihonest  shamir            3          0.18          18                 1                  8           0.0264163            0.11                 16            55         ~70           0.656672        1.6491
31       FIELD     semihonest  shamir            3          0.16          18                 1                  10          0.0299908            0.12                 15            61         ~86           0.660832        1.66136
31       FIELD     semihonest  shamir            3          0.17          18                 1                  12          0.0306047            0.11                 16            55         ~102          0.664992        1.67362
31       FIELD     semihonest  shamir            3          0.17          18                 1                  14          0.0352955            0.12                 16            66         ~118          0.669152        1.68587
31       FIELD     malhonest   malicious-shamir  3          0.33          30                 1                  4           0.109788             0.19                 23            78         ~48           3.53669         10.2898
31       FIELD     malhonest   malicious-shamir  3          0.18          18                 1                  6           0.124484             0.21                 23            83         ~62           3.54488         10.3143
31       FIELD     malhonest   malicious-shamir  3          0.18          18                 1                  8           0.110529             0.19                 23            76         ~76           3.55307         10.3387
31       FIELD     malhonest   malicious-shamir  3          0.16          18                 1                  10          0.117192             0.19                 23            80         ~90           3.56126         10.3632
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  12          0.116214             0.20                 21            79         ~104          3.56946         10.3876
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  14          0.11977              0.20                 25            87         ~118          3.57765         10.4121
31       RING      semihonest  replicated-ring   3          0.14          17                 1                  4           0.033475             0.12                 15            53         ~113          0.401588        0.96394
