nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;malhonest;malicious-shamir;1040;630;74;3;240;10;0.105614;23;~91;3.56158;10.3641
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;malhonest;malicious-shamir;20800;12600;1404;3;240;200;0.381233;23;~1445;9.30622;27.9059
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;malhonest;malicious-shamir;41600;25200;2804;3;240;400;0.668073;23;~2869;15.0921;45.5708
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;malhonest;malicious-shamir;62400;37800;4204;3;240;600;0.966243;23;~4293;21.198;63.2358
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;malhonest;malicious-shamir;83200;50400;5604;3;240;800;1.32379;25;~5725;28.7441;86.181
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;malhonest;malicious-shamir;104000;63000;7004;3;240;1000;1.54926;23;~7149;34.53;103.846
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;malhonest;malicious-shamir;124800;75600;8404;3;240;1200;1.85055;25;~8573;40.6359;121.511
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;malhonest;malicious-shamir;145600;88200;9804;3;240;1400;2.22479;23;~9997;46.4218;139.176
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;malhonest;malicious-shamir;166400;100800;11204;3;240;1600;6.7916;25;~11429;53.9678;162.121
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;malhonest;malicious-shamir;187200;113400;12604;3;240;1800;2.76818;23;~12853;60.0737;179.786
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;malhonest;malicious-shamir;208000;126000;14004;3;240;2000;3.0344;23;~14277;65.8596;197.451
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;malhonest;malicious-shamir;228800;138600;15404;3;240;2200;3.53652;23;~15701;71.6455;215.116
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;malhonest;malicious-shamir;249600;151200;16804;3;240;2400;3.64435;23;~17133;79.5116;238.061
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;malhonest;malicious-shamir;NA;NA;NA;3;180;10;0.100079;23;~91;3.56158;10.3641
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;malhonest;malicious-shamir;NA;NA;NA;3;180;200;0.37992;23;~1445;9.30622;27.9059
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;malhonest;malicious-shamir;NA;NA;NA;3;180;400;0.67437;25;~2869;15.0921;45.5708
