nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;bandwidths(Mbs);input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;244170;19141;100;30;38.7654;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;95;30;40.1355;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;90;30;41.924;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;85;30;43.7113;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;80;30;45.6943;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;75;30;47.9047;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;70;30;50.5896;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;65;30;53.6331;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;60;30;57.1567;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;55;30;61.3442;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;50;30;66.3481;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;45;30;72.4615;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;40;30;80.3246;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;35;30;89.991;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;30;30;103.14;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;25;30;121.467;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;20;30;149.266;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;15;30;195.18;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;10;30;287.354;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;5;30;564.337;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;244170;19141;100;30;55.1072;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;NA;NA;95;30;57.0037;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;NA;NA;90;30;59.1377;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;NA;NA;85;30;61.3335;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;NA;NA;80;30;64.1249;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;NA;NA;75;30;66.9568;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;NA;NA;70;30;70.2499;NA;992.505;NA
