program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semihonest     replicated-bin  3          142.38        3389               27                 2432        0.127163             1.11                 149           95         NA            0.30892         NA
42       BINARY    semihonest     replicated-bin  3          149.95        3558               28                 2560        0.141311             1.18                 150           94         NA            0.325176        NA
42       BINARY    semihonest     replicated-bin  3          156.89        3733               29                 2688        0.152677             1.26                 151           93         NA            0.341432        NA
42       BINARY    semihonest     replicated-bin  3          165.19        3915               31                 2816        0.144573             1.27                 151           95         NA            0.357688        NA
42       BINARY    semihonest     replicated-bin  3          170.35        4067               32                 2944        0.145283             1.30                 151           96         NA            0.373944        NA
42       BINARY    semihonest     replicated-bin  3          180.13        4225               33                 3072        0.169533             1.43                 153           91         NA            0.3902          NA
42       BINARY    semihonest     replicated-bin  3          186.13        4377               35                 3200        0.162926             1.42                 153           95         NA            0.406456        NA
42       BINARY    semihonest     replicated-bin  3          195.09        4545               36                 3328        0.162571             1.46                 154           95         NA            0.422712        NA
42       BINARY    semihonest     replicated-bin  3          201.40        4702               38                 3456        0.198446             1.59                 155           92         NA            0.438968        NA
42       BINARY    semihonest     replicated-bin  3          207.28        4820               39                 3584        0.201817             1.62                 158           92         NA            0.455224        NA
42       BINARY    semihonest     replicated-bin  3          214.26        5007               40                 3712        0.171383             1.60                 163           95         NA            0.47148         NA
42       BINARY    semihonest     replicated-bin  3          224.81        5157               42                 3840        0.194015             1.68                 169           94         NA            0.487736        NA
42       BINARY    semihonest     replicated-bin  3          231.29        5316               43                 3968        0.195791             1.78                 174           92         NA            0.503992        NA
42       BINARY    semihonest     replicated-bin  3          240.09        5667               44                 4096        0.192635             1.85                 290           95         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          241.60        5979               46                 4224        0.21102              1.93                 290           95         NA            0.536504        NA
42       BINARY    semihonest     replicated-bin  3          257.17        6115               47                 4352        0.220511             2.10                 291           95         NA            0.55276         NA
