comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;bandwidths(Mbs);input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.56;217;1;128;1;0;1;25000;4096;0;0;0.004602;NA;0.033867;0.026890;0.026889;0.05;35;109
1.73;218;1;128;1;0;1;25000;4096;0;1;.000614;NA;.004697;.004061;.004061;1.73;218;99
1.53;217;1;128;1;0;1;25000;8192;0;0;0.004963;NA;0.038772;0.048305;0.048304;0.10;67;66
1.61;218;1;128;1;0;1;25000;8192;0;1;.001254;NA;.007909;.009653;.009653;1.61;218;99
1.61;218;1;128;1;0;1;25000;40960;0;0;0.050374;NA;0.319155;0.250284;0.250282;0.44;321;115
1.74;219;1;128;1;0;1;25000;40960;0;1;.007338;NA;.053296;.043508;.043508;1.74;219;99
1.59;218;1;128;1;0;1;23000;4096;0;0;0.004810;NA;0.030606;0.024075;0.024074;0.04;37;114
1.58;217;1;128;1;0;1;23000;4096;0;1;.000583;NA;.005809;.004831;.004831;1.58;217;100
1.57;218;1;128;1;0;1;23000;8192;0;0;0.007387;NA;0.048351;0.043166;0.043166;0.08;67;97
1.73;218;1;128;1;0;1;23000;8192;0;1;.001202;NA;.007843;.008101;.008101;1.73;218;99
1.47;217;1;128;1;0;1;23000;40960;0;0;0.051382;NA;0.319825;0.245536;0.245535;0.44;321;116
1.76;217;1;128;1;0;1;23000;40960;0;1;.007240;NA;.051841;.044134;.044134;1.76;217;99
1.84;217;1;128;1;0;1;21000;4096;0;0;0.004667;NA;0.031514;0.028460;0.028459;0.05;35;103
1.52;218;1;128;1;0;1;21000;4096;0;1;.000592;NA;.004829;.004589;.004589;1.52;218;100
1.62;218;1;128;1;0;1;21000;8192;0;0;0.007548;NA;0.049243;0.044145;0.044144;0.08;67;100
1.72;218;1;128;1;0;1;21000;8192;0;1;.001162;NA;.007869;.009708;.009708;1.72;218;99
1.77;218;1;128;1;0;1;21000;40960;0;0;0.051932;NA;0.318182;0.247247;0.247246;0.44;321;115
1.57;218;1;128;1;0;1;21000;40960;0;1;.007727;NA;.049364;.041926;.041926;1.57;218;100
1.75;218;1;128;1;0;1;19000;4096;0;0;0.003593;NA;0.027704;0.024973;0.024972;0.05;35;94
1.76;218;1;128;1;0;1;19000;4096;0;1;.000593;NA;.003857;.005535;.005535;1.76;218;99
1.67;218;1;128;1;0;1;19000;8192;0;0;0.007063;NA;0.042684;0.040802;0.040801;0.09;67;93
1.73;217;1;128;1;0;1;19000;8192;0;1;.001201;NA;.007704;.009334;.009334;1.73;217;99
1.77;218;1;128;1;0;1;19000;40960;0;0;0.049794;NA;0.295643;0.220432;0.220431;0.41;321;118
1.56;217;1;128;1;0;1;19000;40960;0;1;.008161;NA;.051827;.044213;.044213;1.56;217;99
1.78;217;1;128;1;0;1;17000;4096;0;0;0.003444;NA;0.023376;0.025015;0.025014;0.05;35;81
1.80;221;1;128;1;0;1;17000;4096;0;1;.000640;NA;.006767;.005324;.005324;1.80;221;100
1.74;218;1;128;1;0;1;17000;8192;0;0;0.006745;NA;0.043090;0.036476;0.036475;0.06;67;107
1.46;218;1;128;1;0;1;17000;8192;0;1;.001143;NA;.007623;.007550;.007550;1.46;218;100
1.91;217;1;128;1;0;1;17000;40960;0;0;0.051369;NA;0.313384;0.244280;0.244279;0.44;321;115
1.58;218;1;128;1;0;1;17000;40960;0;1;.007250;NA;.055396;.043808;.043808;1.58;218;100
1.56;219;1;128;1;0;1;15000;4096;0;0;0.004515;NA;0.034300;0.027844;0.027843;0.05;35;113
1.92;217;1;128;1;0;1;15000;4096;0;1;.000586;NA;.007012;.005101;.005100;1.92;217;99
1.78;218;1;128;1;0;1;15000;8192;0;0;0.009390;NA;0.063735;0.050250;0.050249;0.09;67;114
1.55;219;1;128;1;0;1;15000;8192;0;1;.001145;NA;.009869;.008232;.008232;1.55;219;99
1.60;219;1;128;1;0;1;15000;40960;0;0;0.050265;NA;0.281076;0.240632;0.240631;0.43;321;108
1.62;218;1;128;1;0;1;15000;40960;0;1;.007519;NA;.051609;.044544;.044544;1.62;218;99
1.79;217;1;128;1;0;1;13000;4096;0;0;0.003425;NA;0.028924;0.026172;0.026171;0.05;37;96
1.59;219;1;128;1;0;1;13000;4096;0;1;.000571;NA;.003813;.003835;.003834;1.59;219;99
1.77;219;1;128;1;0;1;13000;8192;0;0;0.009154;NA;0.065214;0.054732;0.054731;0.09;67;111
1.46;218;1;128;1;0;1;13000;8192;0;1;.001259;NA;.008046;.009411;.009411;1.46;218;99
1.75;218;1;128;1;0;1;13000;40960;0;0;0.050184;NA;0.276301;0.232094;0.232093;0.42;321;110
1.61;217;1;128;1;0;1;13000;40960;0;1;.006794;NA;.051989;.044675;.044675;1.61;217;100
1.85;218;1;128;1;0;1;11000;4096;0;0;0.004521;NA;0.032513;0.026431;0.026430;0.04;35;112
1.75;218;1;128;1;0;1;11000;4096;0;1;.000586;NA;.003536;.004626;.004626;1.75;218;99
1.56;219;1;128;1;0;1;11000;8192;0;0;0.009419;NA;0.063824;0.048825;0.048824;0.09;67;113
1.60;217;1;128;1;0;1;11000;8192;0;1;.001167;NA;.010352;.008178;.008178;1.60;217;100
1.81;218;1;128;1;0;1;11000;40960;0;0;0.050175;NA;0.311624;0.246202;0.246201;0.44;321;114
1.72;218;1;128;1;0;1;11000;40960;0;1;.007963;NA;.055288;.053373;.053373;1.72;218;99
