nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;17;4;1.02914;260;~135;41.0162;123.048
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;37;6;1.00701;258;~215;41.0174;123.051
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;65;8;1.02591;258;~327;41.0192;123.056
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;82;9;1.03863;256;~395;41.0203;123.058
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;101;10;1.07345;260;~471;41.0215;123.061
todd,ned,rod;32_matrix_add;FIELD;maldishonest;lowgear;NA;NA;17;4;506.54;1245;~119;1.60024;4.80012
todd,ned,rod;32_matrix_add;FIELD;maldishonest;lowgear;NA;NA;37;6;1.01654;59;~199;1.60152;4.80332
todd,ned,rod;32_matrix_add;FIELD;maldishonest;lowgear;NA;NA;65;8;1.04216;59;~311;1.60332;4.8078
todd,ned,rod;32_matrix_add;FIELD;maldishonest;lowgear;NA;NA;82;9;0.986059;59;~379;1.6044;4.81052
todd,ned,rod;32_matrix_add;FIELD;maldishonest;lowgear;NA;NA;101;10;1.00791;61;~455;1.60562;4.81356
todd,ned,rod;32_matrix_add;FIELD;maldishonest;highgear;NA;NA;17;4;1169.72;2614;~130;107.083;321.247
todd,ned,rod;32_matrix_add;FIELD;maldishonest;highgear;NA;NA;37;6;24.1996;269;~210;107.084;321.248
todd,ned,rod;32_matrix_add;FIELD;maldishonest;highgear;NA;NA;65;8;24.1983;271;~322;107.085;321.251
todd,ned,rod;32_matrix_add;FIELD;maldishonest;highgear;NA;NA;82;9;24.2002;269;~390;107.086;321.256
todd,ned,rod;32_matrix_add;FIELD;maldishonest;highgear;NA;NA;101;10;24.1418;269;~466;107.088;321.26
todd,ned,rod;32_matrix_add;FIELD;covertdishonest;cowgear;NA;NA;17;4;6.81439;134;~119;1.60024;4.80012
