program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semihonest  replicated-bin  3          237.48        5652               44                 4096        2               0.196167             1.82                 290           97         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 4096        4               0.231064             1.82                 290           95         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 4096        6               1.37581              6.06                 290           33         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 4096        8               1.57578              6.44                 292           28         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 4096        10              9.80222              13.44                290           26         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 4096        12              7.78473              10.43                292           21         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 4096        14              3.55187              10.49                290           17         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 4096        16              5.27239              8.95                 290           20         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 4096        18              7.10279              14.83                290           12         NA            0.520248        NA
