comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;bandwidths(Mbs);input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.50;232;1;256;1;0;1;70000;8192;0;0;0.005245;NA;0.054603;0.074822;0.074821;0.15;130;72
1.46;233;1;256;1;0;1;70000;8192;0;1;.000829;NA;.010135;.045076;.045076;1.46;233;99
1.49;232;1;256;1;0;1;50000;8192;0;0;0.005045;NA;0.060515;0.296331;0.296330;0.37;130;36
1.48;233;1;256;1;0;1;50000;8192;0;1;.000810;NA;.010549;.053760;.053760;1.48;233;100
1.48;233;1;256;1;0;1;40000;8192;0;0;0.005006;NA;0.052907;0.092211;0.092210;0.17;130;73
1.51;232;1;256;1;0;1;40000;8192;0;1;.000799;NA;.010173;.071100;.071100;1.51;232;100
1.47;231;1;256;1;0;1;30000;8192;0;0;0.004802;NA;0.053003;0.153394;0.153393;0.22;134;56
1.49;232;1;256;1;0;1;30000;8192;0;1;.000804;NA;.009913;.080432;.080432;1.49;232;99
1.48;233;1;256;1;0;1;20000;8192;0;0;0.004840;NA;0.062689;0.296581;0.296580;0.38;130;37
1.49;232;1;256;1;0;1;20000;8192;0;1;.000831;NA;.009665;.093640;.093640;1.49;232;100
1.50;233;1;256;1;0;1;10000;8192;0;0;0.004774;NA;0.058308;0.480214;0.480213;0.55;130;24
1.49;233;1;256;1;0;1;10000;8192;0;1;.000946;NA;.011733;.138612;.138612;1.49;233;99
1.50;231;1;256;1;0;1;9000;8192;0;0;0.004786;NA;0.056329;0.789313;0.789313;0.86;130;13
1.48;233;1;256;1;0;1;9000;8192;0;1;.000812;NA;.011027;.153678;.153678;1.48;233;99
1.49;232;1;256;1;0;1;8000;8192;0;0;0.005198;NA;0.056742;0.372119;0.372119;0.44;130;29
1.50;233;1;256;1;0;1;8000;8192;0;1;.000809;NA;.011044;.169078;.169078;1.50;233;100
1.49;232;1;256;1;0;1;7000;8192;0;0;0.004771;NA;0.052501;0.475190;0.475189;0.55;131;20
1.50;232;1;256;1;0;1;7000;8192;0;1;.000855;NA;.010729;.145544;.145544;1.50;232;99
1.50;232;1;256;1;0;1;6000;8192;0;0;0.004739;NA;0.061665;0.440873;0.440872;0.51;131;26
1.49;232;1;256;1;0;1;6000;8192;0;1;.000795;NA;.011366;.179488;.179488;1.49;232;99
1.50;232;1;256;1;0;1;5000;8192;0;0;0.004708;NA;0.062379;0.571323;0.571322;0.65;131;21
1.48;232;1;256;1;0;1;5000;8192;0;1;.000842;NA;.011196;.203643;.203643;1.48;232;99
1.49;232;1;256;1;0;1;4000;8192;0;0;0.004719;NA;0.073808;0.458771;0.458770;0.54;130;26
1.49;233;1;256;1;0;1;4000;8192;0;1;.000807;NA;.011188;.218015;.218015;1.49;233;99
1.45;232;1;256;1;0;1;3000;8192;0;0;0.004713;NA;0.057656;0.618082;0.618081;0.69;131;18
1.48;232;1;256;1;0;1;3000;8192;0;1;.000806;NA;.010862;.271396;.271396;1.48;232;100
1.49;233;1;256;1;0;1;2000;8192;0;0;0.004894;NA;0.062563;0.598387;0.598386;0.67;130;20
1.50;233;1;256;1;0;1;2000;8192;0;1;.000889;NA;.009931;.280626;.280626;1.50;233;99
1.51;232;1;256;1;0;1;1000;8192;0;0;0.004715;NA;0.068061;0.853184;0.853184;0.93;131;15
1.50;233;1;256;1;0;1;1000;8192;0;1;.000837;NA;.012054;.422443;.422443;1.50;233;99
1.48;232;1;256;1;0;2;70000;8192;0;0;0.007995;NA;0.049515;0.090065;0.090064;0.16;147;75
