nodes;program;c.domain;adv.model;protocol;partysize;cpus;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;800;10;0.0167829;NA;~88;0.661152;1.66184
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;800;200;0.130886;NA;~1612;2.02243;6.03528
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;800;400;0.251499;NA;~3216;3.40483;10.4705
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;800;600;0.371776;NA;~4820;5.10723;14.9057
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;800;800;0.488849;NA;~6424;6.48963;19.3409
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;800;1000;0.597029;NA;~8028;7.87203;23.7761
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;800;1200;0.721325;NA;~9632;9.57443;28.2113
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;800;1400;0.878095;NA;~11236;10.9568;32.6465
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;800;1600;0.980888;NA;~12840;12.3392;37.0817
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;800;1800;1.09893;NA;~14444;14.0416;41.5169
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;800;2000;1.21401;NA;~16048;15.424;45.9521
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;400;10;0.0159666;NA;~88;0.661152;1.66184
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;400;200;0.132512;NA;~1612;2.02243;6.03528
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;400;400;0.2528;NA;~3216;3.40483;10.4705
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;400;600;0.380863;NA;~4820;5.10723;14.9057
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;400;800;0.490179;NA;~6424;6.48963;19.3409
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;400;1000;0.606485;NA;~8028;7.87203;23.7761
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;400;1200;0.736212;NA;~9632;9.57443;28.2113
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;400;1400;0.841526;NA;~11236;10.9568;32.6465
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;400;1600;0.972376;NA;~12840;12.3392;37.0817
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;400;1800;1.07956;NA;~14444;14.0416;41.5169
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;400;2000;1.20945;NA;~16048;15.424;45.9521
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;320;10;0.0162662;NA;~88;0.661152;1.66184
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;320;200;0.128305;NA;~1612;2.02243;6.03528
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;320;400;0.243147;NA;~3216;3.40483;10.4705
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;320;600;0.365712;NA;~4820;5.10723;14.9057
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;320;800;0.499261;NA;~6424;6.48963;19.3409
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;320;1000;0.613036;NA;~8028;7.87203;23.7761
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;320;1200;0.745951;NA;~9632;9.57443;28.2113
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;320;1400;0.826647;NA;~11236;10.9568;32.6465
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;320;1600;0.964408;NA;~12840;12.3392;37.0817
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;320;1800;1.0761;NA;~14444;14.0416;41.5169
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;320;2000;1.23021;NA;~16048;15.424;45.9521
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;240;10;0.0171334;NA;~88;0.661152;1.66184
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;240;200;0.129799;NA;~1612;2.02243;6.03528
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;240;400;0.2592;NA;~3216;3.40483;10.4705
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;240;600;0.373305;NA;~4820;5.10723;14.9057
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;240;800;0.484581;NA;~6424;6.48963;19.3409
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;240;1000;0.606408;NA;~8028;7.87203;23.7761
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;240;1200;0.718352;NA;~9632;9.57443;28.2113
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;240;1400;0.839007;NA;~11236;10.9568;32.6465
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;240;1600;0.969594;NA;~12840;12.3392;37.0817
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;240;1800;1.09323;NA;~14444;14.0416;41.5169
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;240;2000;1.20499;NA;~16048;15.424;45.9521
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;160;10;0.0168082;NA;~88;0.661152;1.66184
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;160;200;0.128411;NA;~1612;2.02243;6.03528
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;160;400;0.268108;NA;~3216;3.40483;10.4705
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;160;600;0.400797;NA;~4820;5.10723;14.9057
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;160;800;0.523387;NA;~6424;6.48963;19.3409
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;160;1000;0.654872;NA;~8028;7.87203;23.7761
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;160;1200;0.750434;NA;~9632;9.57443;28.2113
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;160;1400;0.889951;NA;~11236;10.9568;32.6465
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;160;1600;1.00365;NA;~12840;12.3392;37.0817
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;160;1800;1.17614;NA;~14444;14.0416;41.5169
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;8;2.6;160;2000;1.26882;NA;~16048;15.424;45.9521
