nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;cpus;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;5292;1198;8;3;3;0.0212274;11;NA;0.16992;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;21168;4789;8;3;6;0.040025;12;NA;0.67968;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;47628;10774;8;3;9;0.0780859;14;NA;1.52928;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;84672;19153;8;3;12;0.118735;17;NA;2.71872;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;132300;29926;8;3;15;0.170823;20;NA;4.248;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;190512;43093;8;3;18;0.248756;24;NA;6.11712;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;259308;58654;8;3;21;0.327409;29;NA;8.32608;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;338688;76609;8;3;24;0.462177;35;NA;10.8749;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;428652;96958;8;3;27;0.625458;42;NA;13.7635;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;529200;119701;8;3;30;0.675633;47;NA;16.992;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;640332;144838;8;3;33;0.817861;57;NA;20.5603;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2.2;3;0.02042;11;NA;0.16992;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2.2;6;0.0413024;12;NA;0.67968;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2.2;9;0.0697141;16;NA;1.52928;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2.2;12;0.118202;16;NA;2.71872;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2.2;15;0.176137;22;NA;4.248;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2.2;18;0.23934;26;NA;6.11712;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2.2;21;0.332188;30;NA;8.32608;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2.2;24;0.435413;34;NA;10.8749;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2.2;27;0.609934;42;NA;13.7635;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2.2;30;0.682172;47;NA;16.992;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2.2;33;0.833626;56;NA;20.5603;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2;3;0.0224002;11;NA;0.16992;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2;6;0.0422788;14;NA;0.67968;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2;9;0.0725924;14;NA;1.52928;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2;12;0.12315;17;NA;2.71872;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2;15;0.182741;22;NA;4.248;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2;18;0.256786;26;NA;6.11712;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2;21;0.34544;30;NA;8.32608;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2;24;0.452591;34;NA;10.8749;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2;27;0.574685;41;NA;13.7635;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2;30;0.707883;48;NA;16.992;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;2;33;0.907181;55;NA;20.5603;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.8;3;0.0220774;11;NA;0.16992;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.8;6;0.0432027;12;NA;0.67968;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.8;9;0.0795061;14;NA;1.52928;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.8;12;0.135697;17;NA;2.71872;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.8;15;0.188395;20;NA;4.248;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.8;18;0.268418;24;NA;6.11712;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.8;21;0.371658;30;NA;8.32608;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.8;24;0.481207;35;NA;10.8749;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.8;27;0.671345;40;NA;13.7635;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.8;30;0.885753;47;NA;16.992;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.8;33;0.901421;57;NA;20.5603;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.6;3;0.0229066;11;NA;0.16992;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.6;6;0.0472254;14;NA;0.67968;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.6;9;0.0803674;14;NA;1.52928;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.6;12;0.127427;17;NA;2.71872;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.6;15;0.194581;20;NA;4.248;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.6;18;0.294368;24;NA;6.11712;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.6;21;0.399991;27;NA;8.32608;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.6;24;0.597582;34;NA;10.8749;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.6;27;0.656518;40;NA;13.7635;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.6;30;0.802698;49;NA;16.992;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;8;1.6;33;0.978061;56;NA;20.5603;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;3;3;0.0215731;11;NA;0.16992;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;3;6;0.0434129;10;NA;0.67968;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;3;9;0.0797078;12;NA;1.52928;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;3;12;0.115975;16;NA;2.71872;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;3;15;0.184602;18;NA;4.248;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;3;18;0.257229;24;NA;6.11712;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;3;21;0.343282;29;NA;8.32608;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;3;24;0.459944;35;NA;10.8749;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;3;27;0.564523;40;NA;13.7635;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;3;30;0.685032;47;NA;16.992;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;3;33;0.856357;56;NA;20.5603;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2.2;3;0.0222142;11;NA;0.16992;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2.2;6;0.0436794;10;NA;0.67968;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2.2;9;0.0791787;14;NA;1.52928;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2.2;12;0.135122;16;NA;2.71872;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2.2;15;0.205603;18;NA;4.248;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2.2;18;0.246122;24;NA;6.11712;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2.2;21;0.337286;29;NA;8.32608;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2.2;24;0.44352;34;NA;10.8749;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2.2;27;0.549165;40;NA;13.7635;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2.2;30;0.68036;49;NA;16.992;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2.2;33;0.824117;57;NA;20.5603;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2;3;0.0212275;9;NA;0.16992;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2;6;0.0444588;10;NA;0.67968;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2;9;0.0748124;14;NA;1.52928;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2;12;0.120641;15;NA;2.71872;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2;15;0.193879;19;NA;4.248;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2;18;0.309303;24;NA;6.11712;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2;21;0.345005;28;NA;8.32608;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2;24;0.503252;35;NA;10.8749;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2;27;0.625026;42;NA;13.7635;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2;30;0.786914;49;NA;16.992;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;2;33;1.05322;57;NA;20.5603;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;1.8;3;0.0225989;11;NA;0.16992;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;1.8;6;0.0459402;12;NA;0.67968;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;1.8;9;0.078596;13;NA;1.52928;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;1.8;12;0.143288;15;NA;2.71872;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semidishonest;yao;NA;NA;NA;4;1.8;15;0.199192;18;NA;4.248;NA
