program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
42;BINARY;semidishonest;yao;2;237.12;5653;44;3000;4096;0.49423;2.16;290;97;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;1000;4096;0.496291;2.10;290;97;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;900;4096;0.496939;2.08;290;96;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;800;4096;0.524869;2.12;290;97;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;700;4096;0.529848;2.11;290;97;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;600;4096;0.534547;2.14;290;97;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;500;4096;0.563107;2.15;290;97;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;400;4096;0.58988;2.19;290;96;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;300;4096;0.649136;2.24;292;97;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;200;4096;0.748068;2.33;290;97;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;100;4096;1.11095;2.73;290;96;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;50;4096;1.80255;3.38;290;96;NA;8.25754;NA
42;BINARY;semidishonest;yaoO;2;237.12;5653;44;3000;4096;0.47439;2.13;290;84;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;1000;4096;0.471781;2.07;290;87;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;900;4096;0.493572;2.09;290;86;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;800;4096;0.50076;2.12;290;85;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;700;4096;0.510077;2.10;290;86;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;600;4096;0.511066;2.10;290;86;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;500;4096;0.542385;2.13;290;85;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;400;4096;0.579389;2.17;290;84;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;300;4096;0.642762;2.24;290;81;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;200;4096;0.75248;2.35;290;78;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;100;4096;1.09068;2.68;290;70;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;50;4096;1.77516;3.37;290;56;NA;0;NA
42;BINARY;semihonest;replicated-bin;3;237.12;5653;44;3000;4096;0.195569;1.85;290;96;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1000;4096;0.201065;1.87;290;95;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;900;4096;0.190262;1.86;290;95;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;800;4096;0.207704;1.92;290;95;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;700;4096;0.18898;1.83;290;96;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;600;4096;0.192921;1.84;290;96;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;500;4096;0.202828;1.85;290;95;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;400;4096;0.198186;1.83;290;96;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;300;4096;0.195769;1.89;290;95;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;200;4096;0.207775;1.86;290;96;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;100;4096;0.210719;1.86;290;95;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;50;4096;0.242227;1.87;290;94;NA;0.520248;NA
