comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
3.12;233;1;256;1;0;1;512;0;1;.000282;NA;.001794;.002125;.002125;3.12;233;99
3.11;233;1;256;1;0;1;1024;0;1;.000602;NA;.003818;.003738;.003738;3.11;233;100
3.09;234;1;256;1;0;1;1536;0;1;.000784;NA;.005909;.005484;.005484;3.09;234;99
3.11;233;1;256;1;0;1;2048;0;1;.001068;NA;.007685;.007417;.007417;3.11;233;100
3.11;234;1;256;1;0;1;2560;0;1;.001299;NA;.010091;.008667;.008667;3.11;234;99
3.13;235;1;256;1;0;1;3072;0;1;.001291;NA;.010293;.011827;.011827;3.13;235;100
3.11;233;1;256;1;0;1;3584;0;1;.001669;NA;.013679;.013148;.013147;3.11;233;100
3.12;235;1;256;1;0;1;4096;0;1;.002140;NA;.014532;.013956;.013955;3.12;235;99
3.11;235;1;256;1;0;1;4608;0;1;.002257;NA;.016863;.016415;.016415;3.11;235;100
3.12;235;1;256;1;0;1;5120;0;1;.002622;NA;.018363;.016531;.016531;3.12;235;99
3.11;235;1;256;1;0;1;5632;0;1;.002236;NA;.018934;.019127;.019127;3.11;235;99
3.11;234;1;256;1;0;1;6144;0;1;.003250;NA;.022729;.020817;.020817;3.11;234;99
3.12;234;1;256;1;0;1;6656;0;1;.003452;NA;.023737;.021567;.021566;3.12;234;100
3.11;235;1;256;1;0;1;7168;0;1;.003771;NA;.025907;.024431;.024431;3.11;235;99
3.10;234;1;256;1;0;1;7680;0;1;.003922;NA;.028205;.026469;.026469;3.10;234;99
3.10;234;1;256;1;0;1;8192;0;1;.004693;NA;.030738;.028028;.028027;3.10;234;99
3.07;234;1;256;1;0;2;512;0;1;.000427;NA;.001803;.002326;.002325;3.07;234;99
3.06;234;1;256;1;0;2;1024;0;1;.000744;NA;.003828;.004549;.004549;3.06;234;99
3.05;233;1;256;1;0;2;1536;0;1;.000976;NA;.005296;.006574;.006574;3.05;233;99
3.03;234;1;256;1;0;2;2048;0;1;.001607;NA;.006875;.007857;.007856;3.03;234;100
3.05;234;1;256;1;0;2;2560;0;1;.002044;NA;.007789;.009890;.009890;3.05;234;99
3.05;236;1;256;1;0;2;3072;0;1;.002066;NA;.010454;.012800;.012800;3.05;236;99
3.06;234;1;256;1;0;2;3584;0;1;.003096;NA;.012695;.014521;.014521;3.06;234;100
3.05;238;1;256;1;0;2;4096;0;1;.002810;NA;.011478;.016326;.016325;3.05;238;100
3.08;233;1;256;1;0;2;4608;0;1;.003062;NA;.014672;.019309;.019309;3.08;233;99
3.07;234;1;256;1;0;2;5120;0;1;.004469;NA;.014949;.020408;.020408;3.07;234;100
3.05;234;1;256;1;0;2;5632;0;1;.004865;NA;.017256;.021156;.021155;3.05;234;100
3.05;233;1;256;1;0;2;6144;0;1;.005273;NA;.019214;.022991;.022990;3.05;233;99
3.05;233;1;256;1;0;2;6656;0;1;.005798;NA;.020984;.024929;.024929;3.05;233;99
3.06;233;1;256;1;0;2;7168;0;1;.006521;NA;.022689;.026729;.026729;3.06;233;100
3.05;234;1;256;1;0;2;7680;0;1;.005511;NA;.029995;.031852;.031852;3.05;234;99
3.06;233;1;256;1;0;2;8192;0;1;.007295;NA;.024610;.031404;.031404;3.06;233;100
2.99;232;1;256;1;0;3;512;0;1;.000450;NA;.001390;.002159;.002159;2.99;232;100
