nodes;program;c.domain;adv.model;protocol;partysize;latencies(ms);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;0;30;2.28549;NA;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;5;30;78.8991;NA;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;10;30;152.47;NA;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;15;30;226.111;NA;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;20;30;299.768;NA;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;25;30;373.453;NA;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;30;30;447.248;NA;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;35;30;525.821;NA;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;40;30;600.102;NA;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;0;30;3.05345;NA;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;5;30;80.3622;NA;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;10;30;155.149;NA;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;15;30;229.56;NA;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;20;30;304.073;NA;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;25;30;378.565;NA;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;30;30;453.162;NA;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;35;30;539.25;NA;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;40;30;615.425;NA;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;sy-rep-field;3;0;30;4.26008;NA;~15046;18.6704;56.1713
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;sy-rep-field;3;5;30;82.7819;NA;~15046;18.6704;56.1713
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;sy-rep-field;3;10;30;158.338;NA;~15046;18.6704;56.1713
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;sy-rep-field;3;15;30;233.763;NA;~15046;18.6704;56.1713
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;sy-rep-field;3;20;30;309.198;NA;~15046;18.6704;56.1713
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;sy-rep-field;3;25;30;384.548;NA;~15046;18.6704;56.1713
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;sy-rep-field;3;30;30;460.131;NA;~15046;18.6704;56.1713
