comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;bandwidths(Mbs);input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.67;216;1;256;1;0;1;25000;40960;0;0;0.067385;NA;0.489125;0.345573;0.345572;0.70;638;120
1.56;216;1;256;1;0;1;25000;40960;0;1;.009812;NA;.072205;.053848;.053848;1.56;216;99
1.93;217;1;256;1;0;1;24000;40960;0;0;0.067144;NA;0.445304;0.298457;0.298456;0.66;638;122
1.70;216;1;256;1;0;1;24000;40960;0;1;.010240;NA;.074712;.059018;.059018;1.70;216;99
1.81;216;1;256;1;0;1;23000;40960;0;0;0.039888;NA;0.362898;0.298947;0.298945;0.67;639;90
1.71;216;1;256;1;0;1;23000;40960;0;1;.010168;NA;.074817;.058315;.058315;1.71;216;99
1.73;215;1;256;1;0;1;22000;40960;0;0;0.067597;NA;0.469030;0.303864;0.303863;0.67;638;122
1.68;217;1;256;1;0;1;22000;40960;0;1;.008968;NA;.072918;.057295;.057295;1.68;217;99
1.82;215;1;256;1;0;1;21000;40960;0;0;0.066995;NA;0.430072;0.333197;0.333196;0.70;639;113
1.74;216;1;256;1;0;1;21000;40960;0;1;.009958;NA;.073464;.057341;.057341;1.74;216;99
1.87;215;1;256;1;0;1;20000;40960;0;0;0.039936;NA;0.350332;0.265711;0.265710;0.63;639;96
1.65;216;1;256;1;0;1;20000;40960;0;1;.009372;NA;.074180;.059511;.059511;1.65;216;99
1.83;215;1;256;1;0;1;19000;40960;0;0;0.067694;NA;0.487378;0.342519;0.342518;0.71;638;117
1.69;217;1;256;1;0;1;19000;40960;0;1;.009187;NA;.072501;.056089;.056089;1.69;217;99
1.71;219;1;256;1;0;1;18000;40960;0;0;0.040148;NA;0.390277;0.401312;0.401311;0.75;640;84
1.56;217;1;256;1;0;1;18000;40960;0;1;.011579;NA;.073871;.057769;.057768;1.56;217;99
1.79;215;1;256;1;0;1;17000;40960;0;0;0.041954;NA;0.366457;0.295396;0.295395;0.66;638;99
1.49;216;1;256;1;0;1;17000;40960;0;1;.009928;NA;.073126;.059032;.059032;1.49;216;99
1.77;217;1;256;1;0;1;16000;40960;0;0;0.041061;NA;0.373301;0.297287;0.297286;0.65;638;94
1.70;217;1;256;1;0;1;16000;40960;0;1;.008578;NA;.072823;.058507;.058507;1.70;217;99
1.70;215;1;256;1;0;1;15000;40960;0;0;0.062894;NA;0.344608;0.245550;0.245549;0.59;639;116
1.69;216;1;256;1;0;1;15000;40960;0;1;.009745;NA;.073221;.058705;.058705;1.69;216;99
1.83;216;1;256;1;0;1;14000;40960;0;0;0.046278;NA;0.341856;0.288530;0.288529;0.64;638;104
1.72;216;1;256;1;0;1;14000;40960;0;1;.010062;NA;.070976;.063380;.063380;1.72;216;99
1.59;216;1;256;1;0;1;13000;40960;0;0;0.067364;NA;0.488901;0.345242;0.345241;0.70;638;120
1.54;215;1;256;1;0;1;13000;40960;0;1;.009967;NA;.071910;.069548;.069548;1.54;215;99
1.77;217;1;256;1;0;1;12000;40960;0;0;0.048264;NA;0.360478;0.303954;0.303953;0.66;638;104
1.57;217;1;256;1;0;1;12000;40960;0;1;.008981;NA;.072593;.067129;.067128;1.57;217;99
1.67;217;1;256;1;0;1;11000;40960;0;0;0.046678;NA;0.343109;0.284327;0.284325;0.64;638;102
1.57;216;1;256;1;0;1;11000;40960;0;1;.009166;NA;.070692;.073531;.073531;1.57;216;99
1.55;216;1;256;1;0;1;10000;40960;0;0;0.061762;NA;0.339132;0.236430;0.236429;0.58;638;117
1.54;217;1;256;1;0;1;10000;40960;0;1;.009037;NA;.075338;.097410;.097410;1.54;217;99
1.43;216;1;256;1;0;1;9000;40960;0;0;0.056348;NA;0.344111;0.293742;0.293741;0.65;638;106
1.57;216;1;256;1;0;1;9000;40960;0;1;.009177;NA;.074348;.082927;.082927;1.57;216;99
