comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;protocol;input_size;preprocess;splitroles;inittime(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.92;231;1;1;1;512;0;0;0.000357;0.002330;0.003273;0.003272;0.01;5;75
2.94;231;1;1;1;1024;0;0;0.000524;0.003111;0.004327;0.004326;0.01;6;80
2.93;231;1;1;1;1536;0;0;0.001127;0.005737;0.007226;0.007225;0.01;5;80
2.92;234;1;1;1;2048;0;0;0.001076;0.005922;0.008172;0.008171;0.01;4;83
2.93;231;1;1;1;2560;0;0;0.001348;0.007135;0.009521;0.009520;0.01;4;86
2.95;232;1;1;1;3072;0;0;0.002321;0.010541;0.012904;0.012903;0.02;5;90
2.92;231;1;1;1;3584;0;0;0.001898;0.009953;0.012879;0.012878;0.01;5;84
2.93;231;1;1;1;4096;0;0;0.002192;0.010588;0.015014;0.015012;0.02;5;75
2.92;230;1;1;2;512;0;0;0.000348;0.002806;0.004247;0.004246;0.00;4;85
2.91;231;1;1;2;1024;0;0;0.001232;0.005663;0.007681;0.007680;0.01;5;85
2.91;231;1;1;2;1536;0;0;0.001934;0.007585;0.010353;0.010352;0.01;6;88
2.92;230;1;1;2;2048;0;0;0.002547;0.010052;0.012251;0.012250;0.01;4;89
2.94;231;1;1;2;2560;0;0;0.003081;0.012287;0.016509;0.016508;0.02;6;80
2.91;230;1;1;2;3072;0;0;0.003626;0.014486;0.019060;0.019059;0.02;5;82
2.90;230;1;1;2;3584;0;0;0.002920;0.012638;0.019929;0.019927;0.03;5;65
2.94;231;1;1;2;4096;0;0;0.005134;0.017867;0.022770;0.022769;0.03;5;84
2.83;229;1;1;3;512;0;0;0.000372;0.001608;0.003676;0.003675;0.01;3;52
2.84;228;1;1;3;1024;0;0;0.000631;0.002324;0.005224;0.005223;0.00;4;75
2.82;229;1;1;3;1536;0;0;0.001467;0.004147;0.007092;0.007091;0.01;4;76
2.83;228;1;1;3;2048;0;0;0.001959;0.005046;0.009360;0.009359;0.01;6;72
2.85;230;1;1;3;2560;0;0;0.001555;0.004551;0.010309;0.010308;0.01;4;58
2.83;233;1;1;3;3072;0;0;0.002804;0.007695;0.013230;0.013229;0.02;4;72
2.84;229;1;1;3;3584;0;0;0.003410;0.008674;0.014467;0.014467;0.02;6;75
2.84;229;1;1;3;4096;0;0;0.003785;0.009681;0.017454;0.017453;0.03;6;65
2.83;227;1;1;4;512;0;0;0.000267;0.001505;0.003240;0.003239;0.00;3;75
2.80;227;1;1;4;1024;0;0;0.000434;0.001703;0.005217;0.005217;0.00;4;62
2.80;227;1;1;4;1536;0;0;0.001039;0.003167;0.007050;0.007048;0.01;5;76
2.81;227;1;1;4;2048;0;0;0.001321;0.003807;0.008001;0.008000;0.01;4;71
2.83;228;1;1;4;2560;0;0;0.001768;0.004565;0.010026;0.010025;0.01;6;70
2.83;228;1;1;4;3072;0;0;0.001282;0.004006;0.011613;0.011612;0.02;4;47
2.80;228;1;1;4;3584;0;0;0.002270;0.006308;0.014304;0.014303;0.02;4;62
