nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;bandwidths(Mbs);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;1920;1920;1920;NA;NA;244170;19141;150;30;2.63979;NA;NA;29.5907;NA;7.81392;28080;0.597911;7.81392;28080;2.68369;NA;NA;NA;3.2e-05;1;2.63206;NA;NA;NA;NA;NA;NA;0.008542;6;0.000427012;21.7682;4;4.6966;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;145;30;2.62366;NA;NA;29.5907;NA;7.81392;28080;0.566929;7.81392;28080;2.6713;NA;NA;NA;3.2e-05;1;2.61817;NA;NA;NA;NA;NA;NA;0.008542;6;0.000658264;21.7682;4;4.66048;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;140;30;2.5395;NA;NA;29.5907;NA;7.81392;28080;0.556263;7.81392;28080;2.46343;NA;NA;NA;3.2e-05;1;2.53417;NA;NA;NA;NA;NA;NA;0.008542;6;0.000609776;21.7682;4;4.48846;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;135;30;2.63821;NA;NA;29.5907;NA;7.81392;28080;0.56173;7.81392;28080;2.52926;NA;NA;NA;3.2e-05;1;2.63202;NA;NA;NA;NA;NA;NA;0.008542;6;0.00733448;21.7682;4;4.60172;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;130;30;2.75564;NA;NA;29.5907;NA;7.81392;28080;0.609614;7.81392;28080;2.75795;NA;NA;NA;3.2e-05;1;2.74899;NA;NA;NA;NA;NA;NA;0.008542;6;0.00699376;21.7682;4;4.95145;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;125;30;2.72991;NA;NA;29.5907;NA;7.81392;28080;0.603175;7.81392;28080;2.66104;NA;NA;NA;3.2e-05;1;2.72356;NA;NA;NA;NA;NA;NA;0.008542;6;0.00638753;21.7682;4;4.88987;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;120;30;2.74334;NA;NA;29.5907;NA;7.81392;28080;0.595536;7.81392;28080;2.63723;NA;NA;NA;3.2e-05;1;2.73753;NA;NA;NA;NA;NA;NA;0.008542;6;0.00053774;21.7682;4;4.92987;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;115;30;2.83154;NA;NA;29.5907;NA;7.81392;28080;0.607428;7.81392;28080;2.71557;NA;NA;NA;3.2e-05;1;2.82546;NA;NA;NA;NA;NA;NA;0.008542;6;0.000714843;21.7682;4;5.10536;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;110;30;2.81445;NA;NA;29.5907;NA;7.81392;28080;0.526575;7.81392;28080;2.68068;NA;NA;NA;3.2e-05;1;2.80879;NA;NA;NA;NA;NA;NA;0.008542;6;0.000632627;21.7682;4;5.01989;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;105;30;2.84121;NA;NA;29.5907;NA;7.81392;28080;0.582816;7.81392;28080;2.60089;NA;NA;NA;3.2e-05;1;2.83501;NA;NA;NA;NA;NA;NA;0.008542;6;0.000796275;21.7682;4;5.11599;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;30;2.8721;NA;NA;29.5907;NA;7.81392;28080;0.585641;7.81392;28080;2.54715;NA;NA;NA;3.2e-05;1;2.86606;NA;NA;NA;NA;NA;NA;0.008542;6;0.000582063;21.7682;4;5.12741;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;95;30;2.92349;NA;NA;29.5907;NA;7.81392;28080;0.574688;7.81392;28080;2.58971;NA;NA;NA;3.2e-05;1;2.91622;NA;NA;NA;NA;NA;NA;0.008542;6;0.0063014;21.7682;4;5.27751;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;90;30;2.91279;NA;NA;29.5907;NA;7.81392;28080;0.55064;7.81392;28080;2.48354;NA;NA;NA;3.2e-05;1;2.90647;NA;NA;NA;NA;NA;NA;0.008542;6;0.00214592;21.7682;4;5.23483;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;85;30;3.02577;NA;NA;29.5907;NA;7.81392;28080;0.506526;7.81392;28080;2.63116;NA;NA;NA;3.2e-05;1;3.02063;NA;NA;NA;NA;NA;NA;0.008542;6;0.00101934;21.7682;4;5.48517;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;30;3.15504;NA;NA;29.5907;NA;7.81392;28080;0.560864;7.81392;28080;2.6927;NA;NA;NA;3.2e-05;1;3.14936;NA;NA;NA;NA;NA;NA;0.008542;6;0.000434835;21.7682;4;5.74322;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75;30;3.28046;NA;NA;29.5907;NA;7.81392;28080;0.62016;7.81392;28080;2.75585;NA;NA;NA;3.2e-05;1;3.27461;NA;NA;NA;NA;NA;NA;0.008542;6;0.000515025;21.7682;4;6.0024;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;70;30;3.31504;NA;NA;29.5907;NA;7.81392;28080;0.605696;7.81392;28080;2.60184;NA;NA;NA;3.2e-05;1;3.30945;NA;NA;NA;NA;NA;NA;0.008542;6;0.00130045;21.7682;4;6.03037;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;30;3.39638;NA;NA;29.5907;NA;7.81392;28080;0.578646;7.81392;28080;2.64264;NA;NA;NA;3.2e-05;1;3.39017;NA;NA;NA;NA;NA;NA;0.008542;6;0.00628946;21.7682;4;6.22008;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;30;3.44751;NA;NA;29.5907;NA;7.81392;28080;0.550633;7.81392;28080;2.48823;NA;NA;NA;3.2e-05;1;3.44111;NA;NA;NA;NA;NA;NA;0.008542;6;0.00389777;21.7682;4;6.29957;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55;30;3.72489;NA;NA;29.5907;NA;7.81392;28080;0.586388;7.81392;28080;2.73951;NA;NA;NA;3.2e-05;1;3.71915;NA;NA;NA;NA;NA;NA;0.008542;6;0.000753823;21.7682;4;6.86688;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;30;3.90814;NA;NA;29.5907;NA;7.81392;28080;0.608827;7.81392;28080;2.72583;NA;NA;NA;3.2e-05;1;3.9021;NA;NA;NA;NA;NA;NA;0.008542;6;0.000554291;21.7682;4;7.21052;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45;30;3.97679;NA;NA;29.5907;NA;7.81392;28080;0.55602;7.81392;28080;2.5599;NA;NA;NA;3.2e-05;1;3.97037;NA;NA;NA;NA;NA;NA;0.008542;6;0.00113428;21.7682;4;7.3852;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;30;4.21642;NA;NA;29.5907;NA;7.81392;28080;0.548475;7.81392;28080;2.51622;NA;NA;NA;3.2e-05;1;4.21088;NA;NA;NA;NA;NA;NA;0.008542;6;0.000823005;21.7682;4;7.82089;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;30;4.69216;NA;NA;29.5907;NA;7.81392;28080;0.608958;7.81392;28080;2.74831;NA;NA;NA;3.2e-05;1;4.68619;NA;NA;NA;NA;NA;NA;0.008542;6;0.000548132;21.7682;4;8.80447;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;30;5.20421;NA;NA;29.5907;NA;7.81392;28080;0.539332;7.81392;28080;2.94566;NA;NA;NA;3.2e-05;1;5.19739;NA;NA;NA;NA;NA;NA;0.008542;6;0.000431703;21.7682;4;9.8234;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25;30;6.13207;NA;NA;29.5907;NA;7.81392;28080;0.661921;7.81392;28080;3.47067;NA;NA;NA;3.2e-05;1;6.12531;NA;NA;NA;NA;NA;NA;0.008542;6;0.000522943;21.7682;4;11.6839;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;30;7.58094;NA;NA;29.5907;NA;7.81392;28080;0.910038;7.81392;28080;4.24432;NA;NA;NA;3.2e-05;1;7.57343;NA;NA;NA;NA;NA;NA;0.008542;6;0.0057063;21.7682;4;14.5512;NA;NA;NA;NA;NA;NA;NA;NA;NA
