program  c.domain  adv.model      protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)    Tx(rounds)  Tx(s)        Rx(MB)    Rx(rounds)  Rx(s)        Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)    Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
31       RING      semihonest     replicated-ring   3          0.13          17                 1                  8             1             NA            NA            NA            NA           NA            NA               504              179            8           0.0388858            0.12                 15            56         ~145          0.401936        0.96492          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       RING      semihonest     replicated-ring   3          0.13          17                 1                  10            1             NA            NA            NA            NA           NA            NA               630              223            10          0.0349407            0.12                 15            54         ~161          0.40211         0.96541          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       RING      semihonest     replicated-ring   3          0.14          17                 1                  12            1             NA            NA            NA            NA           NA            NA               756              267            12          0.0448675            0.14                 15            54         ~177          0.402284        0.9659           NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       RING      semihonest     replicated-ring   3          0.13          17                 1                  14            1             NA            NA            NA            NA           NA            NA               882              311            14          0.0454068            0.12                 15            52         ~193          0.402458        0.96639          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semihonest     ccd               3          0.30          22                 1                  NA            NA            NA            256           64            NA           NA            NA               1036             206            4           0.0138092            0.07                 12            56         NA            0.002648        NA               NA        NA          NA           NA        NA          NA           NA             NA                 NA            0.002584  105           0.0123863  NA           NA               NA          6.4e-05             1                       0.000331422        NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semihonest     ccd               3          0.34          22                 1                  NA            NA            NA            384           64            NA           NA            NA               1554             308            6           0.0189829            0.07                 12            65         NA            0.00394         NA               NA        NA          NA           NA        NA          NA           NA             NA                 NA            0.003876  157           0.0174931  NA           NA               NA          6.4e-05             1                       0.000271533        NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semihonest     ccd               3          0.37          23                 1                  NA            NA            NA            512           64            NA           NA            NA               2072             410            8           0.025806             0.08                 12            80         NA            0.005232        NA               NA        NA          NA           NA        NA          NA           NA             NA                 NA            0.005168  209           0.0236666  NA           NA               NA          6.4e-05             1                       0.000315931        NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semihonest     ccd               3          0.41          23                 1                  NA            NA            NA            640           64            NA           NA            NA               2590             512            10          0.0336742            0.09                 10            70         NA            0.006524        NA               NA        NA          NA           NA        NA          NA           NA             NA                 NA            0.00646   261           0.0315937  NA           NA               NA          6.4e-05             1                       0.000286392        NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semihonest     ccd               3          0.45          24                 1                  NA            NA            NA            768           64            NA           NA            NA               3108             614            12          0.0387907            0.10                 11            75         NA            0.007816        NA               NA        NA          NA           NA        NA          NA           NA             NA                 NA            0.007752  313           0.0360412  NA           NA               NA          6.4e-05             1                       0.000298114        NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semihonest     ccd               3          0.50          25                 1                  NA            NA            NA            896           64            NA           NA            NA               3626             716            14          0.0509743            0.10                 10            84         NA            0.009108        NA               NA        NA          NA           NA        NA          NA           NA             NA                 NA            0.009044  365           0.0474367  NA           NA               NA          6.4e-05             1                       0.000510189        NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semihonest     replicated-bin    3          0.30          22                 1                  NA            NA            NA            256           64            NA           NA            NA               1036             206            4           0.0127791            0.05                 11            57         NA            0.001348        NA               4.8e-05   3           0.0117746    4.8e-05   3           0.0127689    NA             NA                 NA            NA        NA            NA         0.0013       106              0.0110428   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semihonest     replicated-bin    3          0.34          22                 1                  NA            NA            NA            384           64            NA           NA            NA               1554             308            6           0.0226791            0.07                 11            55         NA            0.001994        NA               4.8e-05   3           0.0215903    4.8e-05   3           0.0220047    NA             NA                 NA            NA        NA            NA         0.001946     158              0.0207392   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semihonest     replicated-bin    3          0.37          23                 1                  NA            NA            NA            512           64            NA           NA            NA               2072             410            8           0.022397             0.07                 9             54         NA            0.00264         NA               4.8e-05   3           0.0208052    4.8e-05   3           0.0224343    NA             NA                 NA            NA        NA            NA         0.002592     210              0.0199312   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semihonest     replicated-bin    3          0.41          23                 1                  NA            NA            NA            640           64            NA           NA            NA               2590             512            10          0.0270473            0.07                 9             59         NA            0.003286        NA               4.8e-05   3           0.0262585    4.8e-05   3           0.0265681    NA             NA                 NA            NA        NA            NA         0.003238     262              0.0251599   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semihonest     replicated-bin    3          0.45          24                 1                  NA            NA            NA            768           64            NA           NA            NA               3108             614            12          0.0439278            0.09                 11            57         NA            0.003932        NA               4.8e-05   3           0.0428602    4.8e-05   3           0.0432111    NA             NA                 NA            NA        NA            NA         0.003884     314              0.0413578   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semihonest     replicated-bin    3          0.50          25                 1                  NA            NA            NA            896           64            NA           NA            NA               3626             716            14          0.108607             0.16                 11            53         NA            0.004578        NA               4.8e-05   3           0.10759      4.8e-05   3           0.10792      NA             NA                 NA            NA        NA            NA         0.00453      366              0.104969    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semidishonest  yao               2          0.30          22                 1                  NA            NA            NA            256           64            NA           NA            NA               1036             206            4           0.0156947            0.03                 11            57         NA            0.033216        NA               0.033216  4           0.000284989  8e-06     1           0.000918952  NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semidishonest  yao               2          0.34          22                 1                  NA            NA            NA            384           64            NA           NA            NA               1554             308            6           0.0160247            0.04                 11            57         NA            0.049792        NA               0.049792  4           0.000441919  8e-06     1           0.00110678   NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semidishonest  yao               2          0.37          23                 1                  NA            NA            NA            512           64            NA           NA            NA               2072             410            8           0.0185429            0.04                 11            58         NA            0.066368        NA               0.066368  4           0.000356949  8e-06     1           0.00140931   NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semidishonest  yao               2          0.41          23                 1                  NA            NA            NA            640           64            NA           NA            NA               2590             512            10          0.0170214            0.03                 13            60         NA            0.082944        NA               0.082944  4           0.000285285  8e-06     1           0.00175254   NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semidishonest  yao               2          0.45          24                 1                  NA            NA            NA            768           64            NA           NA            NA               3108             614            12          0.0186897            0.04                 11            55         NA            0.09952         NA               0.09952   4           0.000435515  8e-06     1           0.00169502   NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semidishonest  yao               2          0.50          25                 1                  NA            NA            NA            896           64            NA           NA            NA               3626             716            14          0.0187749            0.04                 11            67         NA            0.116096        NA               0.116096  4           0.00085504   8e-06     1           0.00198026   NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semidishonest  yaoO              2          0.30          22                 1                  NA            NA            NA            256           64            NA           NA            NA               1036             206            4           0.00187723           0.04                 10            72         NA            0               NA               NA        NA          NA           0.033216  2           0.0161289    NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semidishonest  yaoO              2          0.34          22                 1                  NA            NA            NA            384           64            NA           NA            NA               1554             308            6           0.00177389           0.04                 10            72         NA            0               NA               NA        NA          NA           0.049792  2           0.0159956    NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semidishonest  yaoO              2          0.37          23                 1                  NA            NA            NA            512           64            NA           NA            NA               2072             410            8           0.00256992           0.04                 12            70         NA            0               NA               NA        NA          NA           0.066368  2           0.016355     NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semidishonest  yaoO              2          0.41          23                 1                  NA            NA            NA            640           64            NA           NA            NA               2590             512            10          0.00163747           0.04                 10            71         NA            0               NA               NA        NA          NA           0.082944  2           0.0156722    NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semidishonest  yaoO              2          0.45          24                 1                  NA            NA            NA            768           64            NA           NA            NA               3108             614            12          0.00227885           0.04                 10            71         NA            0               NA               NA        NA          NA           0.09952   2           0.0159038    NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       BINARY    semidishonest  yaoO              2          0.50          25                 1                  NA            NA            NA            896           64            NA           NA            NA               3626             716            14          0.00260628           0.04                 10            73         NA            0               NA               NA        NA          NA           0.116096  2           0.0158891    NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
