nodes;program;c.domain;adv.model;protocol;partysize;input_size;packetdrops(%);runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;RING;maldishonest;spdz2k;3;30;0;76.8921;NA;~103720;4035.66;11946.8
rapla,tapa,valga;35_set_intersection;RING;maldishonest;spdz2k;3;30;0.5;125.767;NA;~103720;4035.66;11946.8
rapla,tapa,valga;35_set_intersection;RING;maldishonest;spdz2k;3;30;1;209.243;NA;~103720;4035.66;11946.8
rapla,tapa,valga;35_set_intersection;RING;maldishonest;spdz2k;3;30;1.5;287.113;NA;~103720;4035.66;11946.8
rapla,tapa,valga;35_set_intersection;RING;maldishonest;spdz2k;3;30;2;395.71;NA;~103720;4035.66;11946.8
rapla,tapa,valga;35_set_intersection;RING;maldishonest;spdz2k;3;30;2.5;505.47;NA;~103720;4035.66;11946.8
rapla,tapa,valga;35_set_intersection;RING;maldishonest;spdz2k;3;30;3;630.441;NA;~103720;4035.66;11946.8
rapla,tapa,valga;35_set_intersection;RING;semidishonest;semi2k;3;30;0;2.33786;NA;~67110;37.78;109.331
rapla,tapa,valga;35_set_intersection;RING;semidishonest;semi2k;3;30;0.5;22.4428;NA;~67110;37.78;109.331
rapla,tapa,valga;35_set_intersection;RING;semidishonest;semi2k;3;30;1;41.3245;NA;~67110;37.78;109.331
rapla,tapa,valga;35_set_intersection;RING;semidishonest;semi2k;3;30;1.5;80.3437;NA;~67110;37.78;109.331
rapla,tapa,valga;35_set_intersection;RING;semidishonest;semi2k;3;30;2;109.833;NA;~67110;37.78;109.331
rapla,tapa,valga;35_set_intersection;RING;semidishonest;semi2k;3;30;2.5;129.664;NA;~67110;37.78;109.331
rapla,tapa,valga;35_set_intersection;RING;semidishonest;semi2k;3;30;3;178.083;NA;~67110;37.78;109.331
