nodes;program;c.domain;adv.model;protocol;partysize;cpus;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;3;10;1.68739;NA;~446;176.474;488.193
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;3;50;4.29326;NA;~1780;492.572;1435.84
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;3;100;7.32631;NA;~3428;853.872;2518.96
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;3;150;10.0926;NA;~5076;1215.17;3602.07
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;3;200;13.1665;NA;~6724;1576.47;4685.19
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;3;250;16.0285;NA;~8372;1937.77;5768.31
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;3;300;19.3378;NA;~10054;2344.23;6986.81
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;3;350;22.5747;NA;~11728;2750.63;8205.18
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;3;400;25.4062;NA;~13376;3111.93;9288.3
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.2;10;1.91859;NA;~446;176.474;488.193
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.2;50;4.8149;NA;~1780;492.572;1435.84
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.2;100;8.04478;NA;~3428;853.872;2518.96
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.2;150;10.9862;NA;~5076;1215.17;3602.07
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.2;200;14.5548;NA;~6724;1576.47;4685.19
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.2;250;17.7633;NA;~8372;1937.77;5768.31
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.2;300;21.8577;NA;~10054;2344.23;6986.81
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.2;350;24.8724;NA;~11728;2750.63;8205.18
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.2;400;28.3602;NA;~13376;3111.93;9288.3
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2;10;2.09348;NA;~446;176.474;488.193
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2;50;5.17246;NA;~1780;492.572;1435.84
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2;100;8.68777;NA;~3428;853.872;2518.96
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2;150;12.3212;NA;~5076;1215.17;3602.07
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2;200;15.8919;NA;~6724;1576.47;4685.19
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2;250;19.3695;NA;~8372;1937.77;5768.31
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2;300;23.3789;NA;~10054;2344.23;6986.81
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2;350;27.4823;NA;~11728;2750.63;8205.18
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2;400;30.9134;NA;~13376;3111.93;9288.3
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;1.8;10;2.29458;NA;~446;176.474;488.193
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;1.8;50;5.80197;NA;~1780;492.572;1435.84
