program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;freqs(GHz);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
42;BINARY;semihonest;replicated-bin;3;244.11;5593;56;NA;NA;NA;262144;64;NA;NA;NA;258048;8;2.5;4096;0.138106;2.61;294;99;NA;0.520248;1.03652;4.8e-05;3;7.6173e-05;4.8e-05;3;0.00334333;NA;NA;NA;NA;NA;NA;0.5202;8;0.00273804;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.3;4096;0.137259;2.61;296;99;NA;0.520248;1.03652;4.8e-05;3;4.1082e-05;4.8e-05;3;0.000311104;NA;NA;NA;NA;NA;NA;0.5202;8;0.0102966;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.1;4096;0.155582;2.74;294;99;NA;0.520248;1.03652;4.8e-05;3;7.0437e-05;4.8e-05;3;0.010332;NA;NA;NA;NA;NA;NA;0.5202;8;0.00743668;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4096;0.156904;2.87;296;99;NA;0.520248;1.03652;4.8e-05;3;5.5021e-05;4.8e-05;3;0.00572533;NA;NA;NA;NA;NA;NA;0.5202;8;0.0127612;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.9;4096;0.162192;3.02;294;99;NA;0.520248;1.03652;4.8e-05;3;7.1999e-05;4.8e-05;3;0.00657728;NA;NA;NA;NA;NA;NA;0.5202;8;0.00318;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.8;4096;0.164225;3.18;296;99;NA;0.520248;1.03652;4.8e-05;3;6.6026e-05;4.8e-05;3;0.000206557;NA;NA;NA;NA;NA;NA;0.5202;8;0.00401143;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.7;4096;0.179993;3.38;294;99;NA;0.520248;1.03652;4.8e-05;3;7.8062e-05;4.8e-05;3;0.00670876;NA;NA;NA;NA;NA;NA;0.5202;8;0.0101942;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.6;4096;0.183789;3.58;294;99;NA;0.520248;1.03652;4.8e-05;3;8.1931e-05;4.8e-05;3;0.00020249;NA;NA;NA;NA;NA;NA;0.5202;8;0.010923;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5;4096;0.216367;3.83;294;99;NA;0.520248;1.03652;4.8e-05;3;6.5942e-05;4.8e-05;3;0.0169275;NA;NA;NA;NA;NA;NA;0.5202;8;0.00816436;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4;4096;0.252839;4.11;294;98;NA;0.520248;1.03652;4.8e-05;3;0.000103168;4.8e-05;3;0.0463377;NA;NA;NA;NA;NA;NA;0.5202;8;0.00330539;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
