nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;bandwidths(Mbs);input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;60;30;46.0672;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;55;30;49.6846;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;50;30;53.6306;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;45;30;58.5154;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;40;30;64.8836;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;35;30;73.1619;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;30;30;84.0291;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;25;30;99.128;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;20;30;121.67;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;15;30;160.621;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;10;30;240.008;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;5;30;480.658;NA;545.695;NA
