nodes;program;c.domain;adv.model;protocol;partysize;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;3;240;10;0.0612138;NA;~88;1.14112;3.26306
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;3;240;200;0.273549;NA;~1437;3.13378;9.39497
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;3;240;400;0.504763;NA;~2856;5.14709;15.5885
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;3;240;600;0.719315;NA;~4275;7.32039;21.782
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;3;240;800;0.923779;NA;~5699;9.81386;29.416
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;3;240;1000;1.19103;NA;~7118;11.8272;35.6095
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;3;240;1200;1.40269;NA;~8537;14.0005;41.803
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;3;240;1400;1.59401;NA;~9956;16.0138;47.9965
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;3;240;1600;1.87382;NA;~11380;18.5072;55.6306
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;3;240;1800;2.0806;NA;~12799;20.6806;61.8241
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;3;240;2000;2.36839;NA;~14218;22.6939;68.0176
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;3;240;2200;2.63749;NA;~15637;24.7072;74.2111
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;3;240;2400;2.77109;NA;~17061;27.3606;81.8451
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;3;180;10;0.0593942;NA;~88;1.14112;3.26306
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;3;180;200;0.265297;NA;~1437;3.13378;9.39497
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;3;180;400;0.503276;NA;~2856;5.14709;15.5885
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;3;180;600;0.722271;NA;~4275;7.32039;21.782
