program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
42;BINARY;semidishonest;yao;2;120.50;2838;22;50;2048;0.893714;1.71;148;95;NA;4.12877;NA
42;BINARY;semidishonest;yao;2;234.96;5667;44;50;4096;1.79809;3.39;290;96;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;100;2048;0.556693;1.38;148;95;NA;4.12877;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;100;4096;1.10269;2.77;290;97;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;200;2048;0.376389;1.18;148;95;NA;4.12877;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;200;4096;0.767089;2.36;290;96;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;300;2048;0.324108;1.14;148;96;NA;4.12877;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;300;4096;0.651611;2.27;290;97;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;400;2048;0.303894;1.11;150;96;NA;4.12877;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;400;4096;0.589132;2.18;290;96;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;500;2048;0.279942;1.09;148;97;NA;4.12877;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;500;4096;0.566353;2.15;290;97;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;600;2048;0.285064;1.09;148;96;NA;4.12877;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;600;4096;0.538708;2.17;290;97;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;700;2048;0.262668;1.08;148;97;NA;4.12877;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;700;4096;0.541482;2.16;290;96;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;800;2048;0.266107;1.06;148;97;NA;4.12877;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;800;4096;0.520228;2.21;290;97;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;900;2048;0.241367;1.05;148;97;NA;4.12877;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;900;4096;0.48727;2.07;290;97;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;1000;2048;0.249141;1.05;150;96;NA;4.12877;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;1000;4096;0.5042;2.11;292;97;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;3000;2048;0.26739;1.07;148;95;NA;4.12877;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;3000;4096;0.492697;2.09;290;96;NA;8.25754;NA
42;BINARY;semihonest;replicated-bin;3;120.50;2838;22;50;2048;0.11737;0.96;148;94;NA;0.260152;NA
42;BINARY;semihonest;replicated-bin;3;234.96;5667;44;50;4096;0.230665;1.91;292;94;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;100;2048;0.13046;1.01;148;93;NA;0.260152;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;100;4096;0.207198;1.85;290;95;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;200;2048;0.105692;0.96;148;95;NA;0.260152;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;200;4096;0.190616;1.83;290;96;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;300;2048;0.110041;0.96;148;95;NA;0.260152;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;300;4096;0.200051;1.85;292;96;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;400;2048;0.126787;1.03;148;89;NA;0.260152;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;400;4096;0.198583;1.90;290;94;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;500;2048;0.101723;0.95;150;96;NA;0.260152;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;500;4096;0.189826;1.84;292;95;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;600;2048;0.113376;0.97;148;93;NA;0.260152;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;600;4096;0.196443;1.84;290;96;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;700;2048;0.10658;0.95;148;95;NA;0.260152;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;700;4096;0.193038;1.83;292;96;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;800;2048;0.105577;0.97;148;95;NA;0.260152;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;800;4096;0.214052;1.90;290;93;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;900;2048;0.111013;0.98;148;95;NA;0.260152;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;900;4096;0.195255;1.86;292;96;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1000;2048;0.106978;0.95;148;95;NA;0.260152;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1000;4096;0.195779;1.84;290;95;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;3000;2048;0.11294;0.98;150;95;NA;0.260152;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;3000;4096;0.193494;1.85;290;96;NA;0.520248;NA
