comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;latencies(ms);input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.49;228;1;64;1;0;1;1;4096;0;0;0.003404;NA;0.018291;0.057447;0.057446;0.08;19;41
1.45;227;1;64;1;0;1;1;4096;0;1;.000497;NA;.002974;.009335;.009335;1.45;227;99
1.49;227;1;64;1;0;1;1;8192;0;0;0.006157;NA;0.036812;0.081533;0.081533;0.11;35;58
1.50;228;1;64;1;0;1;1;8192;0;1;.000776;NA;.004846;.012371;.012371;1.50;228;100
1.48;228;1;64;1;0;1;1;40960;0;0;0.011572;NA;0.098720;0.144646;0.144645;0.23;162;76
1.48;229;1;64;1;0;1;1;40960;0;1;.001946;NA;.015649;.032980;.032980;1.48;229;99
1.46;227;1;64;1;0;1;5;4096;0;0;0.001504;NA;0.013748;0.263288;0.263287;0.29;19;7
1.49;227;1;64;1;0;1;5;4096;0;1;.000507;NA;.002815;.042262;.042262;1.49;227;100
1.46;228;1;64;1;0;1;5;8192;0;0;0.006003;NA;0.035875;0.275327;0.275327;0.32;35;20
1.50;227;1;64;1;0;1;5;8192;0;1;.000931;NA;.005230;.044367;.044367;1.50;227;99
1.50;228;1;64;1;0;1;5;40960;0;0;0.011621;NA;0.090061;0.424515;0.424514;0.52;162;33
1.49;228;1;64;1;0;1;5;40960;0;1;.001919;NA;.018921;.069350;.069350;1.49;228;99
1.50;230;1;64;1;0;1;10;4096;0;0;0.001526;NA;0.014933;0.509542;0.509541;0.55;19;4
1.50;227;1;64;1;0;1;10;4096;0;1;.000454;NA;.002927;.080427;.080427;1.50;227;99
1.50;227;1;64;1;0;1;10;8192;0;0;0.005977;NA;0.036102;1.117678;1.117678;1.18;35;5
1.48;228;1;64;1;0;1;10;8192;0;1;.000821;NA;.005247;.089064;.089063;1.48;228;100
1.50;227;1;64;1;0;1;10;40960;0;0;0.011396;NA;0.097430;1.346482;1.346481;1.46;162;12
1.50;228;1;64;1;0;1;10;40960;0;1;.001922;NA;.019410;.131281;.131281;1.50;228;99
1.47;227;1;64;1;0;1;20;4096;0;0;0.003462;NA;0.020679;1.485853;1.485852;1.56;19;2
1.48;228;1;64;1;0;1;20;4096;0;1;.000425;NA;.002995;.189079;.189079;1.48;228;99
1.49;227;1;64;1;0;1;20;8192;0;0;0.006159;NA;0.036286;1.928154;1.928153;2.02;35;3
1.47;227;1;64;1;0;1;20;8192;0;1;.000917;NA;.005351;.175469;.175469;1.47;227;99
1.48;229;1;64;1;0;1;20;40960;0;0;0.011838;NA;0.088453;4.471767;4.471766;4.61;162;3
1.49;228;1;64;1;0;1;20;40960;0;1;.001894;NA;.018147;.245996;.245996;1.49;228;99
1.49;228;1;64;1;0;1;40;4096;0;0;0.003352;NA;0.020277;1.863270;1.863269;2.00;19;1
1.49;226;1;64;1;0;1;40;4096;0;1;.000511;NA;.003236;.456497;.456496;1.49;226;99
1.46;228;1;64;1;0;1;40;8192;0;0;0.006148;NA;0.037422;4.246957;4.246956;4.38;35;1
1.50;227;1;64;1;0;1;40;8192;0;1;.001027;NA;.005601;.511370;.511370;1.50;227;99
1.45;228;1;64;1;0;1;40;40960;0;0;0.011806;NA;0.118682;8.776995;8.776994;8.98;162;2
1.49;227;1;64;1;0;1;40;40960;0;1;0.011376;NA;0.110968;9.847303;9.847302;1.49;227;99
1.49;227;1;64;1;0;1;60;4096;0;0;0.003323;NA;0.020724;3.504250;3.504249;3.71;19;0
1.48;227;1;64;1;0;1;60;4096;0;1;.000486;NA;.003186;.627570;.627570;1.48;227;100
1.49;227;1;64;1;0;1;60;8192;0;0;0.006379;NA;0.034793;5.088344;5.088343;5.29;35;1
1.51;232;1;64;1;0;1;60;8192;0;1;0.006083;NA;0.035777;7.314059;7.314058;1.51;232;99
