program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
34;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;70;30;33.9841;34.12;385;120;~14549;176.536;529.309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75;30;32.1264;32.25;383;118;~14549;176.536;529.309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;30;30.2288;30.35;384;117;~14549;176.536;529.309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;85;30;28.1569;28.28;388;123;~14549;176.536;529.309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;90;30;26.9726;27.10;384;119;~14549;176.536;529.309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;95;30;25.3918;25.52;379;126;~14549;176.536;529.309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;30;24.3856;24.51;382;127;~14549;176.536;529.309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;FIELD;semidishonest;hemi;3;0.72;29;1;900;900;900;NA;NA;NA;NA;2700;NA;3601;10;30;5.67258;7.99;47;78;~14403;3.34788;9.84204;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;FIELD;semidishonest;hemi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15;30;3.9403;5.51;43;81;~14403;3.34788;9.84204;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;FIELD;semidishonest;hemi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;30;3.09528;4.30;43;82;~14403;3.34788;9.84204;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;FIELD;semidishonest;hemi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25;30;2.70594;3.69;45;81;~14403;3.34788;9.84204;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;FIELD;semidishonest;hemi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;30;2.4052;3.24;43;83;~14403;3.34788;9.84204;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;FIELD;semidishonest;hemi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;30;2.23231;2.97;43;78;~14403;3.34788;9.84204;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
