comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.49          231                1                  256       1         0         1         1              70000            1024        0           0           0.001993     NA          0.013737          0.012641            0.012640           0.03                 19            103
1.50          232                1                  256       1         0         1         1              70000            2048        0           0           0.003307     NA          0.023181          0.018393            0.018392           0.04                 35            108
1.48          233                1                  256       1         0         1         1              70000            3072        0           0           0.005169     NA          0.027533          0.028398            0.028397           0.07                 53            98
1.48          232                1                  256       1         0         1         1              70000            4096        0           0           0.004661     NA          0.029484          0.032867            0.032866           0.08                 67            94
1.50          233                1                  256       1         0         1         1              70000            5120        0           0           0.003216     NA          0.034604          0.036685            0.036684           0.09                 83            97
1.50          232                1                  256       1         0         1         1              70000            6144        0           0           0.003848     NA          0.038369          0.037225            0.037224           0.09                 99            101
1.50          232                1                  256       1         0         1         1              70000            7168        0           0           0.004577     NA          0.045517          0.055377            0.055376           0.13                 115           88
1.48          231                1                  256       1         0         1         1              70000            8192        0           0           0.004755     NA          0.052121          0.061003            0.061002           0.13                 130           92
1.51          231                1                  256       1         0         1         1              50000            1024        0           0           0.001580     NA          0.012244          0.012550            0.012549           0.02                 19            100
1.49          233                1                  256       1         0         1         1              50000            2048        0           0           0.002548     NA          0.020026          0.021731            0.021730           0.05                 35            74
1.48          232                1                  256       1         0         1         1              50000            3072        0           0           0.004685     NA          0.028215          0.030686            0.030685           0.07                 51            95
1.49          233                1                  256       1         0         1         1              50000            4096        0           0           0.004742     NA          0.029692          0.033561            0.033560           0.08                 67            95
1.48          233                1                  256       1         0         1         1              50000            5120        0           0           0.003112     NA          0.028924          0.031251            0.031250           0.08                 83            72
1.47          233                1                  256       1         0         1         1              50000            6144        0           0           0.003749     NA          0.044774          0.049166            0.049165           0.11                 99            96
1.47          233                1                  256       1         0         1         1              50000            7168        0           0           0.004359     NA          0.045935          0.052106            0.052105           0.12                 115           90
1.49          233                1                  256       1         0         1         1              50000            8192        0           0           0.004805     NA          0.047311          0.053689            0.053689           0.12                 130           94
1.49          232                1                  256       1         0         1         1              40000            1024        0           0           0.001993     NA          0.014790          0.011328            0.011328           0.02                 19            114
1.51          233                1                  256       1         0         1         1              40000            2048        0           0           0.003275     NA          0.022702          0.021984            0.021983           0.05                 35            101
1.45          233                1                  256       1         0         1         1              40000            3072        0           0           0.004819     NA          0.032924          0.026683            0.026682           0.07                 51            105
1.49          232                1                  256       1         0         1         1              40000            4096        0           0           0.005339     NA          0.030654          0.030724            0.030723           0.08                 67            95
1.48          232                1                  256       1         0         1         1              40000            5120        0           0           0.003084     NA          0.033110          0.033788            0.033787           0.09                 83            98
1.46          233                1                  256       1         0         1         1              40000            6144        0           0           0.003581     NA          0.039846          0.046115            0.046114           0.11                 99            92
1.46          231                1                  256       1         0         1         1              40000            7168        0           0           0.004308     NA          0.047849          0.056650            0.056650           0.12                 115           92
1.49          232                1                  256       1         0         1         1              40000            8192        0           0           0.004838     NA          0.053606          0.065179            0.065178           0.14                 130           86
1.51          232                1                  256       1         0         1         1              30000            1024        0           0           0.002033     NA          0.012615          0.013507            0.013506           0.03                 19            90
1.50          233                1                  256       1         0         1         1              30000            2048        0           0           0.003187     NA          0.022509          0.022534            0.022533           0.06                 35            86
1.50          232                1                  256       1         0         1         1              30000            3072        0           0           0.004513     NA          0.025654          0.028522            0.028522           0.06                 51            94
1.50          233                1                  256       1         0         1         1              30000            4096        0           0           0.004348     NA          0.033582          0.031692            0.031692           0.08                 67            91
1.51          233                1                  256       1         0         1         1              30000            5120        0           0           0.003227     NA          0.035032          0.041571            0.041570           0.10                 83            87
1.50          231                1                  256       1         0         1         1              30000            6144        0           0           0.004010     NA          0.042451          0.050152            0.050152           0.11                 99            93
1.46          233                1                  256       1         0         1         1              30000            7168        0           0           0.004319     NA          0.045263          0.056018            0.056018           0.12                 115           90
1.50          232                1                  256       1         0         1         1              30000            8192        0           0           0.004995     NA          0.061984          0.064188            0.064187           0.14                 130           82
1.49          233                1                  256       1         0         1         1              20000            1024        0           0           0.001913     NA          0.014788          0.012869            0.012868           0.03                 19            100
1.49          232                1                  256       1         0         1         1              20000            2048        0           0           0.001393     NA          0.013358          0.019965            0.019964           0.05                 35            49
1.50          231                1                  256       1         0         1         1              20000            3072        0           0           0.004519     NA          0.031878          0.029851            0.029851           0.07                 51            97
1.50          232                1                  256       1         0         1         1              20000            4096        0           0           0.004997     NA          0.031206          0.027778            0.027778           0.07                 67            105
1.51          232                1                  256       1         0         1         1              20000            5120        0           0           0.003192     NA          0.033594          0.039651            0.039650           0.09                 83            92
1.50          232                1                  256       1         0         1         1              20000            6144        0           0           0.003767     NA          0.047688          0.047746            0.047746           0.11                 99            98
1.50          232                1                  256       1         0         1         1              20000            7168        0           0           0.004334     NA          0.049865          0.046529            0.046528           0.11                 115           102
