comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.01          3                  1                  0    8         1         0         1         1024        0           2           .000025      NA          .000135           .000218             .000218            0.01                 9             631
0.01          3                  1                  0    8         1         0         1         10240       0           2           .000223      NA          .001207           .001216             .001216            0.04                 8             1225
0.01          3                  1                  0    8         1         0         1         102400      0           2           .001616      NA          .006630           .007412             .007412            0.22                 53            1401
0.01          3                  1                  0    8         1         0         2         1024        0           2           .000019      NA          .000108           .000155             .000155            0.01                 5             605
0.01          3                  1                  0    8         1         0         2         10240       0           2           .000188      NA          .000850           .001322             .001322            0.05                 8             843
0.01          3                  1                  0    8         1         0         2         102400      0           2           .001367      NA          .005951           .008302             .008302            0.23                 53            1244
0.01          3                  1                  0    8         1         0         3         1024        0           2           .000008      NA          .000088           .000241             .000241            0.02                 4             388
0.01          3                  1                  0    8         1         0         3         10240       0           2           .000077      NA          .000688           .001105             .001105            0.04                 8             839
0.01          3                  1                  0    8         1         0         3         102400      0           2           .000685      NA          .004693           .006797             .006797            0.20                 53            1121
0.01          3                  1                  0    8         1         0         4         1024        0           2           .000007      NA          .000075           .000270             .000270            0.02                 4             370
0.01          3                  1                  0    8         1         0         4         10240       0           2           .000071      NA          .000579           .000760             .000760            0.03                 8             908
0.01          3                  1                  0    8         1         0         4         102400      0           2           .000654      NA          .003238           .005159             .005159            0.17                 47            1007
0.01          3                  1                  0    8         1         0         5         1024        0           2           .000009      NA          .000074           .000267             .000267            0.02                 4             364
0.01          3                  1                  0    8         1         0         5         10240       0           2           .000071      NA          .000697           .001058             .001058            0.04                 8             744
0.01          3                  1                  0    8         1         0         5         102400      0           2           .000651      NA          .003970           .006434             .006434            0.19                 47            1035
0.01          3                  1                  0    8         1         0         6         1024        0           2           .000003      NA          .000037           .000036             .000036            0.01                 4             618
0.01          3                  1                  0    8         1         0         6         10240       0           2           .000022      NA          .000186           .000314             .000314            0.02                 6             768
0.01          3                  1                  0    8         1         0         6         102400      0           2           .000217      NA          .001408           .002941             .002941            0.11                 28            893
0.01          3                  1                  0    64        1         0         1         1024        0           2           .000025      NA          .000279           .000259             .000259            0.02                 7             980
0.01          3                  1                  0    64        1         0         1         10240       0           2           .000224      NA          .002008           .002055             .002055            0.07                 43            1343
0.01          3                  1                  0    64        1         0         1         102400      0           2           .001057      NA          .026590           .026846             .026846            0.59                 400           1699
0.01          3                  1                  0    64        1         0         2         1024        0           2           .000030      NA          .000219           .000297             .000297            0.02                 7             795
0.01          3                  1                  0    64        1         0         2         10240       0           2           .000244      NA          .001458           .002073             .002073            0.07                 43            1038
0.01          3                  1                  0    64        1         0         2         102400      0           2           .001035      NA          .023195           .025625             .025625            0.57                 402           1548
0.01          3                  1                  0    64        1         0         3         1024        0           2           .000008      NA          .000143           .000273             .000273            0.02                 7             635
0.01          3                  1                  0    64        1         0         3         10240       0           2           .000082      NA          .001441           .001838             .001838            0.06                 43            1143
0.01          3                  1                  0    64        1         0         3         102400      0           2           .000362      NA          .016230           .021707             .021707            0.49                 401           1309
0.01          3                  1                  0    64        1         0         4         1024        0           2           .000008      NA          .000157           .000236             .000236            0.01                 7             710
0.01          3                  1                  0    64        1         0         4         10240       0           2           .000086      NA          .001182           .001623             .001623            0.05                 38            1139
0.01          3                  1                  0    64        1         0         4         102400      0           2           .000385      NA          .011936           .017852             .017852            0.42                 350           1199
0.01          3                  1                  0    64        1         0         5         1024        0           2           .000010      NA          .000183           .000389             .000389            0.02                 7             550
0.01          3                  1                  0    64        1         0         5         10240       0           2           .000082      NA          .001181           .001656             .001656            0.06                 38            983
0.01          3                  1                  0    64        1         0         5         102400      0           2           .000350      NA          .015738           .020968             .020968            0.47                 351           1326
0.01          3                  1                  0    64        1         0         6         1024        0           2           .000002      NA          .000074           .000150             .000150            0.02                 5             530
0.01          3                  1                  0    64        1         0         6         10240       0           2           .000021      NA          .000470           .000622             .000622            0.04                 23            968
0.01          3                  1                  0    64        1         0         6         102400      0           2           .000090      NA          .008030           .008682             .008682            0.25                 203           1486
0.01          3                  1                  0    128       1         0         1         1024        0           2           .000026      NA          .000611           .000704             .000704            0.03                 11            910
0.01          3                  1                  0    128       1         0         1         10240       0           2           .000195      NA          .003777           .004200             .004200            0.14                 83            1258
0.01          3                  1                  0    128       1         0         1         102400      0           2           .001077      NA          .044674           .049551             .049551            1.07                 797           1613
0.01          3                  1                  0    128       1         0         2         1024        0           2           .000036      NA          .000432           .000597             .000597            0.03                 11            751
0.01          3                  1                  0    128       1         0         2         10240       0           2           .000235      NA          .003495           .004131             .004131            0.14                 83            1225
0.01          3                  1                  0    128       1         0         2         102400      0           2           .001320      NA          .040273           .046143             .046143            1.01                 800           1564
0.01          3                  1                  0    128       1         0         3         1024        0           2           .000010      NA          .000479           .000615             .000615            0.03                 11            850
0.01          3                  1                  0    128       1         0         3         10240       0           2           .000077      NA          .002760           .004106             .004106            0.13                 83            1044
0.01          3                  1                  0    128       1         0         3         102400      0           2           .000373      NA          .029386           .040202             .040202            0.89                 799           1351
0.01          3                  1                  0    128       1         0         4         1024        0           2           .000008      NA          .000415           .000657             .000657            0.03                 10            691
0.01          3                  1                  0    128       1         0         4         10240       0           2           .000077      NA          .002445           .004144             .004144            0.13                 73            981
0.01          3                  1                  0    128       1         0         4         102400      0           2           .000358      NA          .021553           .033046             .033046            0.77                 699           1227
0.01          3                  1                  0    128       1         0         5         1024        0           2           .000010      NA          .000426           .000593             .000593            0.03                 10            791
0.01          3                  1                  0    128       1         0         5         10240       0           2           .000083      NA          .002658           .003900             .003900            0.12                 73            1081
