program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);freqs(GHz);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
42;BINARY;semihonest;replicated-bin;3;237.99;5652;44;2.5;4096;0.134632;1.73;290;99;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.3;4096;0.144973;1.73;290;99;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.1;4096;0.178184;1.84;290;97;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2;4096;0.147401;1.93;292;99;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.9;4096;0.170108;2.00;290;98;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.8;4096;0.219443;2.16;290;96;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.7;4096;0.174575;2.27;290;99;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.6;4096;0.183373;2.42;290;99;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.5;4096;0.217613;2.52;290;98;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.4;4096;0.203805;2.71;290;99;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.3;4096;0.217478;2.88;290;99;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.2;4096;0.231477;3.10;290;99;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.1;4096;0.251944;3.38;290;99;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1;4096;0.313252;3.72;290;98;NA;0.520248;NA
