comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  datatype  optshare  packbool  protocol  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
3.09          235                1                  2.5         256       1         0         1         9000             8192        0           0           0.013455     NA          0.101699          0.117802            0.117801           0.21                 131           90
3.07          234                1                  2.5         256       1         0         1         8800             8192        0           0           0.013351     NA          0.101270          0.116790            0.116789           0.21                 130           90
3.08          234                1                  2.5         256       1         0         1         8600             8192        0           0           0.013590     NA          0.100492          0.112939            0.112938           0.20                 130           94
3.07          234                1                  2.5         256       1         0         1         8400             8192        0           0           0.013802     NA          0.100339          0.116203            0.116203           0.20                 130           92
3.07          233                1                  2.5         256       1         0         1         8200             8192        0           0           0.013457     NA          0.100573          0.114636            0.114635           0.20                 132           93
3.08          235                1                  2.5         256       1         0         1         8000             8192        0           0           0.013339     NA          0.098146          0.110881            0.110880           0.20                 130           91
3.07          235                1                  2.5         256       1         0         1         7800             8192        0           0           0.013320     NA          0.098939          0.118516            0.118515           0.21                 130           89
3.07          234                1                  2.5         256       1         0         1         7600             8192        0           0           0.013327     NA          0.098380          0.120881            0.120880           0.21                 130           88
3.07          235                1                  2.5         256       1         0         1         7400             8192        0           0           0.013329     NA          0.097806          0.114649            0.114648           0.21                 131           89
3.07          234                1                  2.5         256       1         0         1         7200             8192        0           0           0.013490     NA          0.098292          0.108869            0.108868           0.19                 130           94
3.09          235                1                  2.5         256       1         0         1         7000             8192        0           0           0.013535     NA          0.096472          0.113172            0.113171           0.20                 130           91
3.07          234                1                  2.5         256       1         0         1         6800             8192        0           0           0.013685     NA          0.098222          0.113590            0.113589           0.20                 130           91
3.07          234                1                  2.5         256       1         0         1         6600             8192        0           0           0.013510     NA          0.101200          0.113057            0.113056           0.20                 130           93
3.07          235                1                  2.5         256       1         0         1         6400             8192        0           0           0.013658     NA          0.101521          0.120301            0.120300           0.21                 130           91
3.07          235                1                  2.5         256       1         0         1         6200             8192        0           0           0.013556     NA          0.096840          0.111904            0.111903           0.20                 130           92
3.07          235                1                  2.5         256       1         0         1         6000             8192        0           0           0.013440     NA          0.104043          0.115119            0.115118           0.21                 131           93
3.08          234                1                  2.5         256       1         0         1         5800             8192        0           0           0.013833     NA          0.099667          0.115568            0.115567           0.20                 130           91
3.07          234                1                  2.5         256       1         0         1         5600             8192        0           0           0.013397     NA          0.098107          0.114383            0.114382           0.21                 130           90
3.07          233                1                  2.5         256       1         0         1         5400             8192        0           0           0.013650     NA          0.100100          0.120491            0.120491           0.21                 132           90
3.07          235                1                  2.5         256       1         0         1         5200             8192        0           0           0.013384     NA          0.102845          0.119695            0.119694           0.20                 131           91
3.07          234                1                  2.5         256       1         0         1         5000             8192        0           0           0.013602     NA          0.098011          0.122371            0.122370           0.21                 130           87
3.05          234                1                  2.5         256       1         0         1         4800             8192        0           0           0.013431     NA          0.100047          0.114669            0.114668           0.20                 131           92
3.08          235                1                  2.5         256       1         0         1         4600             8192        0           0           0.013734     NA          0.097622          0.120621            0.120620           0.21                 130           88
3.07          235                1                  2.5         256       1         0         1         4400             8192        0           0           0.013429     NA          0.098347          0.117987            0.117986           0.21                 130           88
3.08          234                1                  2.5         256       1         0         1         4200             8192        0           0           0.013473     NA          0.098237          0.125914            0.125914           0.21                 130           86
3.10          234                1                  2.5         256       1         0         1         4000             8192        0           0           0.013515     NA          0.100850          0.125564            0.125563           0.22                 131           87
3.09          234                1                  2.5         256       1         0         1         3800             8192        0           0           0.013519     NA          0.100208          0.127248            0.127247           0.21                 132           87
3.08          234                1                  2.5         256       1         0         1         3600             8192        0           0           0.013088     NA          0.098323          0.123429            0.123428           0.21                 131           87
3.07          234                1                  2.5         256       1         0         1         3400             8192        0           0           0.013233     NA          0.098904          0.123908            0.123908           0.22                 130           87
3.07          234                1                  2.5         256       1         0         1         3200             8192        0           0           0.013824     NA          0.100471          0.131947            0.131946           0.22                 130           85
3.07          234                1                  2.5         256       1         0         1         3000             8192        0           0           0.013588     NA          0.099416          0.131649            0.131648           0.22                 130           84
3.07          235                1                  2.5         256       1         0         1         2800             8192        0           0           0.013548     NA          0.097808          0.131176            0.131176           0.22                 130           84
3.07          234                1                  2.5         256       1         0         1         2600             8192        0           0           0.013586     NA          0.100731          0.135253            0.135253           0.22                 130           84
3.08          235                1                  2.5         256       1         0         1         2400             8192        0           0           0.013384     NA          0.102028          0.146022            0.146021           0.23                 132           81
3.07          234                1                  2.5         256       1         0         1         2200             8192        0           0           0.013820     NA          0.100971          0.138760            0.138759           0.22                 130           83
3.08          235                1                  2.5         256       1         0         1         2000             8192        0           0           0.013551     NA          0.101491          0.145701            0.145701           0.23                 130           80
3.07          235                1                  2.5         256       1         0         1         1800             8192        0           0           0.013671     NA          0.101057          0.153927            0.153927           0.24                 131           77
3.07          234                1                  2.5         256       1         0         1         1600             8192        0           0           0.013161     NA          0.100645          0.151581            0.151581           0.24                 130           77
3.07          235                1                  2.5         256       1         0         1         1400             8192        0           0           0.013693     NA          0.103236          0.169669            0.169668           0.25                 130           74
3.07          240                1                  2.5         256       1         0         1         1200             8192        0           0           0.013464     NA          0.103688          0.182666            0.182665           0.27                 130           70
3.11          238                1                  2.5         256       1         0         1         1000             8192        0           0           0.013438     NA          0.102949          0.200981            0.200980           0.29                 130           66
3.06          235                1                  2.5         256       1         0         1         800              8192        0           0           0.013504     NA          0.107918          0.236430            0.236429           0.32                 130           60
3.09          234                1                  2.5         256       1         0         1         600              8192        0           0           0.013405     NA          0.110262          0.293108            0.293107           0.38                 130           52
3.07          233                1                  2.5         256       1         0         1         400              8192        0           0           0.013357     NA          0.120271          0.407185            0.407184           0.49                 130           41
3.04          233                1                  2.5         256       1         0         2         9000             8192        0           0           0.026222     NA          0.100309          0.178139            0.178138           0.28                 147           71
3.02          234                1                  2.5         256       1         0         2         8800             8192        0           0           0.026174     NA          0.103671          0.178367            0.178365           0.28                 147           73
3.03          233                1                  2.5         256       1         0         2         8600             8192        0           0           0.025736     NA          0.100396          0.192106            0.192105           0.29                 147           68
3.02          234                1                  2.5         256       1         0         2         8400             8192        0           0           0.025509     NA          0.101457          0.183730            0.183729           0.28                 147           70
3.02          234                1                  2.5         256       1         0         2         8200             8192        0           0           0.026235     NA          0.096428          0.194526            0.194526           0.29                 148           67
3.02          233                1                  2.5         256       1         0         2         8000             8192        0           0           0.026068     NA          0.099718          0.194171            0.194170           0.29                 147           67
3.03          234                1                  2.5         256       1         0         2         7800             8192        0           0           0.025994     NA          0.098353          0.181059            0.181059           0.28                 147           70
3.03          234                1                  2.5         256       1         0         2         7600             8192        0           0           0.025414     NA          0.100943          0.186820            0.186819           0.28                 147           69
3.03          233                1                  2.5         256       1         0         2         7400             8192        0           0           0.026532     NA          0.099892          0.175114            0.175114           0.27                 147           72
3.02          233                1                  2.5         256       1         0         2         7200             8192        0           0           0.026265     NA          0.100425          0.192391            0.192390           0.29                 147           68
3.03          233                1                  2.5         256       1         0         2         7000             8192        0           0           0.026226     NA          0.101784          0.188940            0.188939           0.29                 147           69
3.07          234                1                  2.5         256       1         0         2         6800             8192        0           0           0.025402     NA          0.099998          0.181574            0.181574           0.28                 147           70
3.02          234                1                  2.5         256       1         0         2         6600             8192        0           0           0.026286     NA          0.101610          0.190733            0.190733           0.29                 147           69
3.02          233                1                  2.5         256       1         0         2         6400             8192        0           0           0.025562     NA          0.100982          0.190639            0.190639           0.29                 147           68
3.02          233                1                  2.5         256       1         0         2         6200             8192        0           0           0.026324     NA          0.101015          0.194695            0.194695           0.29                 149           68
3.03          234                1                  2.5         256       1         0         2         6000             8192        0           0           0.026440     NA          0.097521          0.185197            0.185196           0.28                 149           69
3.02          234                1                  2.5         256       1         0         2         5800             8192        0           0           0.025940     NA          0.099673          0.182611            0.182610           0.28                 147           70
3.02          233                1                  2.5         256       1         0         2         5600             8192        0           0           0.026201     NA          0.100140          0.189988            0.189987           0.29                 147           69
3.02          233                1                  2.5         256       1         0         2         5400             8192        0           0           0.025882     NA          0.100916          0.189914            0.189913           0.29                 147           69
3.02          234                1                  2.5         256       1         0         2         5200             8192        0           0           0.025796     NA          0.099238          0.190883            0.190883           0.29                 147           68
3.03          233                1                  2.5         256       1         0         2         5000             8192        0           0           0.025585     NA          0.101151          0.195224            0.195223           0.29                 147           68
3.04          233                1                  2.5         256       1         0         2         4800             8192        0           0           0.026013     NA          0.098559          0.182888            0.182887           0.28                 149           70
3.02          233                1                  2.5         256       1         0         2         4600             8192        0           0           0.025946     NA          0.099368          0.181296            0.181295           0.28                 148           70
3.02          234                1                  2.5         256       1         0         2         4400             8192        0           0           0.026130     NA          0.099942          0.195169            0.195168           0.29                 147           68
3.03          234                1                  2.5         256       1         0         2         4200             8192        0           0           0.025600     NA          0.100642          0.189177            0.189176           0.29                 147           68
3.02          233                1                  2.5         256       1         0         2         4000             8192        0           0           0.025736     NA          0.100747          0.199280            0.199280           0.30                 147           67
3.03          233                1                  2.5         256       1         0         2         3800             8192        0           0           0.026230     NA          0.098245          0.203755            0.203754           0.30                 151           65
3.04          234                1                  2.5         256       1         0         2         3600             8192        0           0           0.026307     NA          0.101811          0.196108            0.196107           0.29                 147           68
3.02          233                1                  2.5         256       1         0         2         3400             8192        0           0           0.026106     NA          0.101445          0.210100            0.210099           0.31                 147           65
3.03          233                1                  2.5         256       1         0         2         3200             8192        0           0           0.025525     NA          0.099302          0.217963            0.217962           0.32                 147           62
3.02          233                1                  2.5         256       1         0         2         3000             8192        0           0           0.026067     NA          0.096833          0.210918            0.210917           0.31                 147           63
3.05          234                1                  2.5         256       1         0         2         2800             8192        0           0           0.026336     NA          0.101104          0.201688            0.201687           0.30                 147           66
3.02          234                1                  2.5         256       1         0         2         2600             8192        0           0           0.026221     NA          0.101279          0.211808            0.211807           0.31                 147           64
3.02          234                1                  2.5         256       1         0         2         2400             8192        0           0           0.025572     NA          0.099698          0.221112            0.221111           0.32                 147           62
3.03          234                1                  2.5         256       1         0         2         2200             8192        0           0           0.025609     NA          0.101271          0.233500            0.233499           0.33                 147           60
3.02          233                1                  2.5         256       1         0         2         2000             8192        0           0           0.026078     NA          0.100925          0.229496            0.229495           0.33                 147           61
3.03          235                1                  2.5         256       1         0         2         1800             8192        0           0           0.026209     NA          0.104078          0.238153            0.238152           0.34                 147           60
3.04          238                1                  2.5         256       1         0         2         1600             8192        0           0           0.026463     NA          0.102882          0.264369            0.264369           0.36                 147           55
3.02          233                1                  2.5         256       1         0         2         1400             8192        0           0           0.026132     NA          0.103773          0.276345            0.276345           0.37                 147           54
3.04          234                1                  2.5         256       1         0         2         1200             8192        0           0           0.025997     NA          0.101895          0.304926            0.304926           0.40                 147           50
3.02          234                1                  2.5         256       1         0         2         1000             8192        0           0           0.025619     NA          0.106756          0.349709            0.349709           0.45                 147           46
3.04          233                1                  2.5         256       1         0         2         800              8192        0           0           0.025515     NA          0.110833          0.418273            0.418272           0.51                 147           40
3.03          234                1                  2.5         256       1         0         2         600              8192        0           0           0.025773     NA          0.112010          0.534336            0.534335           0.63                 147           33
3.02          233                1                  2.5         256       1         0         2         400              8192        0           0           0.026510     NA          0.123415          0.765421            0.765420           0.86                 149           26
2.99          232                1                  2.5         256       1         0         3         9000             8192        0           0           0.024347     NA          0.062177          0.219043            0.219042           0.32                 99            50
2.96          232                1                  2.5         256       1         0         3         8800             8192        0           0           0.024054     NA          0.058072          0.228458            0.228457           0.33                 101           47
2.96          233                1                  2.5         256       1         0         3         8600             8192        0           0           0.023833     NA          0.063830          0.203802            0.203801           0.30                 99            53
2.96          232                1                  2.5         256       1         0         3         8400             8192        0           0           0.024285     NA          0.064511          0.211349            0.211348           0.31                 99            52
2.97          232                1                  2.5         256       1         0         3         8200             8192        0           0           0.024113     NA          0.063559          0.202444            0.202443           0.30                 101           54
2.96          232                1                  2.5         256       1         0         3         8000             8192        0           0           0.024244     NA          0.062313          0.205778            0.205777           0.30                 99            52
2.99          233                1                  2.5         256       1         0         3         7800             8192        0           0           0.024214     NA          0.064986          0.210628            0.210627           0.31                 99            52
2.97          231                1                  2.5         256       1         0         3         7600             8192        0           0           0.023921     NA          0.065635          0.201010            0.201009           0.30                 99            54
2.96          238                1                  2.5         256       1         0         3         7400             8192        0           0           0.023692     NA          0.063915          0.204816            0.204815           0.30                 99            53
2.96          237                1                  2.5         256       1         0         3         7200             8192        0           0           0.024181     NA          0.057158          0.229455            0.229454           0.33                 101           47
2.96          233                1                  2.5         256       1         0         3         7000             8192        0           0           0.024268     NA          0.058226          0.207569            0.207568           0.30                 99            51
