nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;bandwidths(Mbs);input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;cowgear;NA;NA;NA;75;30;175.879;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;cowgear;NA;NA;NA;70;30;181.362;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;cowgear;NA;NA;NA;65;30;189.389;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;cowgear;NA;NA;NA;60;30;196.256;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;cowgear;NA;NA;NA;55;30;209.713;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;cowgear;NA;NA;NA;50;30;217.438;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;cowgear;NA;NA;NA;45;30;236.96;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;cowgear;NA;NA;NA;40;30;257.175;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;cowgear;NA;NA;NA;35;30;292.557;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;chaigear;190320;117120;14671;100;30;362.056;~65060;838.117;2816.07
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;chaigear;NA;NA;NA;95;30;311.575;~65060;838.12;2816.08
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;chaigear;NA;NA;NA;90;30;319.928;~65060;838.119;2816.08
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;chaigear;NA;NA;NA;85;30;327.942;~65060;838.114;2816.07
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;chaigear;NA;NA;NA;80;30;339.061;~65060;838.116;2816.07
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;chaigear;NA;NA;NA;75;30;350.967;~65060;838.119;2816.08
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;chaigear;NA;NA;NA;70;30;363.709;~65060;838.119;2816.08
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;chaigear;NA;NA;NA;65;30;378.643;~65060;838.115;2816.08
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;chaigear;NA;NA;NA;60;30;397.407;~65060;838.12;2816.08
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;chaigear;NA;NA;NA;55;30;417.342;~65060;838.119;2816.08
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;chaigear;NA;NA;NA;50;30;441.899;~65060;838.119;2816.08
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;chaigear;NA;NA;NA;45;30;472.783;~65060;838.119;2816.08
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;chaigear;NA;NA;NA;40;30;511.126;~65060;838.118;2816.08
rapla,tapa,valga;35_set_intersection;FIELD;covertdishonest;chaigear;NA;NA;NA;35;30;558.307;~65060;838.119;2816.08
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;190320;117120;14671;100;30;139.426;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;NA;NA;NA;95;30;143.545;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;NA;NA;NA;90;30;150.871;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;NA;NA;NA;85;30;158.959;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;NA;NA;NA;80;30;166.181;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;NA;NA;NA;75;30;176.686;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;NA;NA;NA;70;30;186.308;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;NA;NA;NA;65;30;197.212;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;NA;NA;NA;60;30;210.947;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;NA;NA;NA;55;30;228.324;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;NA;NA;NA;50;30;245.697;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;NA;NA;NA;45;30;269.277;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;NA;NA;NA;40;30;299.266;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;NA;NA;NA;35;30;337.399;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;190320;117120;14671;100;30;26.3155;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;NA;NA;NA;95;30;26.8821;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;NA;NA;NA;90;30;27.3738;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;NA;NA;NA;85;30;27.611;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;NA;NA;NA;80;30;28.3092;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;NA;NA;NA;75;30;29.1922;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;NA;NA;NA;70;30;29.4453;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;NA;NA;NA;65;30;30.7392;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;NA;NA;NA;60;30;31.6253;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;NA;NA;NA;55;30;32.6111;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;NA;NA;NA;50;30;33.6049;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;NA;NA;NA;45;30;35.4865;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;NA;NA;NA;40;30;37.9522;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;NA;NA;NA;35;30;40.1097;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;190320;117120;14671;100;30;35.0322;~60551;169.066;367.861
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;95;30;35.7674;~60551;169.065;367.86
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;90;30;36.3646;~60551;169.065;367.86
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;85;30;37.2462;~60551;169.065;367.86
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;80;30;38.3149;~60551;169.065;367.86
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;75;30;39.459;~60551;169.066;367.859
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;70;30;40.6872;~60551;169.066;367.86
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;65;30;42.4164;~60551;169.066;367.859
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;60;30;44.2178;~60551;169.065;367.859
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;55;30;46.3815;~60551;169.065;367.859
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;50;30;49.1039;~60551;169.066;367.861
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;45;30;52.5054;~60551;169.066;367.859
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;40;30;56.5531;~60551;169.066;367.86
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;35;30;60.9287;~60551;169.066;367.859
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;190320;117120;14671;100;30;35.7874;~59505;176.519;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;95;30;36.6033;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;90;30;37.2592;~59505;176.519;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;85;30;37.8872;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;80;30;38.9166;~59505;176.519;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;75;30;39.8217;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;70;30;41.074;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;65;30;42.2422;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;60;30;44.0976;~59505;176.52;515.893
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;55;30;45.8163;~59505;176.52;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;50;30;47.9763;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;45;30;50.7238;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;40;30;54.0936;~59505;176.52;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;35;30;58.4312;~59505;176.519;515.891
