comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  datatype  optshare  packbool  protocol  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.47          240                1                  1    128       1         0         4         22500            40960       0           0           0.001644     NA          0.196330          0.259539            0.259538           0.35                 206           82
0.01          3                  1                  1    128       1         0         4         22500            40960       0           1           .000423      NA          .035097           .043281             .043281            0.37                 284           478
1.45          241                1                  1    128       1         0         4         22000            40960       0           0           0.001644     NA          0.194853          0.254553            0.254552           0.34                 206           83
0.01          3                  1                  1    128       1         0         4         22000            40960       0           1           .000423      NA          .036623           .041221             .041221            0.36                 284           504
1.47          240                1                  1    128       1         0         4         21500            40960       0           0           0.001644     NA          0.194415          0.240365            0.240364           0.33                 206           86
0.01          3                  1                  1    128       1         0         4         21500            40960       0           1           .000422      NA          .036694           .044295             .044295            0.39                 284           465
1.47          241                1                  1    128       1         0         4         21000            40960       0           0           0.001642     NA          0.197778          0.243367            0.243366           0.33                 206           86
0.01          3                  1                  1    128       1         0         4         21000            40960       0           1           .000424      NA          .033475           .039369             .039369            0.37                 285           450
1.45          241                1                  1    128       1         0         4         20500            40960       0           0           0.001644     NA          0.196397          0.256260            0.256259           0.34                 206           82
0.01          3                  1                  1    128       1         0         4         20500            40960       0           1           .000421      NA          .031456           .039413             .039413            0.34                 284           475
1.47          240                1                  1    128       1         0         4         20000            40960       0           0           0.001645     NA          0.193873          0.260785            0.260785           0.34                 206           82
0.01          3                  1                  1    128       1         0         4         20000            40960       0           1           .000426      NA          .035365           .040763             .040763            0.36                 285           489
1.47          240                1                  1    128       1         0         4         19500            40960       0           0           0.001644     NA          0.191580          0.247702            0.247701           0.34                 206           82
0.01          3                  1                  1    128       1         0         4         19500            40960       0           1           .000424      NA          .034977           .041159             .041159            0.35                 284           502
1.49          240                1                  1    128       1         0         4         19000            40960       0           0           0.001642     NA          0.195551          0.281999            0.281998           0.37                 206           77
0.01          3                  1                  1    128       1         0         4         19000            40960       0           1           .000421      NA          .033371           .043432             .043432            0.38                 284           451
1.47          240                1                  1    128       1         0         4         18500            40960       0           0           0.001644     NA          0.190879          0.253274            0.253273           0.34                 206           82
0.01          3                  1                  1    128       1         0         4         18500            40960       0           1           .000421      NA          .033769           .041781             .041781            0.37                 284           471
1.49          240                1                  1    128       1         0         4         18000            40960       0           0           0.001683     NA          0.197271          0.250152            0.250152           0.34                 206           75
0.01          3                  1                  1    128       1         0         4         18000            40960       0           1           .000424      NA          .034581           .042607             .042607            0.36                 284           480
1.48          239                1                  1    128       1         0         4         17500            40960       0           0           0.001644     NA          0.198628          0.256375            0.256374           0.34                 206           84
0.01          3                  1                  1    128       1         0         4         17500            40960       0           1           .000426      NA          .034569           .041281             .041281            0.36                 285           495
1.46          240                1                  1    128       1         0         4         17000            40960       0           0           0.001648     NA          0.198902          0.244759            0.244758           0.34                 205           84
0.01          3                  1                  1    128       1         0         4         17000            40960       0           1           .000425      NA          .034457           .041095             .041095            0.36                 285           479
1.49          241                1                  1    128       1         0         4         16500            40960       0           0           0.001645     NA          0.173640          0.241733            0.241732           0.33                 206           80
0.01          3                  1                  1    128       1         0         4         16500            40960       0           1           .000422      NA          .032532           .040414             .040414            0.38                 285           439
1.46          241                1                  1    128       1         0         4         16000            40960       0           0           0.001644     NA          0.184825          0.244601            0.244600           0.33                 206           82
0.01          3                  1                  1    128       1         0         4         16000            40960       0           1           .000425      NA          .034937           .040720             .040720            0.35                 285           487
1.48          240                1                  1    128       1         0         4         15500            40960       0           0           0.001655     NA          0.195528          0.247035            0.247034           0.34                 206           82
0.01          3                  1                  1    128       1         0         4         15500            40960       0           1           .000423      NA          .033786           .039806             .039806            0.34                 284           498
1.49          241                1                  1    128       1         0         4         15000            40960       0           0           0.001646     NA          0.194436          0.251689            0.251688           0.34                 206           75
0.01          3                  1                  1    128       1         0         4         15000            40960       0           1           .000421      NA          .035603           .040714             .040714            0.35                 284           508
1.49          241                1                  1    128       1         0         4         14500            40960       0           0           0.001645     NA          0.200942          0.257168            0.257167           0.35                 205           84
0.01          3                  1                  1    128       1         0         4         14500            40960       0           1           .000426      NA          .034279           .041861             .041861            0.36                 284           482
1.46          240                1                  1    128       1         0         4         14000            40960       0           0           0.001640     NA          0.201441          0.257987            0.257986           0.36                 206           81
0.01          3                  1                  1    128       1         0         4         14000            40960       0           1           .000420      NA          .036605           .042246             .042246            0.38                 285           479
1.48          240                1                  1    128       1         0         4         13500            40960       0           0           0.001646     NA          0.192415          0.246671            0.246670           0.34                 206           74
0.01          3                  1                  1    128       1         0         4         13500            40960       0           1           .000421      NA          .034601           .041988             .041988            0.37                 284           479
1.48          241                1                  1    128       1         0         4         13000            40960       0           0           0.001645     NA          0.145888          0.248495            0.248495           0.33                 206           69
0.01          3                  1                  1    128       1         0         4         13000            40960       0           1           .000421      NA          .035743           .042327             .042326            0.37                 284           474
1.44          240                1                  1    128       1         0         4         12500            40960       0           0           0.001643     NA          0.142719          0.244890            0.244889           0.34                 206           67
0.01          3                  1                  1    128       1         0         4         12500            40960       0           1           .000424      NA          .034691           .042771             .042771            0.37                 284           469
1.46          241                1                  1    128       1         0         4         12000            40960       0           0           0.001678     NA          0.198279          0.246763            0.246762           0.33                 206           78
0.01          3                  1                  1    128       1         0         4         12000            40960       0           1           .000422      NA          .035309           .042398             .042397            0.38                 285           466
1.46          241                1                  1    128       1         0         4         11500            40960       0           0           0.001644     NA          0.194752          0.247720            0.247719           0.34                 206           83
0.01          3                  1                  1    128       1         0         4         11500            40960       0           1           .000420      NA          .035554           .042765             .042765            0.38                 284           468
1.46          240                1                  1    128       1         0         4         11000            40960       0           0           0.001642     NA          0.195324          0.252014            0.252013           0.35                 206           79
0.01          3                  1                  1    128       1         0         4         11000            40960       0           1           .000422      NA          .037365           .043524             .043524            0.36                 284           507
1.47          240                1                  1    128       1         0         4         10500            40960       0           0           0.001644     NA          0.200217          0.250434            0.250433           0.34                 206           85
0.01          3                  1                  1    128       1         0         4         10500            40960       0           1           .000424      NA          .036628           .042465             .042465            0.38                 285           485
1.49          241                1                  1    128       1         0         4         10000            40960       0           0           0.001647     NA          0.198102          0.244328            0.244328           0.33                 205           86
0.01          3                  1                  1    128       1         0         4         10000            40960       0           1           .000423      NA          .032436           .042118             .042118            0.37                 284           451
1.46          241                1                  1    128       1         0         4         9500             40960       0           0           0.001651     NA          0.153956          0.243818            0.243817           0.34                 206           63
0.01          3                  1                  1    128       1         0         4         9500             40960       0           1           .000424      NA          .036363           .043802             .043802            0.36                 284           496
1.45          240                1                  1    128       1         0         4         9000             40960       0           0           0.001648     NA          0.191488          0.254375            0.254374           0.34                 206           82
0.01          3                  1                  1    128       1         0         4         9000             40960       0           1           .000422      NA          .035444           .042744             .042744            0.36                 284           483
1.44          240                1                  1    128       1         0         4         8500             40960       0           0           0.001643     NA          0.192994          0.246705            0.246704           0.34                 206           82
0.01          3                  1                  1    128       1         0         4         8500             40960       0           1           .000421      NA          .037080           .044245             .044245            0.39                 284           470
1.49          240                1                  1    128       1         0         4         8000             40960       0           0           0.001645     NA          0.203161          0.260489            0.260487           0.35                 206           84
0.01          3                  1                  1    128       1         0         4         8000             40960       0           1           .000423      NA          .036223           .045660             .045660            0.39                 285           457
1.45          241                1                  1    128       1         0         5         25000            40960       0           0           0.002307     NA          0.158155          0.247576            0.247575           0.33                 246           73
0.01          3                  1                  1    128       1         0         5         25000            40960       0           1           .000436      NA          .035038           .041208             .041208            0.36                 285           505
1.47          240                1                  1    128       1         0         5         24500            40960       0           0           0.002312     NA          0.158966          0.260064            0.260063           0.36                 246           68
0.01          3                  1                  1    128       1         0         5         24500            40960       0           1           .000441      NA          .037627           .042287             .042287            0.36                 285           519
1.46          241                1                  1    128       1         0         5         24000            40960       0           0           0.002309     NA          0.202702          0.255138            0.255137           0.34                 248           85
0.01          3                  1                  1    128       1         0         5         24000            40960       0           1           .000437      NA          .038988           .041862             .041862            0.37                 285           523
1.49          241                1                  1    128       1         0         5         23500            40960       0           0           0.002311     NA          0.200876          0.254078            0.254077           0.35                 246           82
0.01          3                  1                  1    128       1         0         5         23500            40960       0           1           .000445      NA          .037175           .042251             .042251            0.38                 285           482
1.48          241                1                  1    128       1         0         5         23000            40960       0           0           0.002310     NA          0.206712          0.252408            0.252407           0.34                 246           87
0.01          3                  1                  1    128       1         0         5         23000            40960       0           1           .000441      NA          .037357           .041687             .041687            0.37                 285           498
1.46          240                1                  1    128       1         0         5         22500            40960       0           0           0.002310     NA          0.207621          0.254430            0.254429           0.35                 246           85
0.01          3                  1                  1    128       1         0         5         22500            40960       0           1           .000441      NA          .036180           .043725             .043725            0.39                 285           460
1.44          240                1                  1    128       1         0         5         22000            40960       0           0           0.002311     NA          0.205673          0.281861            0.281859           0.37                 246           79
0.01          3                  1                  1    128       1         0         5         22000            40960       0           1           .000444      NA          .038137           .041636             .041636            0.36                 285           526
1.48          241                1                  1    128       1         0         5         21500            40960       0           0           0.002313     NA          0.206500          0.248788            0.248786           0.35                 246           85
0.01          3                  1                  1    128       1         0         5         21500            40960       0           1           .000443      NA          .037418           .043744             .043744            0.36                 285           509
1.47          240                1                  1    128       1         0         5         21000            40960       0           0           0.002309     NA          0.202162          0.254201            0.254200           0.34                 246           85
0.01          3                  1                  1    128       1         0         5         21000            40960       0           1           .000443      NA          .034215           .042222             .042222            0.37                 285           464
1.45          241                1                  1    128       1         0         5         20500            40960       0           0           0.002311     NA          0.210989          0.252457            0.252455           0.34                 246           88
0.01          3                  1                  1    128       1         0         5         20500            40960       0           1           .000442      NA          .037091           .042160             .042160            0.39                 285           470
1.48          240                1                  1    128       1         0         5         20000            40960       0           0           0.002313     NA          0.209294          0.253653            0.253652           0.34                 246           88
0.01          3                  1                  1    128       1         0         5         20000            40960       0           1           .000440      NA          .037608           .042363             .042363            0.36                 285           519
1.48          241                1                  1    128       1         0         5         19500            40960       0           0           0.002310     NA          0.200035          0.252694            0.252693           0.34                 246           85
0.01          3                  1                  1    128       1         0         5         19500            40960       0           1           .000455      NA          .033783           .041504             .041504            0.35                 285           498
1.46          240                1                  1    128       1         0         5         19000            40960       0           0           0.002308     NA          0.207736          0.265994            0.265993           0.35                 246           85
0.01          3                  1                  1    128       1         0         5         19000            40960       0           1           .000444      NA          .038355           .045505             .045505            0.38                 285           501
1.45          241                1                  1    128       1         0         5         18500            40960       0           0           0.002314     NA          0.210752          0.256039            0.256038           0.34                 246           87
0.01          3                  1                  1    128       1         0         5         18500            40960       0           1           .000440      NA          .038548           .042170             .042170            0.37                 285           514
1.48          240                1                  1    128       1         0         5         18000            40960       0           0           0.002309     NA          0.159794          0.255021            0.255020           0.34                 246           72
0.01          3                  1                  1    128       1         0         5         18000            40960       0           1           .000463      NA          .035958           .040456             .040456            0.36                 285           499
1.47          242                1                  1    128       1         0         5         17500            40960       0           0           0.002312     NA          0.208964          0.268357            0.268356           0.36                 246           84
0.01          3                  1                  1    128       1         0         5         17500            40960       0           1           .000443      NA          .036243           .041921             .041921            0.36                 285           495
1.48          241                1                  1    128       1         0         5         17000            40960       0           0           0.002309     NA          0.207866          0.248237            0.248236           0.33                 246           89
0.01          3                  1                  1    128       1         0         5         17000            40960       0           1           .000441      NA          .036224           .042751             .042751            0.37                 285           483
1.48          240                1                  1    128       1         0         5         16500            40960       0           0           0.002307     NA          0.205727          0.250634            0.250633           0.34                 246           86
0.01          3                  1                  1    128       1         0         5         16500            40960       0           1           .000442      NA          .038321           .044470             .044470            0.39                 285           470
1.49          240                1                  1    128       1         0         5         16000            40960       0           0           0.002310     NA          0.207997          0.265233            0.265232           0.36                 246           81
0.01          3                  1                  1    128       1         0         5         16000            40960       0           1           .000438      NA          .038144           .043333             .043333            0.37                 285           514
1.46          242                1                  1    128       1         0         5         15500            40960       0           0           0.002312     NA          0.206858          0.254730            0.254729           0.35                 246           85
0.01          3                  1                  1    128       1         0         5         15500            40960       0           1           .000439      NA          .036585           .040853             .040852            0.35                 285           523
1.47          240                1                  1    128       1         0         5         15000            40960       0           0           0.002311     NA          0.203837          0.247935            0.247934           0.34                 246           77
0.01          3                  1                  1    128       1         0         5         15000            40960       0           1           .000440      NA          .036736           .043748             .043748            0.38                 285           484
1.50          240                1                  1    128       1         0         5         14500            40960       0           0           0.002309     NA          0.208108          0.248507            0.248506           0.34                 246           79
0.01          3                  1                  1    128       1         0         5         14500            40960       0           1           .000454      NA          .039385           .044149             .044149            0.37                 285           505
1.48          240                1                  1    128       1         0         5         14000            40960       0           0           0.002307     NA          0.205917          0.256466            0.256465           0.34                 246           86
0.01          3                  1                  1    128       1         0         5         14000            40960       0           1           .000441      NA          .034742           .040320             .040320            0.35                 285           490
1.44          240                1                  1    128       1         0         5         13500            40960       0           0           0.002310     NA          0.205341          0.250972            0.250971           0.34                 246           86
0.01          3                  1                  1    128       1         0         5         13500            40960       0           1           .000443      NA          .036175           .042045             .042045            0.37                 285           478
1.46          240                1                  1    128       1         0         5         13000            40960       0           0           0.002310     NA          0.207481          0.249572            0.249571           0.33                 246           89
0.01          3                  1                  1    128       1         0         5         13000            40960       0           1           .000439      NA          .036908           .043064             .043064            0.39                 285           466
1.49          241                1                  1    128       1         0         5         12500            40960       0           0           0.002316     NA          0.209795          0.254551            0.254550           0.34                 246           86
0.01          3                  1                  1    128       1         0         5         12500            40960       0           1           .000440      NA          .039558           .044138             .044138            0.39                 285           493
1.49          241                1                  1    128       1         0         5         12000            40960       0           0           0.002311     NA          0.205663          0.248835            0.248834           0.34                 246           87
0.01          3                  1                  1    128       1         0         5         12000            40960       0           1           .000445      NA          .038703           .043402             .043402            0.37                 285           513
1.49          240                1                  1    128       1         0         5         11500            40960       0           0           0.002312     NA          0.209351          0.248164            0.248162           0.34                 246           88
0.01          3                  1                  1    128       1         0         5         11500            40960       0           1           .000443      NA          .035555           .042768             .042768            0.37                 289           474
1.47          240                1                  1    128       1         0         5         11000            40960       0           0           0.002316     NA          0.181275          0.257258            0.257257           0.35                 246           79
0.01          3                  1                  1    128       1         0         5         11000            40960       0           1           .000440      NA          .035609           .041631             .041631            0.35                 285           512
1.47          241                1                  1    128       1         0         5         10500            40960       0           0           0.002307     NA          0.208230          0.261269            0.261268           0.35                 246           85
0.01          3                  1                  1    128       1         0         5         10500            40960       0           1           .000451      NA          .035003           .041849             .041849            0.36                 285           492
1.47          241                1                  1    128       1         0         5         10000            40960       0           0           0.002308     NA          0.207561          0.258362            0.258361           0.35                 246           86
0.01          3                  1                  1    128       1         0         5         10000            40960       0           1           .000442      NA          .035851           .042746             .042745            0.36                 285           489
1.49          241                1                  1    128       1         0         5         9500             40960       0           0           0.002311     NA          0.199932          0.245351            0.245350           0.33                 246           86
0.01          3                  1                  1    128       1         0         5         9500             40960       0           1           .000442      NA          .038888           .043459             .043459            0.37                 285           513
1.50          241                1                  1    128       1         0         5         9000             40960       0           0           0.002310     NA          0.213296          0.259645            0.259644           0.35                 246           79
0.01          3                  1                  1    128       1         0         5         9000             40960       0           1           .000445      NA          .033129           .041386             .041386            0.35                 285           494
1.49          240                1                  1    128       1         0         5         8500             40960       0           0           0.002309     NA          0.207236          0.251710            0.251709           0.34                 246           87
0.01          3                  1                  1    128       1         0         5         8500             40960       0           1           .000446      NA          .036811           .043486             .043486            0.37                 285           496
1.49          241                1                  1    128       1         0         5         8000             40960       0           0           0.002310     NA          0.209369          0.259059            0.259058           0.35                 246           86
0.01          3                  1                  1    128       1         0         5         8000             40960       0           1           .000441      NA          .035821           .044361             .044361            0.39                 285           451
1.47          241                1                  1    128       1         0         6         25000            40960       0           0           0.000923     NA          0.122144          0.096694            0.096693           0.18                 167           114
0.01          3                  1                  1    128       1         0         6         25000            40960       0           1           .000103      NA          .010739           .014727             .014727            0.19                 167           456
1.47          239                1                  1    128       1         0         6         24500            40960       0           0           0.000923     NA          0.120263          0.092619            0.092618           0.18                 167           115
0.01          3                  1                  1    128       1         0         6         24500            40960       0           1           .000103      NA          .009412           .012560             .012560            0.17                 167           489
1.43          241                1                  1    128       1         0         6         24000            40960       0           0           0.000930     NA          0.121683          0.095584            0.095583           0.18                 167           111
0.01          3                  1                  1    128       1         0         6         24000            40960       0           1           .000105      NA          .009104           .012060             .012060            0.19                 167           417
1.47          239                1                  1    128       1         0         6         23500            40960       0           0           0.000920     NA          0.117488          0.096962            0.096961           0.18                 167           112
0.01          3                  1                  1    128       1         0         6         23500            40960       0           1           .000104      NA          .010640           .014558             .014557            0.18                 167           463
1.47          239                1                  1    128       1         0         6         23000            40960       0           0           0.000925     NA          0.126371          0.100074            0.100072           0.19                 167           113
0.01          3                  1                  1    128       1         0         6         23000            40960       0           1           .000103      NA          .009119           .011836             .011836            0.17                 167           487
1.45          241                1                  1    128       1         0         6         22500            40960       0           0           0.000924     NA          0.127986          0.097261            0.097260           0.18                 167           117
0.01          3                  1                  1    128       1         0         6         22500            40960       0           1           .000104      NA          .009793           .013789             .013789            0.19                 167           423
1.46          240                1                  1    128       1         0         6         22000            40960       0           0           0.000922     NA          0.123076          0.093536            0.093535           0.19                 167           113
0.01          3                  1                  1    128       1         0         6         22000            40960       0           1           .000106      NA          .010792           .014212             .014212            0.18                 167           483
1.43          241                1                  1    128       1         0         6         21500            40960       0           0           0.000925     NA          0.124173          0.096992            0.096991           0.19                 167           110
0.01          3                  1                  1    128       1         0         6         21500            40960       0           1           .000104      NA          .012434           .016558             .016558            0.19                 167           470
1.45          240                1                  1    128       1         0         6         21000            40960       0           0           0.000923     NA          0.124830          0.096701            0.096700           0.18                 167           102
0.01          3                  1                  1    128       1         0         6         21000            40960       0           1           .000103      NA          .011853           .014967             .014967            0.19                 167           475
1.47          240                1                  1    128       1         0         6         20500            40960       0           0           0.000924     NA          0.125780          0.095902            0.095902           0.19                 167           113
0.01          3                  1                  1    128       1         0         6         20500            40960       0           1           .000105      NA          .010966           .014573             .014573            0.19                 167           457
1.46          240                1                  1    128       1         0         6         20000            40960       0           0           0.000922     NA          0.124222          0.100715            0.100714           0.19                 167           110
0.01          3                  1                  1    128       1         0         6         20000            40960       0           1           .000103      NA          .009782           .014478             .014478            0.20                 167           425
1.47          240                1                  1    128       1         0         6         19500            40960       0           0           0.000949     NA          0.127827          0.095311            0.095309           0.19                 167           114
0.01          3                  1                  1    128       1         0         6         19500            40960       0           1           .000106      NA          .012510           .015030             .015030            0.21                 167           454
1.47          239                1                  1    128       1         0         6         19000            40960       0           0           0.000925     NA          0.121740          0.095206            0.095205           0.19                 167           108
0.01          3                  1                  1    128       1         0         6         19000            40960       0           1           .000116      NA          .011043           .013367             .013367            0.19                 167           471
1.47          241                1                  1    128       1         0         6         18500            40960       0           0           0.000925     NA          0.118407          0.090044            0.090043           0.18                 167           115
0.01          3                  1                  1    128       1         0         6         18500            40960       0           1           .000105      NA          .011290           .014838             .014838            0.20                 167           455
1.45          240                1                  1    128       1         0         6         18000            40960       0           0           0.000923     NA          0.077546          0.079679            0.079678           0.17                 167           98
0.01          3                  1                  1    128       1         0         6         18000            40960       0           1           .000105      NA          .011783           .015717             .015717            0.19                 167           460
1.45          240                1                  1    128       1         0         6         17500            40960       0           0           0.000931     NA          0.129496          0.097182            0.097181           0.18                 167           111
0.01          3                  1                  1    128       1         0         6         17500            40960       0           1           .000105      NA          .012057           .014247             .014246            0.20                 167           453
1.46          239                1                  1    128       1         0         6         17000            40960       0           0           0.000929     NA          0.124404          0.096776            0.096775           0.19                 167           96
0.01          3                  1                  1    128       1         0         6         17000            40960       0           1           .000105      NA          .010171           .014035             .014035            0.21                 167           405
1.45          240                1                  1    128       1         0         6         16500            40960       0           0           0.000924     NA          0.122923          0.092168            0.092167           0.18                 167           118
0.01          3                  1                  1    128       1         0         6         16500            40960       0           1           .000105      NA          .009069           .014289             .014289            0.19                 167           429
1.47          240                1                  1    128       1         0         6         16000            40960       0           0           0.000924     NA          0.069228          0.078153            0.078152           0.16                 167           94
