comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  datatype  optshare  packbool  protocol  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.01          3                  1                  1    128       1         0         1         12500            40960       0           1           .001267      NA          .056826           .043752             .043752            0.36                 325           710
1.48          241                1                  1    128       1         0         1         12000            40960       0           0           0.007620     NA          0.347176          0.225405            0.225405           0.33                 324           132
0.01          3                  1                  1    128       1         0         1         12000            40960       0           1           .001244      NA          .056654           .042822             .042822            0.37                 325           694
1.49          241                1                  1    128       1         0         1         11500            40960       0           0           0.007523     NA          0.343098          0.224498            0.224496           0.32                 324           137
0.01          3                  1                  1    128       1         0         1         11500            40960       0           1           .001257      NA          .053881           .045456             .045456            0.38                 325           662
1.47          241                1                  1    128       1         0         1         11000            40960       0           0           0.007444     NA          0.325825          0.228124            0.228123           0.32                 325           130
0.01          3                  1                  1    128       1         0         1         11000            40960       0           1           .001256      NA          .055955           .045285             .045285            0.38                 325           664
1.50          246                1                  1    128       1         0         1         10500            40960       0           0           0.007401     NA          0.348943          0.225603            0.225602           0.32                 324           140
0.01          3                  1                  1    128       1         0         1         10500            40960       0           1           .001251      NA          .055873           .048179             .048179            0.39                 325           654
1.46          241                1                  1    128       1         0         1         10000            40960       0           0           0.007485     NA          0.352098          0.226131            0.226130           0.32                 325           139
0.01          3                  1                  1    128       1         0         1         10000            40960       0           1           .001257      NA          .056858           .049358             .049357            0.42                 325           610
1.50          241                1                  1    128       1         0         1         9500             40960       0           0           0.007586     NA          0.351743          0.224971            0.224970           0.32                 325           139
0.01          3                  1                  1    128       1         0         1         9500             40960       0           1           .001266      NA          .057504           .050712             .050712            0.42                 325           618
1.49          241                1                  1    128       1         0         1         9000             40960       0           0           0.007495     NA          0.345408          0.224499            0.224498           0.32                 324           127
0.01          3                  1                  1    128       1         0         1         9000             40960       0           1           .001267      NA          .056777           .051198             .051198            0.42                 325           605
1.49          241                1                  1    128       1         0         1         8500             40960       0           0           0.007365     NA          0.340537          0.221003            0.221002           0.31                 324           137
0.01          3                  1                  1    128       1         0         1         8500             40960       0           1           .001251      NA          .057488           .053196             .053196            0.43                 325           600
1.48          241                1                  1    128       1         0         1         8000             40960       0           0           0.007511     NA          0.346683          0.229207            0.229206           0.32                 325           135
0.01          3                  1                  1    128       1         0         1         8000             40960       0           1           .001255      NA          .059788           .056948             .056948            0.46                 325           584
