nodes;program;c.domain;adv.model;protocol;partysize;latencies(ms);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;3;5;30;1.42165;NA;~231;3.64414;10.6105
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;3;10;30;2.64167;NA;~231;3.64414;10.6105
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;3;15;30;3.85545;NA;~231;3.64414;10.6105
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;3;20;30;5.08435;NA;~231;3.64414;10.6105
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;3;25;30;6.31535;NA;~231;3.64414;10.6105
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;3;30;30;7.56416;NA;~231;3.64414;10.6105
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;3;35;30;8.7759;NA;~231;3.64414;10.6105
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;3;40;30;10.0043;NA;~231;3.64414;10.6105
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;5;30;1.39942;NA;~228;1.1824;3.38626
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;10;30;2.62732;NA;~228;1.1824;3.38626
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;15;30;3.88413;NA;~228;1.1824;3.38626
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;20;30;5.12884;NA;~228;1.1824;3.38626
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;25;30;6.42322;NA;~228;1.1824;3.38626
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;30;30;7.61892;NA;~228;1.1824;3.38626
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;35;30;8.86487;NA;~228;1.1824;3.38626
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;40;30;10.191;NA;~228;1.1824;3.38626
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;5;30;1.35806;NA;~228;0.73264;2.03698
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;10;30;2.58804;NA;~228;0.73264;2.03698
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;15;30;3.82249;NA;~228;0.73264;2.03698
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;20;30;5.05535;NA;~228;0.73264;2.03698
