program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
35;FIELD;maldishonest;mascot;3;0.44;28;1;0;30;72.7236;72.80;405;155;~68313;13995.7;41957.4
35;FIELD;maldishonest;mascot;3;NA;NA;NA;5;30;284.362;284.63;407;64;~68313;13995.7;41957.4
35;FIELD;maldishonest;mascot;3;NA;NA;NA;10;30;489.357;489.83;416;45;~68313;13995.7;41957.4
35;FIELD;maldishonest;mascot;3;NA;NA;NA;15;30;694.285;694.92;413;39;~68313;13995.7;41957.4
35;FIELD;maldishonest;mascot;3;NA;NA;NA;20;30;900.699;901.52;411;35;~68313;13995.7;41957.4
35;FIELD;maldishonest;mascot;3;NA;NA;NA;25;30;1108.06;1109.06;407;32;~68313;13995.7;41957.4
35;FIELD;maldishonest;mascot;3;NA;NA;NA;30;30;1314.01;1315.17;408;30;~68313;13995.7;41957.4
35;FIELD;maldishonest;mascot;3;NA;NA;NA;35;30;1521.31;1522.65;413;29;~68313;13995.7;41957.4
35;FIELD;maldishonest;mascot;3;NA;NA;NA;40;30;1728.82;1730.34;411;28;~68313;13995.7;41957.4
35;FIELD;maldishonest;mascot;3;NA;NA;NA;45;30;1936.94;1938.63;412;28;~68313;13995.7;41957.4
35;FIELD;maldishonest;mascot;3;NA;NA;NA;50;30;2143.34;2145.19;410;27;~68313;13995.7;41957.4
35;FIELD;semidishonest;hemi;3;0.44;28;1;0;30;13.8057;13.89;49;89;~60322;139.338;398.234
35;FIELD;semidishonest;hemi;3;NA;NA;NA;5;30;182.732;182.99;46;13;~60322;139.338;398.234
35;FIELD;semidishonest;hemi;3;NA;NA;NA;10;30;335.254;335.71;48;7;~60322;139.338;398.234
35;FIELD;semidishonest;hemi;3;NA;NA;NA;15;30;487.628;488.27;46;5;~60322;139.338;398.234
35;FIELD;semidishonest;hemi;3;NA;NA;NA;20;30;639.616;640.44;46;4;~60322;139.338;398.234
35;FIELD;semidishonest;hemi;3;NA;NA;NA;25;30;792.208;793.19;46;3;~60322;139.338;398.234
35;FIELD;semidishonest;hemi;3;NA;NA;NA;30;30;945.017;946.18;48;2;~60322;139.338;398.234
35;FIELD;semidishonest;hemi;3;NA;NA;NA;35;30;1097.1;1098.44;48;2;~60322;139.338;398.234
35;FIELD;semidishonest;hemi;3;NA;NA;NA;40;30;1249.66;1251.19;48;2;~60322;139.338;398.234
35;FIELD;semidishonest;hemi;3;NA;NA;NA;45;30;1405.1;1406.85;46;2;~60322;139.338;398.234
35;FIELD;semidishonest;hemi;3;NA;NA;NA;50;30;1557.68;1559.58;46;1;~60322;139.338;398.234
35;FIELD;semidishonest;semi;3;0.44;28;1;0;30;28.9879;29.05;63;120;~61444;2553.64;7641.14
35;FIELD;semidishonest;semi;3;NA;NA;NA;5;30;198.262;198.48;63;24;~61444;2553.64;7641.14
