comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.47;214;1;1;1;0;1;4096;0;0;0.001808;NA;0.009804;0.008036;0.008034;0.01;5;121
1.64;213;1;1;1;0;2;4096;0;0;0.002957;NA;0.012899;0.013213;0.013213;0.01;5;105
1.58;210;1;1;1;0;3;4096;0;0;0.002420;NA;0.005824;0.008754;0.008753;0.01;5;78
1.44;209;1;1;1;0;4;4096;0;0;0.001301;NA;0.005359;0.008915;0.008914;0.02;5;75
1.41;211;1;1;1;0;5;4096;0;0;0.002207;NA;0.007565;0.011258;0.011257;0.02;6;80
1.31;209;1;1;1;0;6;4096;0;0;0.001307;NA;0.001333;0.001489;0.001488;0.01;4;66
1.80;215;1;8;1;0;1;4096;0;0;0.001721;NA;0.006401;0.007790;0.007790;0.02;5;64
1.66;214;1;8;1;0;2;4096;0;0;0.002963;NA;0.008778;0.010137;0.010136;0.02;6;85
1.48;214;1;8;1;0;3;4096;0;0;0.002194;NA;0.005698;0.008063;0.008062;0.01;5;82
1.46;213;1;8;1;0;4;4096;0;0;0.001302;NA;0.005684;0.008882;0.008881;0.01;5;71
1.55;213;1;8;1;0;5;4096;0;0;0.002252;NA;0.006781;0.007932;0.007932;0.01;5;86
1.62;213;1;8;1;0;6;4096;0;0;0.001328;NA;0.003204;0.003560;0.003559;0.01;5;100
