nodes;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;cpus;quotas;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;FIELD;maldishonest;mascot;NA;NA;6401;6;40;80;4.02221;~25671;10.4968;31.3878
todd,ned,rod;FIELD;maldishonest;mascot;NA;NA;8101;6;40;90;4.88183;~32471;10.5512;31.5238
todd,ned,rod;FIELD;maldishonest;mascot;NA;NA;10001;6;40;100;4.83981;~40071;10.612;31.6758
todd,ned,rod;FIELD;maldishonest;mascot;NA;NA;101;6;80;10;1.12612;~471;10.2952;30.8838
todd,ned,rod;FIELD;maldishonest;mascot;NA;NA;401;6;80;20;1.18095;~1671;10.3048;30.9078
todd,ned,rod;FIELD;maldishonest;mascot;NA;NA;901;6;80;30;1.28856;~3671;10.3208;30.9478
todd,ned,rod;FIELD;maldishonest;mascot;NA;NA;1601;6;80;40;1.23304;~6471;10.3432;31.0038
todd,ned,rod;FIELD;maldishonest;mascot;NA;NA;2501;6;80;50;1.30658;~10071;10.372;31.0758
todd,ned,rod;FIELD;maldishonest;mascot;NA;NA;3601;6;80;60;1.40467;~14471;10.4072;31.1638
todd,ned,rod;FIELD;maldishonest;mascot;NA;NA;4901;6;80;70;1.63089;~19671;10.4488;31.2678
todd,ned,rod;FIELD;maldishonest;mascot;NA;NA;6401;6;80;80;1.88037;~25671;10.4968;31.3878
todd,ned,rod;FIELD;maldishonest;mascot;NA;NA;8101;6;80;90;2.26258;~32471;10.5512;31.5238
todd,ned,rod;FIELD;maldishonest;mascot;NA;NA;10001;6;80;100;2.64057;~40071;10.612;31.6758
todd,ned,rod;FIELD;semihonest;atlas;NA;NA;101;2;40;10;0.055656;~212;0.7232;1.4472
todd,ned,rod;FIELD;semihonest;atlas;NA;NA;401;2;40;20;0.21155;~812;0.7328;1.4688
todd,ned,rod;FIELD;semihonest;atlas;NA;NA;901;2;40;30;0.698541;~1812;0.7488;1.5048
todd,ned,rod;FIELD;semihonest;atlas;NA;NA;1601;2;40;40;1.06527;~3212;0.7712;1.5552
todd,ned,rod;FIELD;semihonest;atlas;NA;NA;2501;2;40;50;1.77809;~5012;0.8;1.62
