nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;11310390;814381;2.3;210;30.0532;21;NA;195.916;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;12407780;892761;2.3;220;34.0892;22;NA;214.305;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;13555970;974741;2.3;230;35.8426;24;NA;234.336;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;14754960;1060321;2.3;240;38.9833;22;NA;255.18;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;16004750;1149501;2.3;250;42.4285;24;NA;276.837;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;17305340;1242281;2.3;260;47.27;22;NA;299.307;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;18656730;1338661;2.3;270;49.9262;24;NA;322.589;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;20058920;1438641;2.3;280;55.0019;24;NA;346.684;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;21511910;1542221;2.3;290;57.1375;24;NA;371.592;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;23015700;1649401;2.3;300;60.7945;23;NA;397.313;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2.2;210;31.2879;21;NA;195.916;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2.2;220;33.9035;23;NA;214.305;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2.2;230;35.7708;23;NA;234.336;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2.2;240;39.8569;22;NA;255.18;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2.2;250;42.8246;21;NA;276.837;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2.2;260;46.6223;24;NA;299.307;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2.2;270;49.0938;24;NA;322.589;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2.2;280;53.7911;25;NA;346.684;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2.2;290;59.1533;23;NA;371.592;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2.2;300;59.7816;25;NA;397.313;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2.1;210;33.6691;24;NA;195.916;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2.1;220;37.3389;22;NA;214.305;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2.1;230;39.8315;22;NA;234.336;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2.1;240;43.7076;21;NA;255.18;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2.1;250;48.756;22;NA;276.837;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2.1;260;51.5993;24;NA;299.307;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2.1;270;56.0912;22;NA;322.589;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2.1;280;59.0701;22;NA;346.684;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2.1;290;63.2565;25;NA;371.592;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2.1;300;67.7869;25;NA;397.313;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2;210;34.7905;21;NA;195.916;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2;220;37.397;21;NA;214.305;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2;230;41.1303;24;NA;234.336;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2;240;44.4349;24;NA;255.18;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2;250;47.6481;24;NA;276.837;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;2;260;52.0476;24;NA;299.307;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;11310390;814381;2.3;210;27.9735;16;NA;11.3256;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;12407780;892761;2.3;220;31.5408;16;NA;12.4237;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;13555970;974741;2.3;230;33.8279;16;NA;13.5726;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;14754960;1060321;2.3;240;38.3415;14;NA;14.7723;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;16004750;1149501;2.3;250;39.9729;14;NA;16.0228;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;17305340;1242281;2.3;260;42.6125;17;NA;17.3241;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;18656730;1338661;2.3;270;46.2326;15;NA;18.6762;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;20058920;1438641;2.3;280;49.6417;17;NA;20.0791;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;21511910;1542221;2.3;290;55.0139;17;NA;21.5328;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;23015700;1649401;2.3;300;58.5558;18;NA;23.0373;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2.2;210;28.5261;15;NA;11.3256;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2.2;220;30.8521;15;NA;12.4237;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2.2;230;34.5914;16;NA;13.5726;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2.2;240;37.4456;16;NA;14.7723;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2.2;250;42.4467;17;NA;16.0228;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2.2;260;42.5667;15;NA;17.3241;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2.2;270;46.0074;17;NA;18.6762;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2.2;280;51.0115;15;NA;20.0791;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2.2;290;53.8791;17;NA;21.5328;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2.2;300;57.7655;18;NA;23.0373;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2.1;210;31.0948;14;NA;11.3256;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2.1;220;34.0702;15;NA;12.4237;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2.1;230;37.8753;15;NA;13.5726;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2.1;240;41.5284;16;NA;14.7723;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2.1;250;45.7701;14;NA;16.0228;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2.1;260;48.5616;15;NA;17.3241;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2.1;270;52.4818;17;NA;18.6762;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2.1;280;56.2344;15;NA;20.0791;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2.1;290;60.9719;17;NA;21.5328;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2.1;300;65.1619;18;NA;23.0373;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2;210;32.8578;14;NA;11.3256;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2;220;35.5441;16;NA;12.4237;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2;230;38.9574;16;NA;13.5726;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2;240;42.3016;16;NA;14.7723;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2;250;45.6233;17;NA;16.0228;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;2;260;49.5186;18;NA;17.3241;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;11310390;814381;2.3;210;49.4676;205;NA;753.772;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;12407780;892761;2.3;220;54.1595;204;NA;832.425;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;13555970;974741;2.3;230;59.1381;204;NA;912.704;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;14754960;1060321;2.3;240;64.5319;206;NA;994.608;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;16004750;1149501;2.3;250;70.1956;205;NA;1078.14;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;17305340;1242281;2.3;260;75.3825;204;NA;1163.29;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;18656730;1338661;2.3;270;81.3795;206;NA;1250.07;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;20058920;1438641;2.3;280;87.9672;205;NA;1338.48;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;21511910;1542221;2.3;290;94.1882;204;NA;1428.51;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;23015700;1649401;2.3;300;100.602;204;NA;1520.17;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2.2;210;49.381;203;NA;753.772;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2.2;220;54.231;205;NA;832.425;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2.2;230;59.2556;203;NA;912.704;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2.2;240;64.5759;204;NA;994.608;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2.2;250;69.9386;204;NA;1078.14;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2.2;260;75.5539;205;NA;1163.29;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2.2;270;81.4675;204;NA;1250.07;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2.2;280;87.5671;204;NA;1338.48;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2.2;290;94.0271;204;NA;1428.51;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2.2;300;100.497;205;NA;1520.17;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2.1;210;51.8255;203;NA;753.772;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2.1;220;57.5375;204;NA;832.425;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2.1;230;62.5963;204;NA;912.704;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2.1;240;68.1502;204;NA;994.608;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2.1;250;73.5978;204;NA;1078.14;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2.1;260;79.4731;205;NA;1163.29;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2.1;270;85.1052;204;NA;1250.07;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2.1;280;92.3248;204;NA;1338.48;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2.1;290;98.9375;205;NA;1428.51;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2.1;300;105.345;205;NA;1520.17;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2;210;53.7414;203;NA;753.772;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2;220;59.7869;204;NA;832.425;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2;230;64.1815;203;NA;912.704;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2;240;70.4801;204;NA;994.608;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2;250;76.1001;205;NA;1078.14;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;2;260;82.2525;204;NA;1163.29;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;11310390;814381;2.3;210;3.47157;24;NA;361.946;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;12407780;892761;2.3;220;3.96009;24;NA;397.063;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;13555970;974741;2.3;230;4.12226;23;NA;433.806;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;14754960;1060321;2.3;240;4.5209;24;NA;472.174;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;16004750;1149501;2.3;250;4.88007;25;NA;512.168;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;17305340;1242281;2.3;260;5.25588;25;NA;553.788;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;18656730;1338661;2.3;270;5.64596;25;NA;597.033;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;20058920;1438641;2.3;280;6.07236;25;NA;641.903;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;21511910;1542221;2.3;290;6.51873;24;NA;688.4;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;23015700;1649401;2.3;300;7.00413;26;NA;736.522;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2.2;210;3.47103;24;NA;361.946;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2.2;220;3.8202;24;NA;397.063;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2.2;230;4.13767;25;NA;433.806;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2.2;240;4.50311;27;NA;472.174;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2.2;250;4.88262;26;NA;512.168;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2.2;260;5.26856;27;NA;553.788;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2.2;270;5.65926;25;NA;597.033;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2.2;280;6.05622;25;NA;641.903;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2.2;290;6.51942;26;NA;688.4;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2.2;300;6.94643;26;NA;736.522;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2.1;210;3.59742;25;NA;361.946;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2.1;220;3.97195;22;NA;397.063;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2.1;230;4.30916;24;NA;433.806;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2.1;240;4.71235;25;NA;472.174;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2.1;250;5.10062;26;NA;512.168;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2.1;260;5.46814;25;NA;553.788;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2.1;270;5.93015;25;NA;597.033;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2.1;280;6.38171;25;NA;641.903;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2.1;290;6.82051;26;NA;688.4;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2.1;300;7.24848;26;NA;736.522;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2;210;3.77033;23;NA;361.946;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;2;220;4.15513;24;NA;397.063;NA
