nodes;program;c.domain;adv.model;protocol;partysize;input_size;packetdrops(%);runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;3;30;0;3.60292;NA;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;3;30;2;43.136;NA;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;3;30;4;159.299;NA;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;3;30;6;392.547;NA;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;30;0;2.89835;NA;~14873;21.2236;63.8308
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;30;2;19.4532;NA;~14873;21.2236;63.8308
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;30;4;62.6771;NA;~14873;21.2236;63.8308
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;30;6;167.709;NA;~14873;21.2236;63.8308
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;30;0;3.02121;NA;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;30;2;63.8233;NA;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;30;4;141.894;NA;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;30;6;259.368;NA;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;sy-rep-field;3;30;0;4.24403;NA;~15046;18.6704;56.1713
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;sy-rep-field;3;30;2;69.8838;NA;~15046;18.6704;56.1713
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;sy-rep-field;3;30;4;153.073;NA;~15046;18.6704;56.1713
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;sy-rep-field;3;30;6;254.723;NA;~15046;18.6704;56.1713
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;shamir;3;30;0;3.02208;NA;~16571;14.3683;43.3357
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;shamir;3;30;2;65.0105;NA;~16571;14.3683;43.3357
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;shamir;3;30;4;186.688;NA;~16571;14.3683;43.3357
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;shamir;3;30;6;370.935;NA;~16571;14.3683;43.3357
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;atlas;3;30;0;5.35547;NA;~29636;38.4537;94.9519
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;atlas;3;30;2;122.975;NA;~29636;38.4537;94.9519
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;atlas;3;30;4;341.491;NA;~29636;38.4537;94.9519
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;atlas;3;30;6;724.361;NA;~29636;38.4537;94.9519
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;30;0;2.30322;NA;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;30;2;53.5658;NA;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;30;4;135.151;NA;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;30;6;244.896;NA;~14711;7.18416;21.7125
