nodes;program;c.domain;adv.model;protocol;partysize;cpus;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;3;10;0.0472058;NA;~88;1.14112;3.26306
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;3;200;0.186706;NA;~1437;3.13378;9.39497
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;3;400;0.329588;NA;~2856;5.14709;15.5885
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;3;600;0.474937;NA;~4275;7.32039;21.782
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;3;800;0.636821;NA;~5699;9.81386;29.416
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;3;1000;0.777452;NA;~7118;11.8272;35.6095
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;3;1200;0.917386;NA;~8537;14.0005;41.803
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;3;1400;1.06668;NA;~9956;16.0138;47.9965
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;3;1600;1.22045;NA;~11380;18.5072;55.6306
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;3;1800;1.47917;NA;~12799;20.6806;61.8241
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;3;2000;1.51794;NA;~14218;22.6939;68.0176
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;3;2200;1.66354;NA;~15637;24.7072;74.2111
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;3;2400;1.82445;NA;~17061;27.3606;81.8451
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2.2;10;0.0507412;NA;~88;1.14112;3.26306
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2.2;200;0.204108;NA;~1437;3.13378;9.39497
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2.2;400;0.36305;NA;~2856;5.14709;15.5885
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2.2;600;0.520079;NA;~4275;7.32039;21.782
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2.2;800;0.69549;NA;~5699;9.81386;29.416
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2.2;1000;0.852018;NA;~7118;11.8272;35.6095
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2.2;1200;1.01921;NA;~8537;14.0005;41.803
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2.2;1400;1.32006;NA;~9956;16.0138;47.9965
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2.2;1600;1.34672;NA;~11380;18.5072;55.6306
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2.2;1800;1.50604;NA;~12799;20.6806;61.8241
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2.2;2000;1.67317;NA;~14218;22.6939;68.0176
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2.2;2200;1.82396;NA;~15637;24.7072;74.2111
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2.2;2400;2.00624;NA;~17061;27.3606;81.8451
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2;10;0.0583272;NA;~88;1.14112;3.26306
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2;200;0.228242;NA;~1437;3.13378;9.39497
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2;400;0.401498;NA;~2856;5.14709;15.5885
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2;600;0.581775;NA;~4275;7.32039;21.782
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2;800;0.78013;NA;~5699;9.81386;29.416
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2;1000;0.949765;NA;~7118;11.8272;35.6095
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2;1200;1.13421;NA;~8537;14.0005;41.803
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2;1400;1.31603;NA;~9956;16.0138;47.9965
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;8;2;1600;1.49431;NA;~11380;18.5072;55.6306
