comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.59          217                1                  3           128       1         0         1         4096        0           0           0.003321     NA          0.021901          0.017396            0.017395           0.03                 35            115
1.43          217                1                  3           128       1         0         1         4096        0           1           .000484      NA          .003091           .004557             .004557            1.43                 217           99
1.43          218                1                  3           128       1         0         1         8192        0           0           0.004920     NA          0.027773          0.026235            0.026234           0.05                 67            101
1.43          217                1                  3           128       1         0         1         8192        0           1           .001024      NA          .006739           .009477             .009476            1.43                 217           99
1.42          217                1                  3           128       1         0         1         40960       0           0           0.028050     NA          0.169595          0.151679            0.151678           0.27                 322           106
1.44          217                1                  3           128       1         0         1         40960       0           1           .007222      NA          .038305           .054588             .054588            1.44                 217           99
1.41          216                1                  3           128       1         0         2         4096        0           0           0.004242     NA          0.013185          0.019347            0.019346           0.03                 39            80
1.40          216                1                  3           128       1         0         2         4096        0           1           .000693      NA          .002941           .004504             .004504            1.40                 216           100
1.41          216                1                  3           128       1         0         2         8192        0           0           0.007982     NA          0.028770          0.036778            0.036778           0.06                 75            87
1.40          216                1                  3           128       1         0         2         8192        0           1           .001462      NA          .006700           .009488             .009488            1.40                 216           99
1.41          216                1                  3           128       1         0         2         40960       0           0           0.047172     NA          0.172112          0.175517            0.175517           0.31                 362           98
1.41          217                1                  3           128       1         0         2         40960       0           1           .010376      NA          .032957           .048202             .048202            1.41                 217           100
1.37          216                1                  3           128       1         0         3         4096        0           0           0.003471     NA          0.007870          0.018529            0.018529           0.03                 27            63
1.38          215                1                  3           128       1         0         3         4096        0           1           .000707      NA          .002139           .004261             .004261            1.38                 215           99
1.38          216                1                  3           128       1         0         3         8192        0           0           0.006803     NA          0.015438          0.035738            0.035737           0.06                 51            65
1.38          215                1                  3           128       1         0         3         8192        0           1           .001506      NA          .004873           .007778             .007778            1.38                 215           99
1.38          216                1                  3           128       1         0         3         40960       0           0           0.041641     NA          0.105242          0.190037            0.190036           0.33                 243           73
1.38          216                1                  3           128       1         0         3         40960       0           1           .010459      NA          .029695           .041391             .041390            1.38                 216           99
1.37          216                1                  3           128       1         0         4         4096        0           0           0.002944     NA          0.007745          0.016945            0.016944           0.03                 27            65
1.37          216                1                  3           128       1         0         4         4096        0           1           .000645      NA          .001930           .003319             .003319            1.37                 216           99
1.36          216                1                  3           128       1         0         4         8192        0           0           0.005990     NA          0.016087          0.032903            0.032902           0.05                 51            69
1.37          215                1                  3           128       1         0         4         8192        0           1           .001392      NA          .003762           .007281             .007281            1.37                 215           99
1.36          214                1                  3           128       1         0         4         40960       0           0           0.036817     NA          0.113027          0.166603            0.166602           0.30                 242           80
1.37          216                1                  3           128       1         0         4         40960       0           1           .009647      NA          .025785           .043409             .043409            1.37                 216           100
1.39          216                1                  3           128       1         0         5         4096        0           0           0.003471     NA          0.009108          0.017990            0.017990           0.03                 31            68
1.38          216                1                  3           128       1         0         5         4096        0           1           .000718      NA          .002279           .003663             .003663            1.38                 216           99
1.38          216                1                  3           128       1         0         5         8192        0           0           0.007225     NA          0.018915          0.035206            0.035205           0.06                 59            73
1.39          217                1                  3           128       1         0         5         8192        0           1           .001485      NA          .005031           .008356             .008356            1.39                 217           99
