program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
42;BINARY;semidishonest;yao;2;236.46;5651;44;NA;NA;NA;262144;64;NA;NA;NA;258048;4105;4096;2;0.5523;2.15;290;97;NA;8.25754;NA;8.25754;4;0.104317;8e-06;1;0.123655;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4096;4;1.19738;2.80;290;97;NA;8.25754;NA;8.25754;4;0.745643;8e-06;1;0.124235;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4096;6;1.69311;4.32;290;74;NA;8.25754;NA;8.25754;4;1.24231;8e-06;1;0.135499;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4096;8;7.66555;10.30;290;89;NA;8.25754;NA;8.25754;4;7.19048;8e-06;1;0.139847;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4096;10;24.9932;28.66;290;91;NA;8.25754;NA;8.25754;4;24.0705;8e-06;1;0.124129;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4096;12;32.142;37.83;290;86;NA;8.25754;NA;8.25754;4;30.8376;8e-06;1;0.348108;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4096;14;126.681;131.33;290;94;NA;8.25754;NA;8.25754;4;122.679;8e-06;1;0.116884;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4096;16;197.624;199.22;290;97;NA;8.25754;NA;8.25754;4;191.706;8e-06;1;0.117322;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;236.46;5651;44;NA;NA;NA;262144;64;NA;NA;NA;258048;4105;4096;2;0.244685;3.16;290;57;NA;0.520248;NA;4.8e-05;3;0.235525;4.8e-05;3;0.243292;NA;NA;NA;NA;NA;NA;0.5202;8;0.0581774;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4096;4;0.235278;2.09;290;86;NA;0.520248;NA;4.8e-05;3;0.229302;4.8e-05;3;0.236694;NA;NA;NA;NA;NA;NA;0.5202;8;0.0551622;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4096;6;0.529695;2.62;292;70;NA;0.520248;NA;4.8e-05;3;0.520612;4.8e-05;3;0.530287;NA;NA;NA;NA;NA;NA;0.5202;8;0.336348;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4096;8;1.83408;5.77;290;32;NA;0.520248;NA;4.8e-05;3;1.8158;4.8e-05;3;1.84282;NA;NA;NA;NA;NA;NA;0.5202;8;1.63385;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4096;10;1.4918;8.28;292;22;NA;0.520248;NA;4.8e-05;3;1.47357;4.8e-05;3;1.49973;NA;NA;NA;NA;NA;NA;0.5202;8;1.28899;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4096;12;6.15393;15.28;290;13;NA;0.520248;NA;4.8e-05;3;6.13089;4.8e-05;3;6.16746;NA;NA;NA;NA;NA;NA;0.5202;8;5.93502;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4096;14;8.25758;15.72;290;11;NA;0.520248;NA;4.8e-05;3;8.24845;4.8e-05;3;8.47315;NA;NA;NA;NA;NA;NA;0.5202;8;7.83438;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4096;16;12.8491;20.24;290;9;NA;0.520248;NA;4.8e-05;3;12.8388;4.8e-05;3;13.0537;NA;NA;NA;NA;NA;NA;0.5202;8;12.4363;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
