comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);freqs(GHz);datatype;optshare;packbool;protocol;bandwidths(Mbs);input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.49;233;1;3;256;1;0;1;25000;40960;0;0;0.025892;NA;0.183128;0.140219;0.140218;0.34;639;111
1.43;233;1;3;256;1;0;1;25000;40960;0;1;.004727;NA;.033332;.069064;.069063;1.43;233;99
1.41;233;1;3;256;1;0;1;24000;40960;0;0;0.025239;NA;0.188154;0.142062;0.142062;0.34;638;112
1.41;232;1;3;256;1;0;1;24000;40960;0;1;.004902;NA;.033168;.066716;.066716;1.41;232;100
1.41;231;1;3;256;1;0;1;23000;40960;0;0;0.026098;NA;0.179559;0.142097;0.142096;0.34;638;108
1.43;232;1;3;256;1;0;1;23000;40960;0;1;.004752;NA;.033056;.071288;.071288;1.43;232;99
1.42;232;1;3;256;1;0;1;22000;40960;0;0;0.025448;NA;0.192511;0.148104;0.148103;0.35;639;110
1.41;232;1;3;256;1;0;1;22000;40960;0;1;.005020;NA;.033783;.077722;.077722;1.41;232;99
1.42;232;1;3;256;1;0;1;21000;40960;0;0;0.025855;NA;0.177160;0.143724;0.143723;0.34;638;109
1.42;232;1;3;256;1;0;1;21000;40960;0;1;.004753;NA;.033205;.071249;.071249;1.42;232;99
1.42;232;1;3;256;1;0;1;20000;40960;0;0;0.026226;NA;0.181780;0.146418;0.146417;0.35;639;107
1.43;232;1;3;256;1;0;1;20000;40960;0;1;.004799;NA;.033846;.074872;.074872;1.43;232;99
1.43;233;1;3;256;1;0;1;19000;40960;0;0;0.025387;NA;0.179607;0.152628;0.152627;0.35;638;107
1.43;233;1;3;256;1;0;1;19000;40960;0;1;.004832;NA;.032569;.075766;.075765;1.43;233;99
1.41;232;1;3;256;1;0;1;18000;40960;0;0;0.024983;NA;0.171860;0.166213;0.166212;0.37;639;99
1.41;233;1;3;256;1;0;1;18000;40960;0;1;.004774;NA;.032697;.080004;.080004;1.41;233;99
1.43;232;1;3;256;1;0;1;17000;40960;0;0;0.026019;NA;0.174148;0.156133;0.156132;0.36;638;103
1.43;232;1;3;256;1;0;1;17000;40960;0;1;.004768;NA;.032976;.084820;.084820;1.43;232;99
1.43;233;1;3;256;1;0;1;16000;40960;0;0;0.026414;NA;0.182392;0.161900;0.161899;0.36;640;105
1.43;232;1;3;256;1;0;1;16000;40960;0;1;.004967;NA;.031704;.093104;.093104;1.43;232;99
1.43;232;1;3;256;1;0;1;15000;40960;0;0;0.025805;NA;0.172331;0.170484;0.170483;0.37;638;99
1.41;232;1;3;256;1;0;1;15000;40960;0;1;.004800;NA;.032083;.093301;.093300;1.41;232;99
1.42;233;1;3;256;1;0;1;14000;40960;0;0;0.025860;NA;0.174458;0.173308;0.173308;0.38;639;99
1.43;232;1;3;256;1;0;1;14000;40960;0;1;.004752;NA;.032353;.105244;.105244;1.43;232;99
1.43;233;1;3;256;1;0;1;13000;40960;0;0;0.026283;NA;0.176877;0.186694;0.186693;0.39;638;97
1.42;232;1;3;256;1;0;1;13000;40960;0;1;.005143;NA;.032008;.110699;.110699;1.42;232;99
1.42;232;1;3;256;1;0;1;12000;40960;0;0;0.025343;NA;0.173307;0.206877;0.206876;0.41;638;91
1.41;232;1;3;256;1;0;1;12000;40960;0;1;.004751;NA;.031227;.119838;.119838;1.41;232;99
1.42;233;1;3;256;1;0;1;11000;40960;0;0;0.026545;NA;0.175936;0.211170;0.211170;0.41;640;91
1.43;231;1;3;256;1;0;1;11000;40960;0;1;.004897;NA;.031422;.127095;.127095;1.43;231;99
1.42;231;1;3;256;1;0;1;10000;40960;0;0;0.026385;NA;0.172071;0.245026;0.245025;0.45;639;82
1.41;231;1;3;256;1;0;1;10000;40960;0;1;.004873;NA;.031620;.143208;.143208;1.41;231;99
1.43;233;1;3;256;1;0;1;9000;40960;0;0;0.026042;NA;0.177215;0.247811;0.247811;0.45;638;84
1.41;232;1;3;256;1;0;1;9000;40960;0;1;.004940;NA;.031393;.153222;.153222;1.41;232;100
1.43;233;1;3;256;1;0;1;8000;40960;0;0;0.025470;NA;0.178811;0.285032;0.285032;0.49;638;77
1.41;233;1;3;256;1;0;1;8000;40960;0;1;.004754;NA;.031199;.166443;.166443;1.41;233;99
1.41;232;1;3;256;1;0;2;25000;40960;0;0;0.044006;NA;0.177691;0.186872;0.186872;0.40;725;97
1.39;231;1;3;256;1;0;2;25000;40960;0;1;.006160;NA;.032475;.058373;.058373;1.39;231;99
