comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;protocol;input_size;preprocess;splitroles;inittime(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.96;231;1;1;1;4096;0;0;0.003137;0.012941;0.016640;0.016640;0.03;5;73
2.93;231;1;1;2;4096;0;0;0.004847;0.017657;0.022998;0.022997;0.03;5;73
2.83;230;1;1;3;4096;0;0;0.003681;0.009636;0.017337;0.017336;0.03;5;63
2.81;228;1;1;4;4096;0;0;0.002773;0.007232;0.014117;0.014116;0.02;5;69
2.85;229;1;1;5;4096;0;0;0.003787;0.013445;0.019181;0.019180;0.02;5;79
2.82;228;1;1;6;4096;0;0;0.001796;0.003203;0.005220;0.005219;0.01;6;76
3.01;234;1;8;1;4096;0;0;0.002653;0.010317;0.014581;0.014580;0.02;5;80
2.96;231;1;8;2;4096;0;0;0.003660;0.011195;0.019003;0.019002;0.03;6;58
2.94;231;1;8;3;4096;0;0;0.003150;0.005805;0.016793;0.016793;0.02;5;52
2.88;230;1;8;4;4096;0;0;0.002726;0.008042;0.013151;0.013150;0.02;7;72
2.90;232;1;8;5;4096;0;0;0.003946;0.007557;0.015134;0.015133;0.02;5;68
2.88;231;1;8;6;4096;0;0;0.001961;0.003817;0.005947;0.005946;0.01;5;85
