comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.65          216                1                  0    10       512       0         1         0         1         0         0         40960       0           0           .001318      NA          .096125           .087697             .087697            .119000              1273          1016
0.02          3                  1                  0    10       512       0         1         0         1         0         0         40960       0           1           .000306      NA          .027748           .061255             .061255            .079166              1273          2663
1.72          218                1                  0    10       512       0         1         0         1         50000     0         40960       0           0           .001320      NA          .110246           .090417             .090417            .122000              1273          1141
0.02          3                  1                  0    10       512       0         1         0         1         50000     0         40960       0           1           .000340      NA          .028420           .062038             .062038            .080000              1273          2737
1.75          218                1                  0    10       512       0         1         0         1         100000    0         40960       0           0           .001363      NA          .110345           .091243             .091243            .122000              1273          1134
0.02          3                  1                  0    10       512       0         1         0         1         100000    0         40960       0           1           .000350      NA          .028308           .061092             .061092            .079666              1273          2703
1.59          218                1                  0    10       512       0         1         0         1         150000    0         40960       0           0           .001358      NA          .104622           .086307             .086307            .117000              1276          1114
0.02          3                  1                  0    10       512       0         1         0         1         150000    0         40960       0           1           .000361      NA          .028287           .060179             .060179            .078500              1276          2753
1.80          218                1                  0    10       512       0         1         0         1         200000    0         40960       0           0           .001341      NA          .101263           .087276             .087276            .117000              1273          1093
0.02          3                  1                  0    10       512       0         1         0         1         200000    0         40960       0           1           .000335      NA          .028325           .060072             .060072            .078833              1273          2738
1.72          217                1                  0    10       512       0         1         0         1         250000    0         40960       0           0           .001351      NA          .101373           .090045             .090045            .120000              1273          1061
0.02          3                  1                  0    10       512       0         1         0         1         250000    0         40960       0           1           .000341      NA          .028529           .061853             .061853            .079000              1273          2740
1.41          217                1                  0    10       512       0         1         0         1         300000    0         40960       0           0           .001362      NA          .101240           .091367             .091367            .124000              1273          1033
0.01          3                  1                  0    10       512       0         1         0         1         300000    0         40960       0           1           .000334      NA          .027693           .061379             .061379            .079333              1273          2662
1.61          218                1                  0    10       512       0         1         0         1         350000    0         40960       0           0           .001296      NA          .098849           .086572             .086572            .118000              1273          1057
0.02          3                  1                  0    10       512       0         1         0         1         350000    0         40960       0           1           .000331      NA          .028011           .062367             .062367            .079500              1273          2679
1.70          218                1                  0    10       512       0         1         0         1         400000    0         40960       0           0           .001296      NA          .102625           .092213             .092213            .121000              1273          1065
0.02          3                  1                  0    10       512       0         1         0         1         400000    0         40960       0           1           .000338      NA          .028066           .061476             .061476            .078000              1273          2734
