comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.65          218                1                  128       1         0         1         25000            4096        0           0           0.004712     NA          0.031220          0.029513            0.029512           0.05                 35            101
1.77          221                1                  128       1         0         1         25000            4096        0           1           .000564      NA          .005422           .007695             .007694            1.77                 221           99
1.76          218                1                  128       1         0         1         25000            8192        0           0           0.006859     NA          0.050523          0.053538            0.053537           0.09                 67            91
1.73          217                1                  128       1         0         1         25000            8192        0           1           .001133      NA          .008766           .014307             .014307            1.73                 217           100
1.46          220                1                  128       1         0         1         25000            40960       0           0           0.051202     NA          0.341107          0.227662            0.227661           0.41                 321           127
1.45          218                1                  128       1         0         1         25000            40960       0           1           .007750      NA          .051920           .061364             .061364            1.45                 218           100
1.91          218                1                  128       1         0         1         23000            4096        0           0           0.003525     NA          0.022139          0.026283            0.026282           0.05                 35            75
1.87          218                1                  128       1         0         1         23000            4096        0           1           .000553      NA          .004881           .008493             .008493            1.87                 218           99
1.77          218                1                  128       1         0         1         23000            8192        0           0           0.009031     NA          0.067737          0.054234            0.054233           0.09                 67            111
1.73          218                1                  128       1         0         1         23000            8192        0           1           .001128      NA          .008669           .016219             .016219            1.73                 218           100
1.76          219                1                  128       1         0         1         23000            40960       0           0           0.051407     NA          0.359622          0.266518            0.266517           0.46                 321           119
1.47          219                1                  128       1         0         1         23000            40960       0           1           .007124      NA          .051838           .060774             .060774            1.47                 219           99
1.78          217                1                  128       1         0         1         21000            4096        0           0           0.003841     NA          0.023554          0.028263            0.028262           0.05                 35            82
1.86          218                1                  128       1         0         1         21000            4096        0           1           .000685      NA          .005273           .009425             .009425            1.86                 218           99
1.58          218                1                  128       1         0         1         21000            8192        0           0           0.005130     NA          0.036286          0.047082            0.047082           0.08                 67            80
1.87          218                1                  128       1         0         1         21000            8192        0           1           .001084      NA          .008811           .013973             .013973            1.87                 218           99
1.59          217                1                  128       1         0         1         21000            40960       0           0           0.049909     NA          0.312796          0.254641            0.254640           0.45                 321           110
1.58          217                1                  128       1         0         1         21000            40960       0           1           .007643      NA          .048110           .057411             .057411            1.58                 217           99
1.46          217                1                  128       1         0         1         19000            4096        0           0           0.003564     NA          0.027465          0.030390            0.030389           0.06                 35            82
1.60          217                1                  128       1         0         1         19000            4096        0           1           .000548      NA          .004352           .008349             .008349            1.60                 217           100
1.93          217                1                  128       1         0         1         19000            8192        0           0           0.006938     NA          0.047420          0.047008            0.047007           0.10                 67            86
1.75          217                1                  128       1         0         1         19000            8192        0           1           .001249      NA          .009287           .015071             .015071            1.75                 217           99
1.69          219                1                  128       1         0         1         19000            40960       0           0           0.033057     NA          0.275153          0.239120            0.239120           0.43                 321           100
1.78          218                1                  128       1         0         1         19000            40960       0           1           .006923      NA          .051319           .056529             .056528            1.78                 218           99
1.99          218                1                  128       1         0         1         17000            4096        0           0           0.004730     NA          0.038502          0.029058            0.029057           0.05                 35            121
1.60          217                1                  128       1         0         1         17000            4096        0           1           .000582      NA          .005428           .008178             .008178            1.60                 217           99
1.55          217                1                  128       1         0         1         17000            8192        0           0           0.009183     NA          0.064569          0.054690            0.054689           0.09                 67            110
1.95          219                1                  128       1         0         1         17000            8192        0           1           .001106      NA          .009221           .011400             .011400            1.95                 219           99
1.47          218                1                  128       1         0         1         17000            40960       0           0           0.050915     NA          0.321372          0.260871            0.260870           0.46                 321           112
1.52          218                1                  128       1         0         1         17000            40960       0           1           .006771      NA          .050856           .061523             .061523            1.52                 218           99
1.57          218                1                  128       1         0         1         15000            4096        0           0           0.004550     NA          0.031073          0.029996            0.029995           0.05                 35            100
1.87          216                1                  128       1         0         1         15000            4096        0           1           .000598      NA          .007557           .006546             .006546            1.87                 216           99
1.60          219                1                  128       1         0         1         15000            8192        0           0           0.005294     NA          0.041726          0.045680            0.045679           0.09                 67            79
1.73          218                1                  128       1         0         1         15000            8192        0           1           .001042      NA          .008189           .013387             .013387            1.73                 218           100
1.75          218                1                  128       1         0         1         15000            40960       0           0           0.029345     NA          0.272605          0.249958            0.249957           0.44                 321           93
1.54          218                1                  128       1         0         1         15000            40960       0           1           .006735      NA          .051513           .059921             .059921            1.54                 218           99
1.70          217                1                  128       1         0         1         13000            4096        0           0           0.004574     NA          0.035683          0.030564            0.030563           0.05                 35            111
1.46          217                1                  128       1         0         1         13000            4096        0           1           .000602      NA          .003670           .007058             .007058            1.46                 217           99
1.73          218                1                  128       1         0         1         13000            8192        0           0           0.006895     NA          0.043864          0.041718            0.041718           0.08                 67            96
1.83          218                1                  128       1         0         1         13000            8192        0           1           .001252      NA          .011075           .014324             .014324            1.83                 218           99
1.75          218                1                  128       1         0         1         13000            40960       0           0           0.031297     NA          0.294788          0.213371            0.213370           0.40                 321           109
1.58          217                1                  128       1         0         1         13000            40960       0           1           .007943      NA          .049036           .064240             .064240            1.58                 217           99
1.56          218                1                  128       1         0         1         11000            4096        0           0           0.002847     NA          0.022460          0.026114            0.026113           0.05                 35            70
1.56          217                1                  128       1         0         1         11000            4096        0           1           .000603      NA          .007081           .007234             .007234            1.56                 217           100
1.60          217                1                  128       1         0         1         11000            8192        0           0           0.006963     NA          0.044475          0.047866            0.047865           0.09                 67            84
1.77          217                1                  128       1         0         1         11000            8192        0           1           .001140      NA          .009389           .014571             .014571            1.77                 217           99
1.71          218                1                  128       1         0         1         11000            40960       0           0           0.038752     NA          0.287605          0.251206            0.251205           0.44                 321           106
1.63          218                1                  128       1         0         1         11000            40960       0           1           .007059      NA          .049458           .064460             .064460            1.63                 218           99
1.75          217                1                  128       1         0         1         9000             4096        0           0           0.003460     NA          0.021175          0.028519            0.028518           0.06                 35            67
1.48          218                1                  128       1         0         1         9000             4096        0           1           .000570      NA          .003792           .006994             .006994            1.48                 218           100
