comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.55          227                1                  1    1        128       1         0         1         4096        0           0           0.001478     NA          0.046727          0.030371            0.030370           0.05                 39            141
0.01          3                  1                  1    1        128       1         0         1         4096        0           1           .000246      NA          .007947           .006276             .006276            0.06                 39            638
0.01          3                  1                  1    1        128       1         0         1         4096        0           2           .000086      NA          .003023           .002470             .002470            0.07                 39            1815
1.65          230                1                  1    1        128       1         0         1         40960       0           0           0.014918     NA          0.572701          0.382916            0.382915           0.47                 324           139
0.01          3                  1                  1    1        128       1         0         1         40960       0           1           .002121      NA          .088552           .058222             .058222            0.46                 325           803
0.01          3                  1                  1    1        128       1         0         1         40960       0           2           .000789      NA          .031883           .025726             .025726            0.58                 330           2065
1.61          229                1                  1    1        128       1         0         1         409600      0           0           0.155022     NA          3.208773          2.298332            2.298331           3.07                 3182          129
0.01          3                  1                  1    1        128       1         0         1         409600      0           1           .022577      NA          .636657           .473189             .473189            3.61                 3182          748
0.01          3                  1                  1    1        128       1         0         1         409600      0           2           .007543      NA          .287398           .251463             .251463            5.40                 3183          1976
1.70          227                1                  1    1        128       1         0         2         4096        0           0           0.002342     NA          0.041117          0.033970            0.033969           0.05                 39            120
0.01          3                  1                  1    1        128       1         0         2         4096        0           1           .000594      NA          .006675           .007007             .007007            0.07                 39            520
0.01          3                  1                  1    1        128       1         0         2         4096        0           2           .000199      NA          .002462           .002492             .002492            0.07                 42            1607
1.46          227                1                  1    1        128       1         0         2         40960       0           0           0.024059     NA          0.450985          0.390179            0.390178           0.50                 326           110
0.02          3                  1                  1    1        128       1         0         2         40960       0           1           .004444      NA          .063859           .060713             .060713            0.48                 326           594
0.01          3                  1                  1    1        128       1         0         2         40960       0           2           .001656      NA          .025878           .024768             .024768            0.58                 326           1774
1.44          227                1                  1    1        128       1         0         2         409600      0           0           0.220451     NA          2.747250          2.491383            2.491382           3.43                 3194          105
0.02          3                  1                  1    1        128       1         0         2         409600      0           1           .037313      NA          .496828           .478092             .478092            3.83                 3195          583
0.01          3                  1                  1    1        128       1         0         2         409600      0           2           .014425      NA          .238460           .228125             .228125            5.19                 3195          1784
1.69          227                1                  1    1        128       1         0         3         4096        0           0           0.001890     NA          0.023492          0.040866            0.040865           0.07                 27            65
0.01          3                  1                  1    1        128       1         0         3         4096        0           1           .000301      NA          .005314           .006993             .006993            0.07                 39            437
0.01          3                  1                  1    1        128       1         0         3         4096        0           2           .000104      NA          .001933           .002431             .002431            0.07                 39            1365
1.56          227                1                  1    1        128       1         0         3         40960       0           0           0.015654     NA          0.244810          0.377242            0.377241           0.47                 206           72
0.01          3                  1                  1    1        128       1         0         3         40960       0           1           .002378      NA          .053247           .062081             .062081            0.50                 325           486
0.02          3                  1                  1    1        128       1         0         3         40960       0           2           .000943      NA          .021536           .025801             .025800            0.60                 325           1455
1.55          231                1                  1    1        128       1         0         3         409600      0           0           0.108901     NA          1.728582          2.716606            2.716606           3.36                 2001          68
0.01          3                  1                  1    1        128       1         0         3         409600      0           1           .019493      NA          .409701           .499945             .499945            3.83                 3188          481
0.01          3                  1                  1    1        128       1         0         3         409600      0           2           .008459      NA          .183934           .231498             .231498            5.05                 3188          1447
1.45          228                1                  1    1        128       1         0         4         4096        0           0           0.001644     NA          0.023589          0.036083            0.036082           0.05                 27            79
0.01          3                  1                  1    1        128       1         0         4         4096        0           1           .000285      NA          .005047           .005988             .005988            0.06                 35            485
0.01          3                  1                  1    1        128       1         0         4         4096        0           2           .000103      NA          .001561           .002230             .002230            0.07                 35            1178
1.56          227                1                  1    1        128       1         0         4         40960       0           0           0.014458     NA          0.245417          0.369367            0.369366           0.47                 206           70
0.01          3                  1                  1    1        128       1         0         4         40960       0           1           .002584      NA          .046952           .058214             .058214            0.46                 284           484
0.02          3                  1                  1    1        128       1         0         4         40960       0           2           .000920      NA          .018580           .023371             .023371            0.56                 285           1380
1.64          226                1                  1    1        128       1         0         4         409600      0           0           0.091393     NA          1.656198          2.603954            2.603953           3.44                 1994          66
0.01          3                  1                  1    1        128       1         0         4         409600      0           1           .021478      NA          .363222           .451762             .451762            3.50                 2782          481
0.01          3                  1                  1    1        128       1         0         4         409600      0           2           .008331      NA          .155807           .199747             .199747            4.54                 2782          1411
1.44          226                1                  1    1        128       1         0         5         4096        0           0           0.001670     NA          0.022134          0.032910            0.032909           0.05                 31            77
0.01          3                  1                  1    1        128       1         0         5         4096        0           1           .000300      NA          .005185           .006160             .006159            0.06                 35            485
0.01          3                  1                  1    1        128       1         0         5         4096        0           2           .000103      NA          .001901           .002247             .002247            0.07                 35            1363
1.66          227                1                  1    1        128       1         0         5         40960       0           0           0.016110     NA          0.311074          0.398004            0.398003           0.49                 246           81
0.01          3                  1                  1    1        128       1         0         5         40960       0           1           .002462      NA          .050683           .057509             .057509            0.45                 285           525
0.01          3                  1                  1    1        128       1         0         5         40960       0           2           .000919      NA          .021097           .024569             .024569            0.57                 285           1494
1.56          226                1                  1    1        128       1         0         5         409600      0           0           0.105752     NA          1.904615          2.525758            2.525757           3.22                 2401          78
0.01          3                  1                  1    1        128       1         0         5         409600      0           1           .025501      NA          .404993           .485378             .485377            3.75                 2788          499
0.01          3                  1                  1    1        128       1         0         5         409600      0           2           .008655      NA          .181161           .221281             .221281            4.91                 2788          1468
1.56          227                1                  1    1        128       1         0         6         4096        0           0           0.000893     NA          0.012187          0.010659            0.010658           0.03                 23            106
0.01          3                  1                  1    1        128       1         0         6         4096        0           1           .000086      NA          .001936           .002174             .002174            0.04                 23            522
0.01          3                  1                  1    1        128       1         0         6         4096        0           2           .000030      NA          .000676           .000984             .000984            0.05                 23            1235
1.59          226                1                  1    1        128       1         0         6         40960       0           0           0.007597     NA          0.151465          0.124970            0.124969           0.20                 167           114
0.01          3                  1                  1    1        128       1         0         6         40960       0           1           .000714      NA          .016281           .018993             .018993            0.20                 167           513
0.01          3                  1                  1    1        128       1         0         6         40960       0           2           .000282      NA          .007401           .009044             .009044            0.27                 167           1412
1.52          226                1                  1    1        128       1         0         6         409600      0           0           0.053970     NA          1.098560          1.057701            1.057700           1.63                 1607          101
0.01          3                  1                  1    1        128       1         0         6         409600      0           1           .007551      NA          .159013           .188752             .188752            1.83                 1607          497
0.01          3                  1                  1    1        128       1         0         6         409600      0           2           .002427      NA          .071977           .087696             .087696            2.41                 1607          1445
1.71          229                1                  1    1        256       1         0         1         4096        0           0           0.001472     NA          0.060274          0.035597            0.035596           0.06                 70            127
0.01          3                  1                  1    1        256       1         0         1         4096        0           1           .000222      NA          .014248           .010108             .010108            0.11                 71            624
0.01          3                  1                  1    1        256       1         0         1         4096        0           2           .000079      NA          .005154           .003924             .003924            0.11                 72            2058
1.59          228                1                  1    1        256       1         0         1         40960       0           0           0.014936     NA          0.794258          0.504280            0.504279           0.66                 642           144
0.01          3                  1                  1    1        256       1         0         1         40960       0           1           .002501      NA          .135503           .082840             .082840            0.69                 642           850
0.01          3                  1                  1    1        256       1         0         1         40960       0           2           .000792      NA          .048541           .038921             .038921            0.88                 647           2108
1.57          227                1                  1    1        256       1         0         1         409600      0           0           0.101560     NA          4.890053          3.120748            3.120747           4.37                 6357          139
0.01          3                  1                  1    1        256       1         0         1         409600      0           1           .017463      NA          1.004805          .697648             .697648            5.49                 6357          773
0.01          3                  1                  1    1        256       1         0         1         409600      0           2           .006308      NA          .451405           .382573             .382573            8.32                 6357          2042
1.45          232                1                  1    1        256       1         0         2         4096        0           0           0.002489     NA          0.060447          0.059350            0.059349           0.09                 71            96
0.01          3                  1                  1    1        256       1         0         2         4096        0           1           .000660      NA          .011439           .010442             .010442            0.10                 71            612
0.01          3                  1                  1    1        256       1         0         2         4096        0           2           .000216      NA          .004293           .003977             .003977            0.12                 71            1658
1.46          227                1                  1    1        256       1         0         2         40960       0           0           0.023856     NA          0.675108          0.553777            0.553775           0.73                 644           114
0.01          3                  1                  1    1        256       1         0         2         40960       0           1           .005203      NA          .092958           .086538             .086538            0.73                 645           589
0.01          3                  1                  1    1        256       1         0         2         40960       0           2           .002050      NA          .039942           .037475             .037475            0.89                 645           1805
1.85          228                1                  1    1        256       1         0         2         409600      0           0           0.161252     NA          4.515042          3.825182            3.825181           5.23                 6382          105
0.01          3                  1                  1    1        256       1         0         2         409600      0           1           .044282      NA          .763614           .691965             .691965            5.57                 6382          627
0.01          3                  1                  1    1        256       1         0         2         409600      0           2           .017937      NA          .355729           .342593             .342593            7.87                 6382          1805
1.43          227                1                  1    1        256       1         0         3         4096        0           0           0.001042     NA          0.024500          0.043898            0.043898           0.07                 47            77
0.01          3                  1                  1    1        256       1         0         3         4096        0           1           .000244      NA          .008816           .010327             .010327            0.10                 71            495
0.01          3                  1                  1    1        256       1         0         3         4096        0           2           .000093      NA          .003115           .003877             .003877            0.11                 71            1342
1.55          228                1                  1    1        256       1         0         3         40960       0           0           0.010850     NA          0.259883          0.493028            0.493028           0.65                 406           57
0.02          3                  1                  1    1        256       1         0         3         40960       0           1           .002458      NA          .073575           .083538             .083538            0.69                 643           497
0.01          3                  1                  1    1        256       1         0         3         40960       0           2           .000914      NA          .030410           .035255             .035255            0.83                 643           1527
1.61          226                1                  1    1        256       1         0         3         409600      0           0           0.101965     NA          2.512687          4.070455            4.070454           5.35                 3994          69
0.01          3                  1                  1    1        256       1         0         3         409600      0           1           .020052      NA          .589538           .694216             .694215            5.43                 6369          512
0.01          3                  1                  1    1        256       1         0         3         409600      0           2           .007335      NA          .269244           .306463             .306463            6.98                 6369          1591
1.46          227                1                  1    1        256       1         0         4         4096        0           0           0.001582     NA          0.035392          0.049455            0.049454           0.07                 47            86
0.01          3                  1                  1    1        256       1         0         4         4096        0           1           .000268      NA          .007498           .009204             .009204            0.09                 62            486
0.01          3                  1                  1    1        256       1         0         4         4096        0           2           .000097      NA          .002698           .003322             .003322            0.10                 63            1467
1.55          227                1                  1    1        256       1         0         4         40960       0           0           0.010363     NA          0.289906          0.472890            0.472889           0.64                 404           67
0.01          3                  1                  1    1        256       1         0         4         40960       0           1           .002456      NA          .069023           .079973             .079973            0.66                 562           511
0.01          3                  1                  1    1        256       1         0         4         40960       0           2           .000894      NA          .026227           .031048             .031048            0.76                 562           1485
1.56          227                1                  1    1        256       1         0         4         409600      0           0           0.096227     NA          2.527976          3.658816            3.658815           4.83                 3982          74
0.01          3                  1                  1    1        256       1         0         4         409600      0           1           .019302      NA          .524937           .625161             .625161            5.01                 5557          507
0.01          3                  1                  1    1        256       1         0         4         409600      0           2           .007175      NA          .210273           .263495             .263495            6.22                 5557          1460
1.46          226                1                  1    1        256       1         0         5         4096        0           0           0.001061     NA          0.028694          0.048585            0.048585           0.07                 55            77
0.01          3                  1                  1    1        256       1         0         5         4096        0           1           .000252      NA          .008289           .010228             .010227            0.11                 62            450
0.01          3                  1                  1    1        256       1         0         5         4096        0           2           .000096      NA          .003090           .003580             .003580            0.11                 63            1395
1.91          227                1                  1    1        256       1         0         5         40960       0           0           0.014895     NA          0.387068          0.494261            0.494260           0.65                 485           81
0.01          3                  1                  1    1        256       1         0         5         40960       0           1           .002526      NA          .075470           .080473             .080473            0.67                 563           535
0.01          3                  1                  1    1        256       1         0         5         40960       0           2           .000903      NA          .029804           .032792             .032792            0.80                 563           1565
1.74          227                1                  1    1        256       1         0         5         409600      0           0           0.107276     NA          2.606825          3.959106            3.959104           5.17                 4794          71
0.01          3                  1                  1    1        256       1         0         5         409600      0           1           .019843      NA          .584137           .655147             .655147            5.17                 5570          529
0.01          3                  1                  1    1        256       1         0         5         409600      0           2           .007287      NA          .258381           .296490             .296490            6.77                 5570          1586
1.42          226                1                  1    1        256       1         0         6         4096        0           0           0.000680     NA          0.024255          0.018223            0.018222           0.04                 39            113
0.01          3                  1                  1    1        256       1         0         6         4096        0           1           .000076      NA          .002243           .003466             .003466            0.06                 39            351
0.01          3                  1                  1    1        256       1         0         6         4096        0           2           .000028      NA          .001175           .001490             .001490            0.06                 39            1372
1.86          226                1                  1    1        256       1         0         6         40960       0           0           0.008199     NA          0.211052          0.207541            0.207540           0.35                 327           101
0.01          3                  1                  1    1        256       1         0         6         40960       0           1           .000739      NA          .024109           .030328             .030327            0.33                 327           519
0.01          3                  1                  1    1        256       1         0         6         40960       0           2           .000266      NA          .009349           .012845             .012844            0.42                 327           1348
1.72          225                1                  1    1        256       1         0         6         409600      0           0           0.060080     NA          1.477919          1.530006            1.530006           2.46                 3207          95
0.01          3                  1                  1    1        256       1         0         6         409600      0           1           .005790      NA          .225032           .292866             .292866            2.97                 3207          469
0.01          3                  1                  1    1        256       1         0         6         409600      0           2           .002108      NA          .088122           .114881             .114881            3.48                 3212          1481
1.45          228                1                  1    2        128       1         0         1         4096        0           0           0.001530     NA          0.035367          0.031625            0.031624           0.06                 37            196
0.01          3                  1                  1    2        128       1         0         1         4096        0           1           .000127      NA          .003953           .003512             .003512            0.09                 38            926
0.01          3                  1                  1    2        128       1         0         1         4096        0           2           .000055      NA          .002044           .001862             .001862            0.11                 38            3504
1.54          228                1                  1    2        128       1         0         1         40960       0           0           0.015018     NA          0.553317          0.375445            0.375444           0.47                 323           268
0.01          3                  1                  1    2        128       1         0         1         40960       0           1           .001342      NA          .045770           .032785             .032784            0.56                 323           1397
0.01          3                  1                  1    2        128       1         0         1         40960       0           2           .000558      NA          .021376           .020248             .020248            0.91                 323           3589
1.45          227                1                  1    2        128       1         0         1         409600      0           0           0.101278     NA          3.125821          2.293078            2.293077           2.92                 3181          253
0.01          3                  1                  1    2        128       1         0         1         409600      0           1           .012082      NA          .395598           .329566             .329566            4.80                 3181          1381
0.01          3                  1                  1    2        128       1         0         1         409600      0           2           .004065      NA          .220263           .205811             .205811            8.84                 3186          3630
1.44          226                1                  1    2        128       1         0         2         4096        0           0           0.002580     NA          0.030178          0.025962            0.025961           0.05                 38            221
0.01          3                  1                  1    2        128       1         0         2         4096        0           1           .000300      NA          .003452           .003674             .003674            0.08                 38            971
0.01          3                  1                  1    2        128       1         0         2         4096        0           2           .000101      NA          .001706           .001721             .001721            0.10                 38            3238
1.61          228                1                  1    2        128       1         0         2         40960       0           0           0.024091     NA          0.466341          0.401269            0.401268           0.52                 324           221
0.01          3                  1                  1    2        128       1         0         2         40960       0           1           .002865      NA          .037259           .034906             .034906            0.58                 324           1176
0.01          3                  1                  1    2        128       1         0         2         40960       0           2           .000904      NA          .017965           .018659             .018659            0.86                 325           3280
1.46          228                1                  1    2        128       1         0         2         409600      0           0           0.242176     NA          2.886899          2.489267            2.489266           3.31                 3193          216
0.01          3                  1                  1    2        128       1         0         2         409600      0           1           .021409      NA          .299810           .294307             .294307            4.59                 3193          1162
0.01          3                  1                  1    2        128       1         0         2         409600      0           2           .007822      NA          .185479           .189015             .189015            8.37                 3193          3358
1.43          227                1                  1    2        128       1         0         3         4096        0           0           0.001734     NA          0.018530          0.030839            0.030838           0.05                 25            153
0.01          3                  1                  1    2        128       1         0         3         4096        0           1           .000156      NA          .002943           .003714             .003714            0.08                 38            840
0.01          3                  1                  1    2        128       1         0         3         4096        0           2           .000050      NA          .001179           .001531             .001531            0.09                 38            2552
1.72          226                1                  1    2        128       1         0         3         40960       0           0           0.016031     NA          0.272669          0.422078            0.422077           0.52                 205           143
0.01          3                  1                  1    2        128       1         0         3         40960       0           1           .001393      NA          .028501           .034757             .034757            0.55                 324           980
0.01          3                  1                  1    2        128       1         0         3         40960       0           2           .000467      NA          .014390           .017972             .017972            0.83                 324           2769
1.45          228                1                  1    2        128       1         0         3         409600      0           0           0.156641     NA          1.791281          2.731136            2.731135           3.50                 1999          140
0.01          3                  1                  1    2        128       1         0         3         409600      0           1           .011535      NA          .241011           .301371             .301371            4.55                 3187          954
0.01          3                  1                  1    2        128       1         0         3         409600      0           2           .003910      NA          .142765           .179753             .179753            7.80                 3187          2828
1.43          227                1                  1    2        128       1         0         4         4096        0           0           0.001723     NA          0.017659          0.026985            0.026984           0.04                 25            157
0.01          3                  1                  1    2        128       1         0         4         4096        0           1           .000156      NA          .002851           .003418             .003418            0.07                 34            922
0.02          3                  1                  1    2        128       1         0         4         4096        0           2           .000048      NA          .000935           .001202             .001202            0.08                 34            2580
1.45          227                1                  1    2        128       1         0         4         40960       0           0           0.014088     NA          0.252409          0.369474            0.369472           0.47                 204           149
0.01          3                  1                  1    2        128       1         0         4         40960       0           1           .001352      NA          .026343           .033245             .033245            0.53                 283           934
0.01          3                  1                  1    2        128       1         0         4         40960       0           2           .000456      NA          .011841           .015210             .015210            0.72                 283           2741
1.65          226                1                  1    2        128       1         0         4         409600      0           0           0.149263     NA          1.560988          2.490713            2.490712           3.21                 1993          139
0.01          3                  1                  1    2        128       1         0         4         409600      0           1           .011802      NA          .207219           .265028             .265028            4.19                 2781          952
0.01          3                  1                  1    2        128       1         0         4         409600      0           2           .003798      NA          .114695           .150916             .150916            6.72                 2781          2734
1.57          227                1                  1    2        128       1         0         5         4096        0           0           0.001792     NA          0.021559          0.031224            0.031224           0.05                 30            156
0.01          3                  1                  1    2        128       1         0         5         4096        0           1           .000155      NA          .002892           .003687             .003687            0.08                 34            871
0.01          3                  1                  1    2        128       1         0         5         4096        0           2           .000048      NA          .001189           .001454             .001454            0.09                 34            2839
1.73          228                1                  1    2        128       1         0         5         40960       0           0           0.014072     NA          0.254915          0.362855            0.362854           0.45                 245           143
0.01          3                  1                  1    2        128       1         0         5         40960       0           1           .001382      NA          .029648           .033512             .033512            0.52                 285           1042
0.01          3                  1                  1    2        128       1         0         5         40960       0           2           .000467      NA          .013915           .017249             .017249            0.80                 284           2795
1.45          227                1                  1    2        128       1         0         5         409600      0           0           0.155214     NA          1.955184          2.668720            2.668718           3.43                 2399          154
0.01          3                  1                  1    2        128       1         0         5         409600      0           1           .012707      NA          .233228           .285104             .285104            4.35                 2787          993
0.01          3                  1                  1    2        128       1         0         5         409600      0           2           .003824      NA          .137560           .173223             .173223            7.50                 2787          2855
1.40          226                1                  1    2        128       1         0         6         4096        0           0           0.000935     NA          0.011938          0.010593            0.010592           0.03                 21            187
0.01          3                  1                  1    2        128       1         0         6         4096        0           1           .000046      NA          .001142           .001236             .001236            0.04                 22            970
0.01          3                  1                  1    2        128       1         0         6         4096        0           2           .000015      NA          .000366           .000452             .000452            0.05                 22            2829
1.92          226                1                  1    2        128       1         0         6         40960       0           0           0.007962     NA          0.138096          0.125950            0.125949           0.22                 166           197
0.01          3                  1                  1    2        128       1         0         6         40960       0           1           .000409      NA          .009463           .012326             .012326            0.29                 169           834
0.01          3                  1                  1    2        128       1         0         6         40960       0           2           .000133      NA          .006088           .007105             .007105            0.41                 166           2909
1.49          227                1                  1    2        128       1         0         6         409600      0           0           0.077195     NA          1.180731          1.119876            1.119874           1.85                 1606          205
0.01          3                  1                  1    2        128       1         0         6         409600      0           1           .003971      NA          .097016           .111128             .111128            2.16                 1606          1013
0.01          3                  1                  1    2        128       1         0         6         409600      0           2           .001160      NA          .058042           .071181             .071181            3.73                 1606          2889
1.45          229                1                  1    2        256       1         0         1         4096        0           0           0.001486     NA          0.060397          0.038685            0.038684           0.06                 69            252
0.01          3                  1                  1    2        256       1         0         1         4096        0           1           .000126      NA          .007158           .005805             .005805            0.12                 69            1137
0.01          3                  1                  1    2        256       1         0         1         4096        0           2           .000052      NA          .003452           .003208             .003208            0.17                 69            3516
1.46          228                1                  1    2        256       1         0         1         40960       0           0           0.015046     NA          0.770548          0.483176            0.483175           0.64                 641           289
0.01          3                  1                  1    2        256       1         0         1         40960       0           1           .001213      NA          .075527           .054920             .054920            0.88                 641           1457
0.01          3                  1                  1    2        256       1         0         1         40960       0           2           .000492      NA          .034740           .031885             .031885            1.45                 641           3650
1.45          229                1                  1    2        256       1         0         1         409600      0           0           0.102457     NA          4.927984          3.205691            3.205690           4.37                 6356          266
0.01          3                  1                  1    2        256       1         0         1         409600      0           1           .009132      NA          .642816           .507819             .507819            7.48                 6356          1438
0.02          3                  1                  1    2        256       1         0         1         409600      0           2           .003458      NA          .343616           .322409             .322409            14.04                6356          3635
1.44          227                1                  1    2        256       1         0         2         4096        0           0           0.002311     NA          0.051344          0.042711            0.042710           0.07                 69            219
