nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;bandwidths(Mbs);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;640;640;640;NA;NA;30590;2781;10;10;20.5394;NA;NA;22.7558;NA;0.97904;3760;0.0538913;0.97904;3760;2.87857;NA;NA;NA;3.2e-05;1;20.5302;NA;NA;NA;NA;NA;NA;0.008542;6;0.00298233;21.7682;4;40.651;NA;NA;NA;NA;NA;NA;NA;NA;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;1280;1280;1280;NA;NA;111980;9161;10;20;23.6985;NA;NA;25.3604;NA;3.58368;13120;0.188997;3.58368;13120;9.63604;NA;NA;NA;3.2e-05;1;23.6904;NA;NA;NA;NA;NA;NA;0.008542;6;0.00332745;21.7682;4;46.9717;NA;NA;NA;NA;NA;NA;NA;NA;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;10;2.41901;NA;NA;22.7558;NA;0.97904;3760;0.0759329;0.97904;3760;0.649449;NA;NA;NA;3.2e-05;1;2.41068;NA;NA;NA;NA;NA;NA;0.008542;6;0.00329174;21.7682;4;4.45684;NA;NA;NA;NA;NA;NA;NA;NA;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;20;3.23294;NA;NA;25.3604;NA;3.58368;13120;0.217862;3.58368;13120;2.11483;NA;NA;NA;3.2e-05;1;3.2254;NA;NA;NA;NA;NA;NA;0.008542;6;0.00134718;21.7682;4;6.07881;NA;NA;NA;NA;NA;NA;NA;NA;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;NA;NA;NA;640;640;640;NA;NA;30590;2781;10;10;0.794203;NA;NA;0.97952;NA;0.97952;22;0.00123138;8e-05;10;1.47608;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;NA;NA;NA;1280;1280;1280;NA;NA;111980;9161;10;20;2.98304;NA;NA;3.58464;NA;3.58464;42;0.00274102;0.00016;20;5.67907;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;10;0.0894297;NA;NA;0.97952;NA;0.97952;22;0.00111589;8e-05;10;0.136583;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;20;0.30916;NA;NA;3.58464;NA;3.58464;42;0.00320766;0.00016;20;0.533065;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;ccd;3;NA;NA;NA;640;640;640;NA;NA;30590;2781;10;10;0.957096;NA;NA;0.0631;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.06246;1871;0.925337;NA;NA;NA;0.00064;10;0.00350304;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;ccd;3;NA;NA;NA;1280;1280;1280;NA;NA;111980;9161;10;20;3.47027;NA;NA;0.2278;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.22652;6541;3.35816;NA;NA;NA;0.00128;20;0.00873887;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
