program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)          bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.4999999999999996  400              2048        0.283991             1.09                 148           94         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.4999999999999996  400              4096        0.575108             2.15                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.4999999999999996  600              2048        0.249942             1.07                 148           93         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.4999999999999996  600              4096        0.511406             2.09                 292           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.4999999999999996  800              2048        0.246918             1.11                 148           92         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.4999999999999996  800              4096        0.484727             2.06                 292           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.4999999999999996  1000             2048        0.234696             1.03                 148           95         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.4999999999999996  1000             4096        0.468735             2.04                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.4999999999999996  3000             2048        0.231063             1.03                 150           95         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.4999999999999996  3000             4096        0.471708             2.07                 292           94         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.5                 50               2048        0.884898             1.69                 148           93         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.5                 50               4096        1.76972              3.37                 290           94         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.5                 200              2048        0.368808             1.16                 148           95         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.5                 200              4096        0.74815              2.33                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.5                 400              2048        0.282516             1.11                 148           93         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.5                 400              4096        0.5757               2.20                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.5                 600              2048        0.251566             1.05                 148           96         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.5                 600              4096        0.526353             2.10                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.5                 800              2048        0.238017             1.06                 148           94         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.5                 800              4096        0.487634             2.07                 290           94         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.5                 1000             2048        0.2367               1.05                 150           95         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.5                 1000             4096        0.465312             2.04                 290           94         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.5                 3000             2048        0.229104             1.03                 148           95         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.5                 3000             4096        0.470814             2.06                 290           95         NA            8.25754         NA
42       BINARY    semihonest     replicated-bin  3          119.49        2838               22                 1.3                 50               2048        0.132004             1.55                 150           96         NA            0.260152        NA
42       BINARY    semihonest     replicated-bin  3          237.32        5667               44                 1.3                 50               4096        0.281387             2.99                 290           97         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.3                 200              2048        0.114667             1.49                 148           97         NA            0.260152        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.3                 200              4096        0.229222             2.93                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.3                 400              2048        0.113813             1.50                 148           97         NA            0.260152        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.3                 400              4096        0.227773             2.95                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.3                 600              2048        0.115738             1.51                 148           96         NA            0.260152        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.3                 600              4096        0.221105             2.95                 290           97         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.3                 800              2048        0.114335             1.50                 148           97         NA            0.260152        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.3                 800              4096        0.220801             2.93                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.3                 1000             2048        0.11985              1.50                 148           97         NA            0.260152        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.3                 1000             4096        0.219265             2.93                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.3                 3000             2048        0.115237             1.51                 148           96         NA            0.260152        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.3                 3000             4096        0.227444             2.95                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.7                 50               2048        0.105995             1.18                 148           96         NA            0.260152        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.7                 50               4096        0.231669             2.38                 290           94         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.7                 200              2048        0.0912146            1.16                 150           97         NA            0.260152        NA
