comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);freqs(GHz);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.48;228;1;3;64;1;0;1;4096;0;0;0.001515;NA;0.010381;0.008815;0.008814;0.02;19;85
1.42;228;1;3;64;1;0;1;4096;0;1;.000255;NA;.001643;.001589;.001589;1.42;228;99
1.43;231;1;3;64;1;0;1;8192;0;0;0.002637;NA;0.017131;0.015110;0.015109;0.03;35;88
1.40;228;1;3;64;1;0;1;8192;0;1;.000439;NA;.002790;.002998;.002998;1.40;228;99
1.41;227;1;3;64;1;0;1;40960;0;0;0.012058;NA;0.071196;0.061973;0.061973;0.11;164;108
1.41;229;1;3;64;1;0;1;40960;0;1;.002058;NA;.012859;.013697;.013697;1.41;229;99
1.40;228;1;3;64;1;0;2;4096;0;0;0.001856;NA;0.008389;0.009991;0.009991;0.02;21;72
1.40;231;1;3;64;1;0;2;4096;0;1;.000308;NA;.001514;.002141;.002141;1.40;231;99
1.41;227;1;3;64;1;0;2;8192;0;0;0.004067;NA;0.015764;0.021115;0.021114;0.03;41;83
1.41;227;1;3;64;1;0;2;8192;0;1;.000566;NA;.002354;.003060;.003059;1.41;227;99
1.41;228;1;3;64;1;0;2;40960;0;0;0.018625;NA;0.077497;0.080774;0.080773;0.14;183;97
1.39;228;1;3;64;1;0;2;40960;0;1;.002758;NA;.012646;.015371;.015371;1.39;228;99
1.35;224;1;3;64;1;0;3;4096;0;0;0.001490;NA;0.005413;0.011097;0.011097;0.02;15;60
1.36;224;1;3;64;1;0;3;4096;0;1;.000279;NA;.001017;.001564;.001564;1.36;224;100
1.37;226;1;3;64;1;0;3;8192;0;0;0.002948;NA;0.009896;0.018101;0.018100;0.04;27;62
1.37;225;1;3;64;1;0;3;8192;0;1;.000517;NA;.002027;.003090;.003090;1.37;225;100
1.36;225;1;3;64;1;0;3;40960;0;0;0.012928;NA;0.041873;0.075582;0.075582;0.13;123;71
1.36;224;1;3;64;1;0;3;40960;0;1;.003202;NA;.009560;.013327;.013326;1.36;224;100
1.35;226;1;3;64;1;0;4;4096;0;0;0.001415;NA;0.004571;0.010907;0.010906;0.01;15;66
1.36;226;1;3;64;1;0;4;4096;0;1;.000260;NA;.000902;.001372;.001372;1.36;226;100
1.36;224;1;3;64;1;0;4;8192;0;0;0.002890;NA;0.009128;0.015584;0.015583;0.02;27;75
1.36;225;1;3;64;1;0;4;8192;0;1;.000510;NA;.001690;.002523;.002522;1.36;225;99
1.36;225;1;3;64;1;0;4;40960;0;0;0.013402;NA;0.037334;0.058396;0.058395;0.11;123;81
1.36;226;1;3;64;1;0;4;40960;0;1;.003126;NA;.006776;.009990;.009990;1.36;226;99
1.36;227;1;3;64;1;0;5;4096;0;0;0.001532;NA;0.006322;0.010136;0.010135;0.01;17;72
1.36;227;1;3;64;1;0;5;4096;0;1;.000270;NA;.001039;.001586;.001585;1.36;227;99
1.36;225;1;3;64;1;0;5;8192;0;0;0.002851;NA;0.010479;0.015954;0.015953;0.02;33;79
1.37;225;1;3;64;1;0;5;8192;0;1;.000520;NA;.001823;.002683;.002683;1.37;225;99
1.37;226;1;3;64;1;0;5;40960;0;0;0.012619;NA;0.059679;0.078938;0.078937;0.13;143;82
1.38;226;1;3;64;1;0;5;40960;0;1;.003063;NA;.009465;.013126;.013126;1.38;226;99
1.37;225;1;3;64;1;0;6;4096;0;0;0.000902;NA;0.002469;0.004857;0.004856;0.01;13;66
1.35;226;1;3;64;1;0;6;4096;0;1;.000126;NA;.000332;.000600;.000599;1.35;226;100
1.36;226;1;3;64;1;0;6;8192;0;0;0.001347;NA;0.004056;0.006515;0.006514;0.01;23;77
1.37;225;1;3;64;1;0;6;8192;0;1;.000195;NA;.000594;.000996;.000996;1.37;225;99
1.37;226;1;3;64;1;0;6;40960;0;0;0.004978;NA;0.014057;0.022893;0.022892;0.06;103;86
1.35;225;1;3;64;1;0;6;40960;0;1;.000838;NA;.002893;.003861;.003861;1.35;225;99
1.45;232;1;3;128;1;0;1;4096;0;0;0.002158;NA;0.013217;0.011863;0.011862;0.02;35;103
1.45;231;1;3;128;1;0;1;4096;0;1;.000372;NA;.002311;.002538;.002538;1.45;231;99
1.45;233;1;3;128;1;0;1;8192;0;0;0.003979;NA;0.024728;0.022174;0.022173;0.05;69;100
1.43;233;1;3;128;1;0;1;8192;0;1;.000687;NA;.004254;.004998;.004998;1.43;233;99
1.44;231;1;3;128;1;0;1;40960;0;0;0.019753;NA;0.107923;0.089348;0.089347;0.21;321;108
1.45;231;1;3;128;1;0;1;40960;0;1;.003484;NA;.020998;.023993;.023993;1.45;231;99
1.42;231;1;3;128;1;0;2;4096;0;0;0.002820;NA;0.013191;0.014939;0.014939;0.03;39;93
1.42;232;1;3;128;1;0;2;4096;0;1;.000371;NA;.001938;.002769;.002769;1.42;232;99
1.42;231;1;3;128;1;0;2;8192;0;0;0.005535;NA;0.023922;0.027003;0.027002;0.05;75;94
1.42;231;1;3;128;1;0;2;8192;0;1;.000710;NA;.003646;.005254;.005254;1.42;231;99
1.43;232;1;3;128;1;0;2;40960;0;0;0.028127;NA;0.123124;0.125241;0.125240;0.26;362;98
1.41;232;1;3;128;1;0;2;40960;0;1;.003957;NA;.022685;.027223;.027223;1.41;232;100
1.40;230;1;3;128;1;0;3;4096;0;0;0.002383;NA;0.007692;0.017471;0.017471;0.03;29;69
1.38;230;1;3;128;1;0;3;4096;0;1;.000383;NA;.001478;.002252;.002252;1.38;230;99
1.40;230;1;3;128;1;0;3;8192;0;0;0.004179;NA;0.013530;0.027032;0.027032;0.05;51;71
1.38;231;1;3;128;1;0;3;8192;0;1;.000767;NA;.002701;.004310;.004310;1.38;231;99
1.40;230;1;3;128;1;0;3;40960;0;0;0.023002;NA;0.066598;0.119795;0.119795;0.25;243;76
1.40;231;1;3;128;1;0;3;40960;0;1;.004599;NA;.017021;.023213;.023213;1.40;231;99
1.38;229;1;3;128;1;0;4;4096;0;0;0.002120;NA;0.007292;0.016112;0.016111;0.03;27;68
1.39;230;1;3;128;1;0;4;4096;0;1;.000374;NA;.001375;.002160;.002160;1.39;230;99
1.38;229;1;3;128;1;0;4;8192;0;0;0.004152;NA;0.011887;0.025144;0.025143;0.05;53;73
1.40;234;1;3;128;1;0;4;8192;0;1;.000755;NA;.002437;.003697;.003696;1.40;234;99
1.39;230;1;3;128;1;0;4;40960;0;0;0.021566;NA;0.059627;0.091284;0.091283;0.22;242;83
1.39;229;1;3;128;1;0;4;40960;0;1;.004522;NA;.013124;.018511;.018510;1.39;229;99
1.39;230;1;3;128;1;0;5;4096;0;0;0.001857;NA;0.007568;0.015117;0.015117;0.03;31;56
1.39;231;1;3;128;1;0;5;4096;0;1;.000385;NA;.001423;.002301;.002301;1.39;231;99
1.40;231;1;3;128;1;0;5;8192;0;0;0.004444;NA;0.013308;0.024325;0.024325;0.06;59;73
1.38;230;1;3;128;1;0;5;8192;0;1;.000751;NA;.002692;.004049;.004049;1.38;230;99
1.40;229;1;3;128;1;0;5;40960;0;0;0.023174;NA;0.085174;0.117915;0.117914;0.25;283;85
1.41;231;1;3;128;1;0;5;40960;0;1;.004542;NA;.017560;.022494;.022494;1.41;231;99
1.40;231;1;3;128;1;0;6;4096;0;0;0.001717;NA;0.003658;0.006577;0.006576;0.02;23;81
1.39;230;1;3;128;1;0;6;4096;0;1;.000261;NA;.000554;.001019;.001019;1.39;230;99
1.39;230;1;3;128;1;0;6;8192;0;0;0.002769;NA;0.006227;0.012074;0.012073;0.04;43;82
1.39;230;1;3;128;1;0;6;8192;0;1;.000469;NA;.001041;.001957;.001957;1.39;230;99
1.39;229;1;3;128;1;0;6;40960;0;0;0.013377;NA;0.030375;0.043091;0.043090;0.16;203;88
1.40;230;1;3;128;1;0;6;40960;0;1;.002388;NA;.005349;.008282;.008282;1.40;230;99
1.43;233;1;3;256;1;0;1;4096;0;0;0.002480;NA;0.021333;0.018035;0.018035;0.04;68;104
1.43;233;1;3;256;1;0;1;4096;0;1;.000435;NA;.003420;.004295;.004295;1.43;233;100
1.41;233;1;3;256;1;0;1;8192;0;0;0.004766;NA;0.035921;0.029104;0.029103;0.07;130;102
