nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;17;4;1.00454;258;~135;41.0162;123.048
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;37;6;1.0354;256;~215;41.0174;123.051
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;65;8;1.06458;260;~327;41.0192;123.056
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;82;9;1.0417;256;~395;41.0203;123.058
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;101;10;1.02456;256;~471;41.0215;123.061
todd,ned,rod;32_matrix_add;FIELD;maldishonest;lowgear;NA;NA;17;4;505.19;1251;~119;1.60024;4.80012
todd,ned,rod;32_matrix_add;FIELD;maldishonest;lowgear;NA;NA;37;6;1.03696;59;~199;1.60152;4.80332
todd,ned,rod;32_matrix_add;FIELD;maldishonest;lowgear;NA;NA;65;8;1.01921;59;~311;1.60332;4.8078
todd,ned,rod;32_matrix_add;FIELD;maldishonest;lowgear;NA;NA;82;9;1.01827;59;~379;1.6044;4.81052
todd,ned,rod;32_matrix_add;FIELD;maldishonest;lowgear;NA;NA;101;10;1.0148;61;~455;1.60562;4.81356
todd,ned,rod;32_matrix_add;FIELD;maldishonest;highgear;NA;NA;17;4;1094.49;2627;~130;107.082;321.245
todd,ned,rod;32_matrix_add;FIELD;maldishonest;highgear;NA;NA;37;6;24.147;269;~210;107.084;321.25
todd,ned,rod;32_matrix_add;FIELD;maldishonest;highgear;NA;NA;65;8;24.2329;271;~322;107.086;321.252
todd,ned,rod;32_matrix_add;FIELD;maldishonest;highgear;NA;NA;82;9;24.166;269;~390;107.086;321.256
todd,ned,rod;32_matrix_add;FIELD;maldishonest;highgear;NA;NA;101;10;24.0702;271;~466;107.088;321.259
todd,ned,rod;32_matrix_add;FIELD;covertdishonest;cowgear;NA;NA;17;4;6.81833;132;~119;1.60024;4.80012
todd,ned,rod;32_matrix_add;FIELD;covertdishonest;cowgear;NA;NA;37;6;1.02603;58;~199;1.60152;4.80332
todd,ned,rod;32_matrix_add;FIELD;covertdishonest;cowgear;NA;NA;65;8;1.02388;60;~311;1.60332;4.8078
todd,ned,rod;32_matrix_add;FIELD;covertdishonest;cowgear;NA;NA;82;9;1.01084;61;~379;1.6044;4.81052
todd,ned,rod;32_matrix_add;FIELD;covertdishonest;cowgear;NA;NA;101;10;1.03334;59;~455;1.60562;4.81356
todd,ned,rod;32_matrix_add;FIELD;covertdishonest;chaigear;NA;NA;17;4;71.2741;1250;~130;107.081;321.244
todd,ned,rod;32_matrix_add;FIELD;covertdishonest;chaigear;NA;NA;37;6;24.2374;270;~210;107.084;321.25
todd,ned,rod;32_matrix_add;FIELD;covertdishonest;chaigear;NA;NA;65;8;24.192;271;~322;107.085;321.254
todd,ned,rod;32_matrix_add;FIELD;covertdishonest;chaigear;NA;NA;82;9;24.1638;268;~390;107.086;321.256
todd,ned,rod;32_matrix_add;FIELD;covertdishonest;chaigear;NA;NA;101;10;24.1924;269;~466;107.088;321.26
todd,ned,rod;32_matrix_add;FIELD;semidishonest;semi;NA;NA;17;4;0.00453036;16;~64;0.000512;0.001024
todd,ned,rod;32_matrix_add;FIELD;semidishonest;semi;NA;NA;37;6;0.00654688;14;~144;0.001152;0.002304
todd,ned,rod;32_matrix_add;FIELD;semidishonest;semi;NA;NA;65;8;0.00883369;14;~256;0.002048;0.004096
todd,ned,rod;32_matrix_add;FIELD;semidishonest;semi;NA;NA;82;9;0.00971173;14;~324;0.002592;0.005184
todd,ned,rod;32_matrix_add;FIELD;semidishonest;semi;NA;NA;101;10;0.0134513;14;~400;0.0032;0.0064
