comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.45          232                1                  256       1         0         1         70000            1024        0           0           0.001954     NA          0.013913          0.013825            0.013824           0.03                 19            96
1.45          233                1                  256       1         0         1         70000            4096        0           0           0.002373     NA          0.034898          0.046035            0.046034           0.09                 67            71
1.47          232                1                  256       1         0         1         70000            8192        0           0           0.004890     NA          0.042783          0.074653            0.074652           0.14                 130           78
1.50          233                1                  256       1         0         1         50000            1024        0           0           0.001864     NA          0.012092          0.009010            0.009009           0.02                 19            112
1.46          233                1                  256       1         0         1         50000            4096        0           0           0.005170     NA          0.031532          0.049782            0.049781           0.10                 67            82
1.48          231                1                  256       1         0         1         50000            8192        0           0           0.004818     NA          0.059556          0.091141            0.091141           0.16                 130           80
1.47          231                1                  256       1         0         1         40000            1024        0           0           0.001999     NA          0.013239          0.012359            0.012358           0.02                 19            103
1.48          233                1                  256       1         0         1         40000            4096        0           0           0.004689     NA          0.032833          0.128878            0.128877           0.18                 67            46
1.49          232                1                  256       1         0         1         40000            8192        0           0           0.005262     NA          0.051874          0.100776            0.100775           0.17                 130           71
1.49          232                1                  256       1         0         1         30000            1024        0           0           0.001995     NA          0.012753          0.012998            0.012997           0.03                 19            96
1.46          232                1                  256       1         0         1         30000            4096        0           0           0.004818     NA          0.032687          0.043896            0.043895           0.09                 67            87
1.47          233                1                  256       1         0         1         30000            8192        0           0           0.005213     NA          0.049100          0.083093            0.083092           0.16                 130           74
1.50          233                1                  256       1         0         1         20000            1024        0           0           0.001971     NA          0.013765          0.012436            0.012435           0.02                 19            103
1.47          232                1                  256       1         0         1         20000            4096        0           0           0.004860     NA          0.031128          0.044768            0.044768           0.09                 67            86
1.45          231                1                  256       1         0         1         20000            8192        0           0           0.004803     NA          0.059852          0.484382            0.484381           0.55                 130           23
1.49          233                1                  256       1         0         1         10000            1024        0           0           0.001484     NA          0.012061          0.012057            0.012056           0.02                 19            92
1.46          233                1                  256       1         0         1         10000            4096        0           0           0.002294     NA          0.033432          0.255313            0.255312           0.28                 67            21
1.50          233                1                  256       1         0         1         10000            8192        0           0           0.004730     NA          0.055417          0.443674            0.443674           0.51                 130           24
1.49          233                1                  256       1         0         1         9000             1024        0           0           0.001984     NA          0.013991          0.013767            0.013766           0.03                 19            100
1.48          232                1                  256       1         0         1         9000             4096        0           0           0.005238     NA          0.030839          0.463773            0.463772           0.51                 67            16
1.48          232                1                  256       1         0         1         9000             8192        0           0           0.004797     NA          0.060464          0.665001            0.665000           0.73                 130           18
1.49          233                1                  256       1         0         1         8000             1024        0           0           0.001892     NA          0.013126          0.012899            0.012898           0.03                 19            81
1.49          232                1                  256       1         0         1         8000             4096        0           0           0.004746     NA          0.032121          0.536634            0.536633           0.59                 67            14
1.47          232                1                  256       1         0         1         8000             8192        0           0           0.004700     NA          0.049861          0.451235            0.451234           0.53                 130           22
1.49          232                1                  256       1         0         1         7000             1024        0           0           0.001942     NA          0.013917          0.219592            0.219591           0.23                 19            12
1.49          232                1                  256       1         0         1         7000             4096        0           0           0.002376     NA          0.033507          0.443961            0.443960           0.48                 67            13
1.49          232                1                  256       1         0         1         7000             8192        0           0           0.004701     NA          0.061464          0.559856            0.559855           0.63                 130           18
1.46          233                1                  256       1         0         1         6000             1024        0           0           0.001910     NA          0.013418          0.307188            0.307187           0.32                 19            9
1.47          232                1                  256       1         0         1         6000             4096        0           0           0.004351     NA          0.024640          0.264603            0.264602           0.31                 67            24
1.51          233                1                  256       1         0         1         6000             8192        0           0           0.004833     NA          0.059551          0.444914            0.444913           0.52                 130           25
1.48          233                1                  256       1         0         1         5000             1024        0           0           0.001438     NA          0.011925          0.099876            0.099875           0.11                 19            21
1.50          232                1                  256       1         0         1         5000             4096        0           0           0.002648     NA          0.033214          0.454745            0.454744           0.51                 67            15
1.48          232                1                  256       1         0         1         5000             8192        0           0           0.004732     NA          0.060121          0.859458            0.859457           0.93                 131           14
1.50          232                1                  256       1         0         1         4000             1024        0           0           0.002004     NA          0.014398          0.351384            0.351383           0.37                 19            8
1.45          233                1                  256       1         0         1         4000             4096        0           0           0.005058     NA          0.035827          0.736026            0.736025           0.79                 67            11
1.48          232                1                  256       1         0         1         4000             8192        0           0           0.004681     NA          0.062123          0.690049            0.690048           0.76                 131           17
1.48          233                1                  256       1         0         1         3000             1024        0           0           0.001900     NA          0.014803          0.187508            0.187507           0.21                 19            16
1.50          233                1                  256       1         0         1         3000             4096        0           0           0.005109     NA          0.040878          0.337756            0.337756           0.39                 67            24
1.50          232                1                  256       1         0         1         3000             8192        0           0           0.004768     NA          0.062373          0.646175            0.646174           0.72                 130           19
1.47          232                1                  256       1         0         1         2000             1024        0           0           0.001533     NA          0.015422          0.435516            0.435515           0.45                 19            7
1.47          232                1                  256       1         0         1         2000             4096        0           0           0.004569     NA          0.037608          0.701280            0.701279           0.76                 67            12
1.48          233                1                  256       1         0         1         2000             8192        0           0           0.004957     NA          0.062814          0.470174            0.470173           0.54                 131           25
1.48          232                1                  256       1         0         1         1000             1024        0           0           0.001954     NA          0.013998          0.230473            0.230472           0.25                 19            13
1.48          231                1                  256       1         0         1         1000             4096        0           0           0.004392     NA          0.036381          0.586975            0.586974           0.64                 67            13
1.47          232                1                  256       1         0         1         1000             8192        0           0           0.004774     NA          0.066476          0.916989            0.916989           0.99                 130           13
1.48          231                1                  256       1         0         2         70000            1024        0           0           0.002421     NA          0.013275          0.013860            0.013859           0.03                 21            96
1.46          232                1                  256       1         0         2         70000            4096        0           0           0.008007     NA          0.027354          0.038181            0.038180           0.09                 75            86
1.43          231                1                  256       1         0         2         70000            8192        0           0           0.007696     NA          0.054662          0.081335            0.081334           0.16                 147           83
1.47          231                1                  256       1         0         2         50000            1024        0           0           0.002598     NA          0.013884          0.014720            0.014719           0.03                 21            96
1.46          231                1                  256       1         0         2         50000            4096        0           0           0.007672     NA          0.029351          0.042575            0.042574           0.10                 75            83
1.48          232                1                  256       1         0         2         50000            8192        0           0           0.007792     NA          0.053821          0.083664            0.083663           0.15                 147           81
1.43          232                1                  256       1         0         2         40000            1024        0           0           0.003972     NA          0.018572          0.017333            0.017332           0.04                 23            102
1.45          231                1                  256       1         0         2         40000            4096        0           0           0.007613     NA          0.030000          0.045759            0.045758           0.10                 75            85
1.46          231                1                  256       1         0         2         40000            8192        0           0           0.007686     NA          0.052601          0.081922            0.081921           0.15                 147           81
1.46          236                1                  256       1         0         2         30000            1024        0           0           0.001094     NA          0.009444          0.011601            0.011600           0.02                 21            85
1.46          232                1                  256       1         0         2         30000            4096        0           0           0.008106     NA          0.028886          0.044743            0.044742           0.10                 75            82
1.46          233                1                  256       1         0         2         30000            8192        0           0           0.007732     NA          0.052965          0.084034            0.084033           0.16                 147           79
1.42          232                1                  256       1         0         2         20000            1024        0           0           0.002490     NA          0.013184          0.015983            0.015982           0.03                 21            90
1.45          231                1                  256       1         0         2         20000            4096        0           0           0.008166     NA          0.031076          0.045379            0.045378           0.09                 75            84
1.43          231                1                  256       1         0         2         20000            8192        0           0           0.007655     NA          0.053371          0.098563            0.098562           0.17                 147           68
1.46          231                1                  256       1         0         2         10000            1024        0           0           0.002420     NA          0.013986          0.015311            0.015310           0.03                 21            86
1.45          231                1                  256       1         0         2         10000            4096        0           0           0.007677     NA          0.028308          0.043115            0.043114           0.09                 75            84
1.48          232                1                  256       1         0         2         10000            8192        0           0           0.007840     NA          0.063397          0.110237            0.110236           0.19                 147           67
1.47          232                1                  256       1         0         2         9000             1024        0           0           0.002548     NA          0.013410          0.015431            0.015430           0.03                 21            86
1.47          232                1                  256       1         0         2         9000             4096        0           0           0.008047     NA          0.030118          0.047515            0.047514           0.10                 75            80
1.45          231                1                  256       1         0         2         9000             8192        0           0           0.007759     NA          0.054982          0.094378            0.094377           0.17                 147           75
1.46          233                1                  256       1         0         2         8000             1024        0           0           0.002478     NA          0.014053          0.015856            0.015855           0.03                 21            91
1.47          231                1                  256       1         0         2         8000             4096        0           0           0.008077     NA          0.029476          0.047152            0.047152           0.10                 75            82
1.46          231                1                  256       1         0         2         8000             8192        0           0           0.007874     NA          0.056877          0.099819            0.099818           0.17                 147           76
1.46          232                1                  256       1         0         2         7000             1024        0           0           0.002524     NA          0.013127          0.016446            0.016445           0.04                 23            79
1.44          231                1                  256       1         0         2         7000             4096        0           0           0.006418     NA          0.024494          0.043870            0.043870           0.09                 75            80
1.47          231                1                  256       1         0         2         7000             8192        0           0           0.007730     NA          0.054719          0.110552            0.110551           0.19                 147           68
1.46          231                1                  256       1         0         2         6000             1024        0           0           0.002468     NA          0.014358          0.015975            0.015975           0.03                 23            83
1.46          231                1                  256       1         0         2         6000             4096        0           0           0.004327     NA          0.028071          0.047854            0.047853           0.10                 75            63
1.47          232                1                  256       1         0         2         6000             8192        0           0           0.007682     NA          0.060829          0.109772            0.109771           0.17                 147           67
1.47          231                1                  256       1         0         2         5000             1024        0           0           0.002389     NA          0.012645          0.016143            0.016142           0.04                 23            78
1.46          231                1                  256       1         0         2         5000             4096        0           0           0.004070     NA          0.031929          0.046376            0.046375           0.09                 75            72
1.47          231                1                  256       1         0         2         5000             8192        0           0           0.007481     NA          0.057321          0.110022            0.110021           0.18                 147           71
1.46          232                1                  256       1         0         2         4000             1024        0           0           0.002602     NA          0.014201          0.017570            0.017569           0.04                 21            80
1.44          232                1                  256       1         0         2         4000             4096        0           0           0.007126     NA          0.030228          0.056025            0.056024           0.11                 75            77
1.47          231                1                  256       1         0         2         4000             8192        0           0           0.007832     NA          0.055409          0.107301            0.107300           0.18                 147           71
