comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.01;3;1;1;256;1;0;1;512;0;2;.000012;NA;.000813;.000613;.000613;0.03;15;1878
0.01;3;1;1;256;1;0;1;1024;0;2;.000023;NA;.001331;.001066;.001066;0.04;23;1813
0.01;3;1;1;256;1;0;1;5120;0;2;.000097;NA;.006654;.004933;.004933;0.12;86;2180
0.01;3;1;1;256;1;0;2;512;0;2;.000036;NA;.000600;.000614;.000614;0.03;17;1575
0.01;3;1;1;256;1;0;2;1024;0;2;.000073;NA;.001088;.001089;.001089;0.04;23;1672
0.01;3;1;1;256;1;0;2;5120;0;2;.000278;NA;.004933;.004780;.004780;0.13;87;1664
0.01;3;1;1;256;1;0;3;512;0;2;.000013;NA;.000469;.000585;.000585;0.03;15;1381
0.01;3;1;1;256;1;0;3;1024;0;2;.000025;NA;.000935;.001076;.001076;0.04;23;1513
0.01;3;1;1;256;1;0;3;5120;0;2;.000117;NA;.003888;.004682;.004682;0.13;87;1334
0.01;3;1;1;256;1;0;4;512;0;2;.000013;NA;.000324;.000538;.000538;0.03;14;952
0.01;3;1;1;256;1;0;4;1024;0;2;.000026;NA;.000740;.000983;.000982;0.04;21;1202
0.01;3;1;1;256;1;0;4;5120;0;2;.000121;NA;.003408;.004140;.004140;0.12;76;1409
0.01;3;1;1;256;1;0;5;512;0;2;.000013;NA;.000446;.000578;.000578;0.03;14;1483
0.01;3;1;1;256;1;0;5;1024;0;2;.000026;NA;.000916;.001027;.001027;0.04;21;1580
0.01;3;1;1;256;1;0;5;5120;0;2;.000117;NA;.003618;.004305;.004305;0.11;77;1484
0.01;3;1;1;256;1;0;6;512;0;2;.000004;NA;.000156;.000260;.000260;0.02;11;1288
0.01;3;1;1;256;1;0;6;1024;0;2;.000008;NA;.000345;.000390;.000390;0.02;15;1662
0.01;3;1;1;256;1;0;6;5120;0;2;.000034;NA;.001250;.001589;.001589;0.06;47;1433
0.01;3;1;1;512;1;0;1;512;0;2;.000012;NA;.001206;.000897;.000897;0.03;24;2036
0.01;3;1;1;512;1;0;1;1024;0;2;.000023;NA;.002338;.001674;.001674;0.05;41;2049
0.01;3;1;1;512;1;0;1;5120;0;2;.000101;NA;.011018;.008328;.008328;0.20;169;2172
0.01;3;1;1;512;1;0;2;512;0;2;.000052;NA;.000948;.000980;.000980;0.04;23;1355
0.01;3;1;1;512;1;0;2;1024;0;2;.000090;NA;.001811;.001773;.001773;0.05;39;1703
0.01;3;1;1;512;1;0;2;5120;0;2;.000394;NA;.008468;.008665;.008665;0.23;166;1578
0.01;3;1;1;512;1;0;3;512;0;2;.000014;NA;.000801;.000992;.000992;0.04;23;1507
0.01;3;1;1;512;1;0;3;1024;0;2;.000027;NA;.001428;.001733;.001733;0.05;39;1464
0.01;3;1;1;512;1;0;3;5120;0;2;.000117;NA;.006694;.008261;.008261;0.21;166;1405
0.01;3;1;1;512;1;0;4;512;0;2;.000014;NA;.000772;.000872;.000871;0.04;21;1537
0.01;3;1;1;512;1;0;4;1024;0;2;.000026;NA;.001212;.001511;.001511;0.05;35;1419
0.01;3;1;1;512;1;0;4;5120;0;2;.000118;NA;.005908;.007445;.007445;0.20;146;1345
0.01;3;1;1;512;1;0;5;512;0;2;.000014;NA;.000844;.000957;.000957;0.03;21;1587
0.01;3;1;1;512;1;0;5;1024;0;2;.000026;NA;.001412;.001584;.001584;0.05;38;1560
0.01;3;1;1;512;1;0;5;5120;0;2;.000119;NA;.006703;.007935;.007935;0.20;146;1446
0.01;3;1;1;512;1;0;6;512;0;2;.000005;NA;.000323;.000408;.000408;0.03;15;1466
0.01;3;1;1;512;1;0;6;1024;0;2;.000008;NA;.000484;.000635;.000635;0.03;23;1470
0.01;3;1;1;512;1;0;6;5120;0;2;.000035;NA;.002132;.002972;.002972;0.11;87;1329
