program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
33       FIELD     semidishonest  semi               3          NA            NA                 NA                 60               30          0.079019             0.14                 13            56         ~3600         0.0144          0.0288
33       FIELD     semidishonest  semi               3          NA            NA                 NA                 65               30          0.147045             0.21                 14            46         ~3600         0.0144          0.0288
33       FIELD     semidishonest  semi               3          NA            NA                 NA                 70               30          0.142957             0.20                 15            46         ~3600         0.0144          0.0288
33       FIELD     semidishonest  semi               3          NA            NA                 NA                 75               30          0.0800709            0.14                 15            57         ~3600         0.0144          0.0288
33       FIELD     semidishonest  semi               3          NA            NA                 NA                 80               30          0.0730355            0.14                 15            59         ~3600         0.0144          0.0288
33       FIELD     semidishonest  semi               3          NA            NA                 NA                 85               30          0.0968314            0.17                 14            54         ~3600         0.0144          0.0288
33       FIELD     semidishonest  semi               3          NA            NA                 NA                 90               30          0.205101             0.27                 14            43         ~3600         0.0144          0.0288
33       FIELD     semidishonest  semi               3          NA            NA                 NA                 95               30          0.177635             0.24                 14            44         ~3600         0.0144          0.0288
33       FIELD     semidishonest  semi               3          NA            NA                 NA                 100              30          0.149444             0.21                 15            46         ~3600         0.0144          0.0288
33       FIELD     semidishonest  temi               3          0.72          34                 1                  10               30          0.122718             1.39                 17            81         ~3600         0.0144          0.0288
33       FIELD     semidishonest  temi               3          NA            NA                 NA                 15               30          0.0830751            0.96                 17            92         ~3600         0.0144          0.0288
33       FIELD     semidishonest  temi               3          NA            NA                 NA                 20               30          0.205328             0.88                 17            84         ~3600         0.0144          0.0288
33       FIELD     semidishonest  temi               3          NA            NA                 NA                 25               30          0.119311             0.68                 19            88         ~3600         0.0144          0.0288
33       FIELD     semidishonest  temi               3          NA            NA                 NA                 30               30          0.133741             0.62                 17            83         ~3600         0.0144          0.0288
33       FIELD     semidishonest  temi               3          NA            NA                 NA                 35               30          0.161655             0.60                 17            77         ~3600         0.0144          0.0288
33       FIELD     semidishonest  temi               3          NA            NA                 NA                 40               30          0.192383             0.61                 17            73         ~3600         0.0144          0.0288
33       FIELD     semidishonest  temi               3          NA            NA                 NA                 45               30          0.0833029            0.43                 17            84         ~3600         0.0144          0.0288
33       FIELD     semidishonest  temi               3          NA            NA                 NA                 50               30          0.104402             0.45                 17            79         ~3600         0.0144          0.0288
33       FIELD     semidishonest  temi               3          NA            NA                 NA                 55               30          0.142135             0.47                 17            74         ~3600         0.0144          0.0288
33       FIELD     semidishonest  temi               3          NA            NA                 NA                 60               30          0.072206             0.38                 17            82         ~3600         0.0144          0.0288
33       FIELD     semidishonest  temi               3          NA            NA                 NA                 65               30          0.0912975            0.36                 17            78         ~3600         0.0144          0.0288
33       FIELD     semidishonest  temi               3          NA            NA                 NA                 70               30          0.160332             0.43                 17            70         ~3600         0.0144          0.0288
33       FIELD     semidishonest  temi               3          NA            NA                 NA                 75               30          0.0922804            0.34                 17            79         ~3600         0.0144          0.0288
33       FIELD     semidishonest  temi               3          NA            NA                 NA                 80               30          0.174324             0.42                 17            69         ~3600         0.0144          0.0288
33       FIELD     semidishonest  temi               3          NA            NA                 NA                 85               30          0.113567             0.33                 17            76         ~3600         0.0144          0.0288
33       FIELD     semidishonest  temi               3          NA            NA                 NA                 90               30          0.189492             0.42                 19            64         ~3600         0.0144          0.0288
33       FIELD     semidishonest  temi               3          NA            NA                 NA                 95               30          0.209316             0.42                 17            63         ~3600         0.0144          0.0288
33       FIELD     semidishonest  temi               3          NA            NA                 NA                 100              30          0.152634             0.36                 19            67         ~3600         0.0144          0.0288
33       FIELD     semidishonest  soho               3          0.72          34                 1                  10               30          0.210456             7.03                 56            97         ~3600         0.0144          0.0288
