nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;2184;1344;172;3;240;3;5.37264;385;~909;266.778;799.894
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;3744;2304;293;3;240;4;6.78861;384;~1453;357.097;1070.66
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;5720;3520;446;3;240;5;8.91906;383;~2159;492.594;1476.85
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;8112;4992;631;3;240;6;13.0848;384;~3027;673.267;2018.46
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;10920;6720;848;3;240;7;14.6541;385;~4015;853.894;2559.97
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;14144;8704;1097;3;240;8;21.102;386;~5199;1124.86;3372.28
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;17784;10944;1378;3;240;9;25.1182;386;~6477;1350.68;4049.25
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;21840;13440;1691;3;240;10;27.4678;384;~7943;1666.77;4996.89
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;26312;16192;2036;3;240;11;33.2114;386;~9571;2028.04;6079.95
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;31200;19200;2413;3;240;12;43.3479;387;~11327;2389.33;7163.04
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;36504;22464;2822;3;240;13;49.8798;391;~13211;2750.64;8246.17
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;180;3;5.45758;381;~909;266.778;799.894
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;180;4;6.87357;381;~1453;357.097;1070.66
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;180;5;9.03026;380;~2159;492.594;1476.85
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;180;6;11.8214;386;~3027;673.267;2018.46
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;180;7;16.0866;387;~4015;853.894;2559.97
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;180;8;18.9936;385;~5199;1124.86;3372.28
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;180;9;22.5066;386;~6477;1350.68;4049.25
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;180;10;27.5567;383;~7943;1666.77;4996.89
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;180;11;33.2369;392;~9571;2028.04;6079.95
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;180;12;39.243;388;~11327;2389.33;7163.04
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;180;13;50.3197;391;~13211;2750.64;8246.17
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;140;3;5.66109;384;~909;266.778;799.894
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;140;4;7.22551;385;~1453;357.097;1070.66
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;140;5;9.30695;386;~2159;492.594;1476.85
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;140;6;12.2797;385;~3027;673.267;2018.46
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;140;7;15.2126;384;~4015;853.894;2559.97
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;140;8;19.6796;385;~5199;1124.86;3372.28
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;140;9;25.0313;385;~6477;1350.68;4049.25
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;140;10;30.8362;391;~7943;1666.77;4996.89
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;140;11;34.1807;386;~9571;2028.04;6079.95
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;140;12;40.2884;389;~11327;2389.33;7163.04
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;140;13;45.9881;392;~13211;2750.64;8246.17
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;100;3;7.06512;386;~909;266.778;799.894
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;100;4;8.74482;385;~1453;357.097;1070.66
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;100;5;11.1909;387;~2159;492.594;1476.85
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;100;6;14.3945;386;~3027;673.267;2018.46
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;100;7;17.1366;386;~4015;853.894;2559.97
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;100;8;21.9106;386;~5199;1124.86;3372.28
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;100;9;27.5372;385;~6477;1350.68;4049.25
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;100;10;33.4689;388;~7943;1666.77;4996.89
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;100;11;40.3783;388;~9571;2028.04;6079.95
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;100;12;44.6138;388;~11327;2389.33;7163.04
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;100;13;51.3942;388;~13211;2750.64;8246.17
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;60;3;10.3065;384;~909;266.778;799.894
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;60;4;12.904;385;~1453;357.097;1070.66
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;60;5;16.8655;387;~2159;492.594;1476.85
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;60;6;22.2624;390;~3027;673.267;2018.46
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;60;7;26.5452;386;~4015;853.894;2559.97
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;60;8;33.9107;390;~5199;1124.86;3372.28
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;60;9;40.2072;390;~6477;1350.68;4049.25
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;60;10;51.4993;387;~7943;1666.77;4996.89
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;60;11;64.1123;388;~9571;2028.04;6079.95
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;60;12;71.0824;387;~11327;2389.33;7163.04
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;3;60;13;79.3089;391;~13211;2750.64;8246.17
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;3;5.33905;381;~909;266.778;799.894
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;4;7.70807;388;~1453;357.097;1070.66
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;5;9.02885;385;~2159;492.594;1476.85
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;6;11.8459;383;~3027;673.267;2018.46
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;7;14.7313;385;~4015;853.894;2559.97
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;8;21.0771;385;~5199;1124.86;3372.28
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;9;22.5857;386;~6477;1350.68;4049.25
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;10;27.5357;383;~7943;1666.77;4996.89
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;11;37.2356;385;~9571;2028.04;6079.95
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;12;43.851;395;~11327;2389.33;7163.04
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;13;44.6811;390;~13211;2750.64;8246.17
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;3;5.85387;385;~909;266.778;799.894
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;4;7.68176;385;~1453;357.097;1070.66
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;5;8.94206;387;~2159;492.594;1476.85
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;6;11.8509;388;~3027;673.267;2018.46
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;7;14.7321;385;~4015;853.894;2559.97
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;8;19.0293;387;~5199;1124.86;3372.28
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;9;22.5645;386;~6477;1350.68;4049.25
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;10;27.5444;388;~7943;1666.77;4996.89
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;11;37.3492;386;~9571;2028.04;6079.95
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;12;38.9849;392;~11327;2389.33;7163.04
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;13;49.9411;391;~13211;2750.64;8246.17
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;3;5.74899;385;~909;266.778;799.894
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;4;7.13049;387;~1453;357.097;1070.66
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;5;10.0498;385;~2159;492.594;1476.85
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;6;12.3195;387;~3027;673.267;2018.46
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;7;15.2395;384;~4015;853.894;2559.97
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;8;21.372;388;~5199;1124.86;3372.28
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;9;23.3533;389;~6477;1350.68;4049.25
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;10;30.5974;391;~7943;1666.77;4996.89
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;11;34.1531;388;~9571;2028.04;6079.95
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;12;40.0552;389;~11327;2389.33;7163.04
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;13;45.8569;390;~13211;2750.64;8246.17
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;3;6.69794;385;~909;266.778;799.894
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;4;8.42292;384;~1453;357.097;1070.66
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;5;10.753;386;~2159;492.594;1476.85
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;6;13.8788;387;~3027;673.267;2018.46
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;7;17.1591;384;~4015;853.894;2559.97
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;8;22.1301;386;~5199;1124.86;3372.28
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;9;27.1861;389;~6477;1350.68;4049.25
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;10;31.76;385;~7943;1666.77;4996.89
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;11;38.1815;387;~9571;2028.04;6079.95
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;12;44.5085;388;~11327;2389.33;7163.04
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;13;50.8847;392;~13211;2750.64;8246.17
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;3;10.7388;384;~909;266.778;799.894
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;4;13.4098;385;~1453;357.097;1070.66
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;5;18.5122;384;~2159;492.594;1476.85
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;6;21.2112;387;~3027;673.267;2018.46
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;7;26.7912;385;~4015;853.894;2559.97
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;8;34.7312;385;~5199;1124.86;3372.28
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;9;40.1702;393;~6477;1350.68;4049.25
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;10;49.0143;388;~7943;1666.77;4996.89
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;11;58.6273;387;~9571;2028.04;6079.95
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;12;71.1192;389;~11327;2389.33;7163.04
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;13;82.8102;391;~13211;2750.64;8246.17
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2;240;3;5.97803;386;~909;266.778;799.894
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;2;240;4;7.01403;384;~1453;357.097;1070.66
