nodes;program;c.domain;adv.model;protocol;partysize;compiletime(s);input_size;runtime_internal(s);runtime_external(s);maxPhyRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;5.42;10;0.769629;0.88;86;101;NA;26.3058;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;10.28;14;1.48443;1.62;94;107;NA;52.2521;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;16.79;18;1.49058;1.68;101;107;NA;52.2849;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;24.60;22;2.35869;2.59;105;103;NA;78.2473;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;34.55;26;2.95988;3.27;122;107;NA;104.218;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;46.24;30;3.69187;4.07;130;107;NA;130.196;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;58.34;34;5.3367;5.81;148;105;NA;182.104;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;73.91;38;5.82849;6.39;157;108;NA;208.099;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;90.98;42;7.30531;7.97;179;108;NA;260.023;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;108.96;46;8.67765;9.45;205;108;NA;311.956;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;127.84;50;10.164;11.11;210;108;NA;363.896;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;150.61;54;11.7695;12.81;242;108;NA;415.845;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;173.13;58;13.1054;14.31;258;108;NA;467.801;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;197.42;62;15.915;17.23;269;104;NA;545.687;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;222.33;66;17.2736;18.73;306;105;NA;597.66;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;250.31;70;18.7467;20.49;328;108;NA;675.562;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;277.83;74;20.8238;22.76;359;108;NA;753.473;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;310.81;78;23.1184;25.18;400;106;NA;831.391;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;339.38;82;25.9133;28.17;411;108;NA;935.239;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;381.64;86;28.0091;30.55;443;108;NA;1013.17;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;412.91;90;32.3827;35.12;478;104;NA;1117.04;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;449.40;94;35.2721;38.15;527;104;NA;1220.91;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;485.25;98;36.7235;40.00;566;108;NA;1324.79;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;515.56;100;38.1127;41.52;583;109;NA;1376.73;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;5.42;10;0.469427;0.56;201;146;NA;21.9785;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;10.28;14;0.493649;0.63;200;142;NA;22.1721;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;16.79;18;0.51567;0.69;211;137;NA;22.4302;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;24.60;22;0.480817;0.71;216;136;NA;22.7529;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;34.55;26;0.505776;0.81;221;131;NA;23.14;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;46.24;30;0.565405;0.93;226;123;NA;23.5916;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;58.34;34;0.527684;0.99;239;123;NA;24.1078;NA
ether,ethercash,ethergold;43_set_intersection;BINARY;semidishonest;semi-bin;3;73.91;38;0.561293;1.11;243;121;NA;24.6885;NA
