nodes;program;c.domain;adv.model;protocol;partysize;compiletime(s);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;input_size;runtime_internal(s);runtime_external(s);maxPhyRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;5.42;NA;NA;NA;640;640;NA;NA;NA;6300;19;10;0.769629;0.88;86;101;NA;26.3058;NA;0.961246;26;0.00483425;0.961886;28;0.762494;0.000488;21;0.0204487;6.4e-05;2;0.723794;NA;NA;NA;NA;NA;NA;0.008542;6;0.00998037;25.0102;64;0.908688;0.161792;1;0.727409;0.323584;2;1.46931;0.00064;1;0.720372
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;10.28;NA;NA;NA;896;896;NA;NA;NA;12348;23;14;1.48443;1.62;94;107;NA;52.2521;NA;1.92144;34;0.00489443;1.92234;36;1.49911;0.000688;29;0.037297;6.4e-05;2;1.4373;NA;NA;NA;NA;NA;NA;0.008542;6;0.0104769;49.9953;112;1.35072;0.161792;1;1.44077;0.323584;2;2.89602;0.000896;1;1.43379
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;16.79;NA;NA;NA;1152;1152;NA;NA;NA;20412;27;18;1.49058;1.68;101;107;NA;52.2849;NA;1.9537;34;0.00808761;1.95486;36;1.50988;0.000688;29;0.0419591;6.4e-05;2;1.44156;NA;NA;NA;NA;NA;NA;0.008542;6;0.0011879;49.9953;112;1.34112;0.161792;1;1.44548;0.323584;2;2.90382;0.001152;1;1.43803
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;24.60;NA;NA;NA;1408;1408;NA;NA;NA;30492;31;22;2.35869;2.59;105;103;NA;78.2473;NA;2.93003;42;0.00750415;2.93143;44;2.40461;0.000888;37;0.0740752;6.4e-05;2;2.30764;NA;NA;NA;NA;NA;NA;0.008542;6;0.0126636;74.9805;160;1.85449;0.161792;1;2.31095;0.323584;2;4.63688;0.001408;1;2.30356
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;34.55;NA;NA;NA;1664;1664;NA;NA;NA;42588;35;26;2.95988;3.27;122;107;NA;104.218;NA;3.91441;50;0.00802726;3.91608;52;3.02992;0.001088;45;0.075832;6.4e-05;2;2.90692;NA;NA;NA;NA;NA;NA;0.008542;6;0.00142752;99.9657;208;2.27744;0.161792;1;2.91018;0.323584;2;5.83556;0.001664;1;2.90297
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;46.24;NA;NA;NA;1920;1920;NA;NA;NA;56700;39;30;3.69187;4.07;130;107;NA;130.196;NA;4.90686;58;0.0106978;4.90878;60;3.79351;0.001288;53;0.0855194;6.4e-05;2;3.63883;NA;NA;NA;NA;NA;NA;0.008542;6;0.00151713;124.951;256;2.77395;0.161792;1;3.64241;0.323584;2;7.29942;0.00192;1;3.63363
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;58.34;NA;NA;NA;2176;2176;NA;NA;NA;72828;43;34;5.3367;5.81;148;105;NA;182.104;NA;6.84337;74;0.00868753;6.84555;76;5.49398;0.001688;69;0.144119;6.4e-05;2;5.28214;NA;NA;NA;NA;NA;NA;0.008542;6;0.00093325;174.921;352;3.81051;0.161792;1;5.28548;0.323584;2;10.5862;0.002176;1;5.27751
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;73.91;NA;NA;NA;2432;2432;NA;NA;NA;90972;47;38;5.82849;6.39;157;108;NA;208.099;NA;7.85195;82;0.0122728;7.85438;84;5.998;0.001888;77;0.135456;6.4e-05;2;5.76854;NA;NA;NA;NA;NA;NA;0.008542;6;0.00135754;199.906;400;4.14076;0.161792;1;5.77209;0.323584;2;11.5583;0.002432;1;5.76337
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;90.98;NA;NA;NA;2688;2688;NA;NA;NA;111132;51;42;7.30531;7.97;179;108;NA;260.023;NA;9.80458;98;0.0123034;9.80727;100;7.54637;0.002288;93;0.148763;6.4e-05;2;7.23832;NA;NA;NA;NA;NA;NA;0.008542;6;0.00961055;249.877;496;5.00216;0.161792;1;7.24186;0.323584;2;14.4984;0.002688;1;7.23313
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;108.96;NA;NA;NA;2944;2944;NA;NA;NA;133308;55;46;8.67765;9.45;205;108;NA;311.956;NA;11.7653;114;0.0120751;11.7682;116;8.97723;0.002688;109;0.233274;6.4e-05;2;8.60476;NA;NA;NA;NA;NA;NA;0.008542;6;0.0113574;299.847;592;5.80592;0.161792;1;8.60875;0.323584;2;17.232;0.002944;1;8.59995
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;127.84;NA;NA;NA;3200;3200;NA;NA;NA;157500;59;50;10.164;11.11;210;108;NA;363.896;NA;13.734;130;0.0144116;13.7372;132;10.479;0.003088;125;0.263474;6.4e-05;2;10.0846;NA;NA;NA;NA;NA;NA;0.008542;6;0.020146;349.817;688;6.85588;0.161792;1;10.0884;0.323584;2;20.1914;0.0032;1;10.0796
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;150.61;NA;NA;NA;3456;3456;NA;NA;NA;183708;63;54;11.7695;12.81;242;108;NA;415.845;NA;15.7109;146;0.0160716;15.7143;148;12.1545;0.003488;141;0.290998;6.4e-05;2;11.6858;NA;NA;NA;NA;NA;NA;0.008542;6;0.00808531;399.788;784;7.83258;0.161792;1;11.689;0.323584;2;23.3941;0.003456;1;11.6804
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;173.13;NA;NA;NA;3712;3712;NA;NA;NA;211932;67;58;13.1054;14.31;258;108;NA;467.801;NA;17.6958;162;0.018683;17.6995;164;13.6077;0.003888;157;0.244708;6.4e-05;2;13.0205;NA;NA;NA;NA;NA;NA;0.008542;6;0.00134371;449.758;880;8.68633;0.161792;1;13.0245;0.323584;2;26.0644;0.003712;1;13.0147
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;197.42;NA;NA;NA;3968;3968;NA;NA;NA;242172;71;62;15.915;17.23;269;104;NA;545.687;NA;20.6247;186;0.0183745;20.6287;188;16.4514;0.004488;181;0.402075;6.4e-05;2;15.8227;NA;NA;NA;NA;NA;NA;0.008542;6;0.012447;524.714;1024;10.5724;0.161792;1;15.8263;0.323584;2;31.6667;0.003968;1;15.8166
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;222.33;NA;NA;NA;4224;4224;NA;NA;NA;274428;75;66;17.2736;18.73;306;105;NA;597.66;NA;22.6257;202;0.0223352;22.63;204;17.8275;0.004888;197;0.479809;6.4e-05;2;17.1864;NA;NA;NA;NA;NA;NA;0.008542;6;0.00119915;574.684;1120;12.1139;0.161792;1;17.19;0.323584;2;34.3947;0.004224;1;17.1797
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;250.31;NA;NA;NA;4480;4480;NA;NA;NA;308700;79;70;18.7467;20.49;328;108;NA;675.562;NA;25.5708;226;0.0233233;25.5753;228;19.4039;0.005488;221;0.413924;6.4e-05;2;18.6388;NA;NA;NA;NA;NA;NA;0.008542;6;0.0120453;649.64;1264;12.27;0.161792;1;18.6426;0.323584;2;37.2997;0.00448;1;18.632
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;277.83;NA;NA;NA;4736;4736;NA;NA;NA;344988;83;74;20.8238;22.76;359;108;NA;753.473;NA;28.524;250;0.0286303;28.5287;252;21.5854;0.006088;245;0.44351;6.4e-05;2;20.7279;NA;NA;NA;NA;NA;NA;0.008542;6;0.0554809;724.595;1408;13.7078;0.161792;1;20.7317;0.323584;2;41.477;0.004736;1;20.7212
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;310.81;NA;NA;NA;4992;4992;NA;NA;NA;383292;87;78;23.1184;25.18;400;106;NA;831.391;NA;31.4852;274;0.0294112;31.4902;276;23.9053;0.006688;269;0.477071;6.4e-05;2;22.9954;NA;NA;NA;NA;NA;NA;0.008542;6;0.0131283;799.551;1552;15.3794;0.161792;1;22.9997;0.323584;2;46.0137;0.004992;1;22.9881
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;339.38;NA;NA;NA;5248;5248;NA;NA;NA;423612;91;82;25.9133;28.17;411;108;NA;935.239;NA;35.3904;306;0.0313672;35.3957;308;26.8138;0.007488;301;0.561885;6.4e-05;2;25.7875;NA;NA;NA;NA;NA;NA;0.008542;6;0.00109311;899.491;1744;16.8693;0.161792;1;25.7911;0.323584;2;51.5965;0.005248;1;25.7804
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;381.64;NA;NA;NA;5504;5504;NA;NA;NA;465948;95;86;28.0091;30.55;443;108;NA;1013.17;NA;38.3678;330;0.0376109;38.3733;332;28.9619;0.008088;325;0.662536;6.4e-05;2;27.8605;NA;NA;NA;NA;NA;NA;0.008542;6;0.0978625;974.447;1888;18.2376;0.161792;1;27.8643;0.323584;2;55.7425;0.005504;1;27.8534
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;412.91;NA;NA;NA;5760;5760;NA;NA;NA;510300;99;90;32.3827;35.12;478;104;NA;1117.04;NA;42.2892;362;0.0346277;42.2949;364;33.4356;0.008888;357;0.950085;6.4e-05;2;32.2364;NA;NA;NA;NA;NA;NA;0.008542;6;0.0755639;1074.39;2080;22.1948;0.161792;1;32.2404;0.323584;2;64.4946;0.00576;1;32.2286
ether,ethercash,ethergold;43_set_intersection;BINARY;maldishonest;tinier;3;449.40;NA;NA;NA;6016;6016;NA;NA;NA;556668;103;94;35.2721;38.15;527;104;NA;1220.91;NA;46.2186;394;0.0369443;46.2246;396;36.4076;0.009688;389;1.00498;6.4e-05;2;35.1414;NA;NA;NA;NA;NA;NA;0.008542;6;0.00585565;1174.33;2272;24.41;0.161792;1;35.145;0.323584;2;70.3046;0.006016;1;35.1336
