nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;bandwidths(Mbs);input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;190320;117120;14671;100;30;5.54737;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;NA;NA;NA;95;30;5.56506;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;NA;NA;NA;90;30;5.66001;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;NA;NA;NA;85;30;5.80841;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;NA;NA;NA;80;30;5.89251;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;NA;NA;NA;75;30;6.13239;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;NA;NA;NA;70;30;6.34455;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;NA;NA;NA;65;30;6.37741;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;NA;NA;NA;60;30;6.65764;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;NA;NA;NA;55;30;6.94134;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;NA;NA;NA;50;30;7.28141;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;NA;NA;NA;45;30;7.76934;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;NA;NA;NA;40;30;8.26649;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;NA;NA;NA;35;30;9.01639;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;NA;NA;NA;30;30;10.1871;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;NA;NA;NA;25;30;12.2026;~14928;61.6396;185.239
