comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.43          229                1                  0    128       1         0         1         4096        0           0           0.001927     NA          0.045002          0.035995            0.035995           0.05                 35            115
0.01          3                  1                  0    128       1         0         1         4096        0           1           .000274      NA          .006781           .006917             .006917            0.07                 35            490
0.01          3                  1                  0    128       1         0         1         4096        0           2           .000099      NA          .001934           .001968             .001968            0.07                 35            1326
1.41          228                1                  0    128       1         0         1         8192        0           0           0.003962     NA          0.063385          0.061645            0.061645           0.10                 67            96
0.01          3                  1                  0    128       1         0         1         8192        0           1           .000509      NA          .010180           .011042             .011042            0.11                 67            459
0.01          3                  1                  0    128       1         0         1         8192        0           2           .000160      NA          .003354           .003327             .003327            0.11                 67            1470
1.44          230                1                  0    128       1         0         1         12288       0           0           0.005699     NA          0.084222          0.073851            0.073850           0.12                 99            100
0.01          3                  1                  0    128       1         0         1         12288       0           1           .000811      NA          .013191           .012493             .012493            0.14                 99            492
0.01          3                  1                  0    128       1         0         1         12288       0           2           .000256      NA          .004536           .004898             .004898            0.15                 99            1429
1.43          230                1                  0    128       1         0         1         16384       0           0           0.006222     NA          0.085628          0.118184            0.118183           0.17                 130           79
0.01          3                  1                  0    128       1         0         1         16384       0           1           .000865      NA          .016952           .015061             .015061            0.17                 130           522
0.01          3                  1                  0    128       1         0         1         16384       0           2           .000290      NA          .006179           .006818             .006818            0.20                 131           1519
1.38          229                1                  0    128       1         0         1         20480       0           0           0.003799     NA          0.111414          0.100272            0.100271           0.16                 162           103
0.01          3                  1                  0    128       1         0         1         20480       0           1           .000626      NA          .019450           .018509             .018509            0.19                 162           532
0.01          3                  1                  0    128       1         0         1         20480       0           2           .000252      NA          .007969           .008574             .008574            0.24                 162           1537
1.40          229                1                  0    128       1         0         1         24576       0           0           0.004726     NA          0.130058          0.116972            0.116971           0.18                 194           104
0.01          3                  1                  0    128       1         0         1         24576       0           1           .000744      NA          .022944           .021935             .021935            0.21                 194           563
0.01          3                  1                  0    128       1         0         1         24576       0           2           .000301      NA          .009543           .010633             .010633            0.28                 194           1516
1.40          230                1                  0    128       1         0         1         28672       0           0           0.005194     NA          0.144407          0.133514            0.133514           0.21                 226           103
0.01          3                  1                  0    128       1         0         1         28672       0           1           .000869      NA          .025686           .026276             .026276            0.24                 226           569
0.01          3                  1                  0    128       1         0         1         28672       0           2           .000314      NA          .011116           .012527             .012527            0.32                 226           1483
