9000	0.216844
8800	0.221756
8600	0.227125
8400	0.217174
8200	0.229321
8000	0.236170
7800	0.241733
7600	0.223881
7400	0.227005
7200	0.242726
7000	0.224283
6800	0.224167
6600	0.222624
6400	0.233320
6200	0.241995
6000	0.230397
5800	0.238707
5600	0.232572
5400	0.238569
5200	0.243173
5000	0.240521
4800	0.235941
4600	0.231867
4400	0.233408
4200	0.251779
4000	0.249099
3800	0.241129
3600	0.247966
3400	0.250004
3200	0.249354
3000	0.253693
2800	0.253446
2600	0.255034
2400	0.266536
2200	0.273854
2000	0.290049
1800	0.292754
1600	0.315299
1400	0.328274
1200	0.370726
1000	0.428436
800	0.515191
600	0.650816
400	0.944281
