comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  latencies(ms)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.57          217                1                  128       1         0         1         1              4096        0           1           .000560      NA          .006702           .010983             .010983            1.57                 217           99
1.62          218                1                  128       1         0         1         1              8192        0           1           .001190      NA          .011054           .017501             .017501            1.62                 218           99
1.57          217                1                  128       1         0         1         1              65536       0           1           .011251      NA          .080607           .105919             .105919            1.57                 217           100
1.76          217                1                  128       1         0         1         5              4096        0           1           .000556      NA          .006561           .024381             .024381            1.76                 217           99
1.71          217                1                  128       1         0         1         5              8192        0           1           .001031      NA          .010679           .029118             .029118            1.71                 217           99
1.59          218                1                  128       1         0         1         5              65536       0           1           .011594      NA          .083218           .165820             .165820            1.59                 218           99
1.55          218                1                  128       1         0         1         10             4096        0           1           .000564      NA          .006751           .046283             .046283            1.55                 218           100
1.46          219                1                  128       1         0         1         10             8192        0           1           .001184      NA          .010980           .053320             .053320            1.46                 219           99
1.76          217                1                  128       1         0         1         10             65536       0           1           .012334      NA          .084312           .174033             .174033            1.76                 217           99
1.59          217                1                  128       1         0         1         20             4096        0           1           .000537      NA          .006263           .088354             .088353            1.59                 217           99
1.58          217                1                  128       1         0         1         20             8192        0           1           .001197      NA          .011674           .102395             .102394            1.58                 217           99
1.71          217                1                  128       1         0         1         20             65536       0           1           .012249      NA          .087311           .274318             .274318            1.71                 217           99
1.48          217                1                  128       1         0         1         40             4096        0           1           .000593      NA          .006533           .173287             .173287            1.48                 217           99
1.58          219                1                  128       1         0         1         40             8192        0           1           .001085      NA          .012617           .197023             .197023            1.58                 219           99
1.73          217                1                  128       1         0         1         40             65536       0           1           .012398      NA          .087423           .495216             .495216            1.73                 217           99
1.46          217                1                  128       1         0         1         60             4096        0           1           .000599      NA          .007887           .259073             .259073            1.46                 217           99
1.58          217                1                  128       1         0         1         60             8192        0           1           .001116      NA          .012514           .290504             .290504            1.58                 217           99
1.46          219                1                  128       1         0         1         60             65536       0           1           .011738      NA          .087069           .713735             .713735            1.46                 219           99
1.77          218                1                  128       1         0         1         80             4096        0           1           .000536      NA          .007609           .352526             .352526            1.77                 218           99
1.57          217                1                  128       1         0         1         80             8192        0           1           .001119      NA          .013041           .377950             .377949            1.57                 217           100
1.58          217                1                  128       1         0         1         80             65536       0           1           .012429      NA          .083839           .931227             .931227            1.58                 217           99
1.76          217                1                  128       1         0         1         100            4096        0           1           .000541      NA          .007388           .444495             .444495            1.76                 217           100
1.50          218                1                  128       1         0         1         100            8192        0           1           .001392      NA          .011820           .465979             .465978            1.50                 218           100
1.46          217                1                  128       1         0         1         100            65536       0           1           .011177      NA          .082244           1.159859            1.159859           1.46                 217           99
1.75          218                1                  128       1         0         1         300            4096        0           1           .000589      NA          .007548           1.309806            1.309806           1.75                 218           99
1.58          217                1                  128       1         0         1         300            8192        0           1           .001101      NA          .013180           1.410074            1.410074           1.58                 217           99
1.77          217                1                  128       1         0         1         300            65536       0           1           .011614      NA          .087746           3.453827            3.453827           1.77                 217           99
1.53          218                1                  128       1         0         1         500            4096        0           1           .000570      NA          .007587           2.191047            2.191047           1.53                 218           99
1.62          217                1                  128       1         0         1         500            8192        0           1           .001031      NA          .013132           2.327168            2.327168           1.62                 217           99
