comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.62;213;1;0;1;8;0;1;0;1;0;0;1024;0;0;0.000462;NA;0.005694;0.004780;0.004779;0.01;4;73
0.02;3;1;0;1;8;0;1;0;1;0;0;1024;0;1;.000080;NA;.000849;.000583;.000583;.001666;4;368
0.02;3;1;0;1;8;0;1;0;1;0;0;1024;0;2;.000030;NA;.000134;.000156;.000156;.000555;4;766
1.62;213;1;0;1;8;0;1;0;1;0;0;10240;0;0;0.003649;NA;0.020594;0.020011;0.020010;0.03;8;85
0.02;3;1;0;1;8;0;1;0;1;0;0;10240;0;1;.000549;NA;.002457;.002866;.002866;.006666;8;318
0.02;3;1;0;1;8;0;1;0;1;0;0;10240;0;2;.000208;NA;.000958;.001179;.001179;.002222;8;1018
1.76;213;1;0;1;8;0;1;0;1;0;0;102400;0;0;0.037866;NA;0.177253;0.171702;0.171701;0.23;53;100
0.02;3;1;0;1;8;0;1;0;1;0;0;102400;0;1;.005638;NA;.037454;.037180;.037180;.046666;53;574
0.02;3;1;0;1;8;0;1;0;1;0;0;102400;0;2;.002045;NA;.018722;.019254;.019254;.023888;53;1602
1.33;213;1;0;1;8;0;1;0;2;0;0;1024;0;0;0.000660;NA;0.004896;0.007219;0.007218;0.02;4;45
0.02;3;1;0;1;8;0;1;0;2;0;0;1024;0;1;.000127;NA;.000698;.000648;.000648;.003333;4;277
0.02;3;1;0;1;8;0;1;0;2;0;0;1024;0;2;.000037;NA;.000106;.000124;.000123;.000555;7;670
1.32;212;1;0;1;8;0;1;0;2;0;0;10240;0;0;0.005938;NA;0.020227;0.021646;0.021645;0.03;8;86
0.02;3;1;0;1;8;0;1;0;2;0;0;10240;0;1;.000981;NA;.002194;.003019;.003019;.006666;8;348
0.02;3;1;0;1;8;0;1;0;2;0;0;10240;0;2;.000335;NA;.000920;.001320;.001320;.002777;8;875
1.43;213;1;0;1;8;0;1;0;2;0;0;102400;0;0;0.060406;NA;0.184077;0.199524;0.199523;0.27;53;93
0.02;3;1;0;1;8;0;1;0;2;0;0;102400;0;1;.008758;NA;.030209;.038271;.038271;.053333;53;463
0.02;3;1;0;1;8;0;1;0;2;0;0;102400;0;2;.003083;NA;.016663;.020221;.020221;.026111;53;1426
1.46;211;1;0;1;8;0;1;0;3;0;0;1024;0;0;0.000465;NA;0.001060;0.006894;0.006894;0.01;4;29
0.02;3;1;0;1;8;0;1;0;3;0;0;1024;0;1;.000118;NA;.000531;.000567;.000567;.003333;4;247
0.02;3;1;0;1;8;0;1;0;3;0;0;1024;0;2;.000025;NA;.000138;.000142;.000142;.000555;4;817
1.32;212;1;0;1;8;0;1;0;3;0;0;10240;0;0;0.004160;NA;0.009518;0.016650;0.016649;0.03;6;63
0.02;3;1;0;1;8;0;1;0;3;0;0;10240;0;1;.000686;NA;.001938;.002648;.002648;.005000;8;343
0.01;3;1;0;1;8;0;1;0;3;0;0;10240;0;2;.000238;NA;.000573;.001006;.001006;.002777;8;657
1.41;211;1;0;1;8;0;1;0;3;0;0;102400;0;0;0.035012;NA;0.069844;0.183758;0.183757;0.25;34;46
0.01;3;1;0;1;8;0;1;0;3;0;0;102400;0;1;.006011;NA;.017977;.029066;.029065;.041666;53;375
0.02;3;1;0;1;8;0;1;0;3;0;0;102400;0;2;.002232;NA;.010221;.015066;.015066;.020000;53;1176
1.45;211;1;0;1;8;0;1;0;4;0;0;1024;0;0;0.000404;NA;0.002844;0.006313;0.006312;0.01;4;52
0.01;3;1;0;1;8;0;1;0;4;0;0;1024;0;1;.000075;NA;.000474;.000619;.000619;.001666;4;272
0.02;3;1;0;1;8;0;1;0;4;0;0;1024;0;2;.000027;NA;.000108;.000140;.000140;.000555;4;652
1.76;212;1;0;1;8;0;1;0;4;0;0;10240;0;0;0.003569;NA;0.008856;0.013545;0.013544;0.02;6;62
0.02;3;1;0;1;8;0;1;0;4;0;0;10240;0;1;.000769;NA;.001467;.001965;.001965;.005000;8;357
0.02;3;1;0;1;8;0;1;0;4;0;0;10240;0;2;.000251;NA;.000431;.000650;.000650;.001666;8;852
1.59;211;1;0;1;8;0;1;0;4;0;0;102400;0;0;0.036641;NA;0.075598;0.127601;0.127600;0.20;34;61
0.02;3;1;0;1;8;0;1;0;4;0;0;102400;0;1;.006388;NA;.012303;.017373;.017373;.030000;47;415
0.02;3;1;0;1;8;0;1;0;4;0;0;102400;0;2;.002283;NA;.005392;.008669;.008669;.013888;47;1110
1.57;211;1;0;1;8;0;1;0;5;0;0;1024;0;0;0.000463;NA;0.001321;0.002590;0.002589;0.02;4;22
0.02;3;1;0;1;8;0;1;0;5;0;0;1024;0;1;.000089;NA;.000557;.000630;.000629;.001666;4;263
0.01;3;1;0;1;8;0;1;0;5;0;0;1024;0;2;.000026;NA;.000081;.000093;.000093;.000555;4;664
1.32;212;1;0;1;8;0;1;0;5;0;0;10240;0;0;0.004590;NA;0.010126;0.017259;0.017258;0.03;7;63
0.02;3;1;0;1;8;0;1;0;5;0;0;10240;0;1;.000696;NA;.001831;.002594;.002594;.005000;8;336
0.01;3;1;0;1;8;0;1;0;5;0;0;10240;0;2;.000250;NA;.000545;.000862;.000862;.002222;8;897
1.39;212;1;0;1;8;0;1;0;5;0;0;102400;0;0;0.039973;NA;0.095535;0.174516;0.174515;0.24;41;62
0.02;3;1;0;1;8;0;1;0;5;0;0;102400;0;1;.006596;NA;.018502;.026727;.026727;.038333;47;423
0.02;3;1;0;1;8;0;1;0;5;0;0;102400;0;2;.002246;NA;.008304;.013745;.013745;.018888;47;1088
1.59;210;1;0;1;8;0;1;0;6;0;0;1024;0;0;0.000268;NA;0.002115;0.001734;0.001732;0.02;4;34
0.02;3;1;0;1;8;0;1;0;6;0;0;1024;0;1;.000022;NA;.000317;.000267;.000267;.001666;4;273
0.01;3;1;0;1;8;0;1;0;6;0;0;1024;0;2;.000008;NA;.000040;.000089;.000089;.000555;4;488
1.51;211;1;0;1;8;0;1;0;6;0;0;10240;0;0;0.002479;NA;0.006661;0.007024;0.007023;0.02;6;80
0.02;3;1;0;1;8;0;1;0;6;0;0;10240;0;1;.000226;NA;.000621;.000827;.000826;.003333;6;327
0.01;3;1;0;1;8;0;1;0;6;0;0;10240;0;2;.000075;NA;.000241;.000313;.000313;.001111;8;862
1.71;211;1;0;1;8;0;1;0;6;0;0;102400;0;0;0.021310;NA;0.055809;0.050987;0.050986;0.09;28;100
0.01;3;1;0;1;8;0;1;0;6;0;0;102400;0;1;.001884;NA;.006612;.009244;.009244;.015000;28;409
0.01;3;1;0;1;8;0;1;0;6;0;0;102400;0;2;.000672;NA;.002487;.003804;.003804;.007777;32;892
1.53;212;1;0;1;64;0;1;0;1;0;0;1024;0;0;0.000395;NA;0.008703;0.007415;0.007414;0.01;7;94
0.02;3;1;0;1;64;0;1;0;1;0;0;1024;0;1;.000064;NA;.001400;.001391;.001390;.003333;7;390
0.02;3;1;0;1;64;0;1;0;1;0;0;1024;0;2;.000021;NA;.000251;.000382;.000382;.001666;7;511
1.62;213;1;0;1;64;0;1;0;1;0;0;10240;0;0;0.003695;NA;0.047520;0.039977;0.039976;0.05;38;105
0.02;3;1;0;1;64;0;1;0;1;0;0;10240;0;1;.000586;NA;.009457;.008317;.008317;.011666;38;579
0.02;3;1;0;1;64;0;1;0;1;0;0;10240;0;2;.000211;NA;.004049;.003826;.003826;.005555;38;1600
1.59;213;1;0;1;64;0;1;0;1;0;0;102400;0;0;0.037717;NA;0.663004;0.547055;0.547055;0.65;350;116
0.02;3;1;0;1;64;0;1;0;1;0;0;102400;0;1;.005234;NA;.094584;.082411;.082411;.100000;350;640
0.01;3;1;0;1;64;0;1;0;1;0;0;102400;0;2;.002044;NA;.042579;.042924;.042924;.051111;350;1685
1.61;213;1;0;1;64;0;1;0;2;0;0;1024;0;0;0.000662;NA;0.004497;0.005550;0.005549;0.02;7;47
0.02;3;1;0;1;64;0;1;0;2;0;0;1024;0;1;.000129;NA;.001000;.001479;.001479;.003333;7;296
0.02;3;1;0;1;64;0;1;0;2;0;0;1024;0;2;.000043;NA;.000308;.000320;.000320;.001111;7;1019
1.47;212;1;0;1;64;0;1;0;2;0;0;10240;0;0;0.006279;NA;0.041738;0.053298;0.053298;0.08;38;68
0.02;3;1;0;1;64;0;1;0;2;0;0;10240;0;1;.001015;NA;.007151;.009001;.009001;.013333;38;433
0.02;3;1;0;1;64;0;1;0;2;0;0;10240;0;2;.000412;NA;.003339;.003680;.003680;.005555;40;1402
1.90;214;1;0;1;64;0;1;0;2;0;0;102400;0;0;0.059990;NA;0.457468;0.497685;0.497684;0.63;352;90
0.02;3;1;0;1;64;0;1;0;2;0;0;102400;0;1;.010678;NA;.079529;.084478;.084478;.106666;352;556
0.02;3;1;0;1;64;0;1;0;2;0;0;102400;0;2;.003627;NA;.039692;.041855;.041854;.051111;355;1636
1.64;212;1;0;1;64;0;1;0;3;0;0;1024;0;0;0.000464;NA;0.002680;0.006186;0.006185;0.01;5;43
0.02;3;1;0;1;64;0;1;0;3;0;0;1024;0;1;.000078;NA;.000651;.000919;.000919;.003333;7;226
0.02;3;1;0;1;64;0;1;0;3;0;0;1024;0;2;.000026;NA;.000242;.000362;.000362;.001111;7;795
1.54;210;1;0;1;64;0;1;0;3;0;0;10240;0;0;0.003481;NA;0.028764;0.057304;0.057303;0.07;23;55
0.02;3;1;0;1;64;0;1;0;3;0;0;10240;0;1;.000690;NA;.005786;.006967;.006967;.011666;38;422
0.02;3;1;0;1;64;0;1;0;3;0;0;10240;0;2;.000249;NA;.002250;.003004;.003004;.003888;38;1263
1.62;212;1;0;1;64;0;1;0;3;0;0;102400;0;0;0.034712;NA;0.287022;0.486203;0.486202;0.59;202;63
0.02;3;1;0;1;64;0;1;0;3;0;0;102400;0;1;.006356;NA;.061434;.082229;.082228;.101666;351;448
0.02;3;1;0;1;64;0;1;0;3;0;0;102400;0;2;.002222;NA;.027869;.038418;.038418;.047222;351;1255
1.76;210;1;0;1;64;0;1;0;4;0;0;1024;0;0;0.000416;NA;0.003029;0.006293;0.006292;0.01;7;57
0.01;3;1;0;1;64;0;1;0;4;0;0;1024;0;1;.000070;NA;.000845;.000917;.000917;.003333;6;347
0.02;3;1;0;1;64;0;1;0;4;0;0;1024;0;2;.000028;NA;.000193;.000300;.000300;.001111;10;860
1.65;212;1;0;1;64;0;1;0;4;0;0;10240;0;0;0.004034;NA;0.022712;0.049924;0.049923;0.07;23;54
0.02;3;1;0;1;64;0;1;0;4;0;0;10240;0;1;.000730;NA;.004957;.006871;.006871;.011666;33;385
0.02;3;1;0;1;64;0;1;0;4;0;0;10240;0;2;.000253;NA;.001675;.002589;.002589;.003888;33;1062
1.54;210;1;0;1;64;0;1;0;4;0;0;102400;0;0;0.034811;NA;0.297423;0.443846;0.443845;0.56;202;69
0.02;3;1;0;1;64;0;1;0;4;0;0;102400;0;1;.006198;NA;.053948;.073552;.073552;.095000;300;427
0.02;3;1;0;1;64;0;1;0;4;0;0;102400;0;2;.002248;NA;.023886;.033339;.033339;.041666;300;1255
1.64;211;1;0;1;64;0;1;0;5;0;0;1024;0;0;0.000457;NA;0.003986;0.007933;0.007932;0.01;6;52
0.02;3;1;0;1;64;0;1;0;5;0;0;1024;0;1;.000080;NA;.000425;.000750;.000750;.003333;6;168
