nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;latencies(ms);input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;190320;117120;14671;0;30;2.28549;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;5;30;78.8991;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;10;30;152.47;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;15;30;226.111;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;20;30;299.768;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;25;30;373.453;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;30;30;447.248;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;35;30;525.821;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;40;30;600.102;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;190320;117120;14671;0;30;3.05345;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;5;30;80.3622;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;10;30;155.149;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;15;30;229.56;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;20;30;304.073;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;25;30;378.565;~14873;17.3375;52.1725
