comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.47          232                1                  2.5         256       1         0         1         1024        0           0           0.000969     NA          0.007478          0.007008            0.007007           0.01                 21            100
1.41          233                1                  2.5         256       1         0         1         4096        0           0           0.002453     NA          0.022765          0.022033            0.022032           0.04                 67            97
1.40          232                1                  2.5         256       1         0         1         8192        0           0           0.004640     NA          0.038317          0.039022            0.039022           0.08                 131           97
1.37          231                1                  2.5         256       1         0         2         1024        0           0           0.001168     NA          0.008790          0.014129            0.014128           0.02                 21            72
1.40          230                1                  2.5         256       1         0         2         4096        0           0           0.004525     NA          0.022040          0.027977            0.027977           0.05                 75            87
1.37          234                1                  2.5         256       1         0         2         8192        0           0           0.007918     NA          0.044453          0.045621            0.045621           0.09                 147           96
1.35          230                1                  2.5         256       1         0         3         1024        0           0           0.000902     NA          0.004063          0.010957            0.010956           0.02                 15            59
1.36          231                1                  2.5         256       1         0         3         4096        0           0           0.003695     NA          0.011633          0.024433            0.024432           0.04                 53            73
1.36          230                1                  2.5         256       1         0         3         8192        0           0           0.006627     NA          0.021099          0.052478            0.052477           0.10                 99            64
1.36          231                1                  2.5         256       1         0         4         1024        0           0           0.000936     NA          0.003714          0.006738            0.006738           0.01                 15            75
1.36          231                1                  2.5         256       1         0         4         4096        0           0           0.003695     NA          0.011571          0.021240            0.021239           0.04                 51            73
1.35          230                1                  2.5         256       1         0         4         8192        0           0           0.006808     NA          0.021339          0.041160            0.041159           0.09                 99            72
1.37          231                1                  2.5         256       1         0         5         1024        0           0           0.001103     NA          0.004719          0.009599            0.009598           0.01                 17            72
1.35          231                1                  2.5         256       1         0         5         4096        0           0           0.003957     NA          0.011743          0.026464            0.026463           0.05                 59            66
1.36          231                1                  2.5         256       1         0         5         8192        0           0           0.006324     NA          0.027455          0.040738            0.040738           0.08                 115           80
1.35          230                1                  2.5         256       1         0         6         1024        0           0           0.000802     NA          0.002522          0.004305            0.004304           0.01                 13            83
1.34          231                1                  2.5         256       1         0         6         4096        0           0           0.002031     NA          0.007252          0.010030            0.010030           0.03                 43            90
1.34          229                1                  2.5         256       1         0         6         8192        0           0           0.003742     NA          0.012118          0.015739            0.015738           0.06                 83            86
1.41          232                1                  2.3         256       1         0         1         1024        0           0           0.000955     NA          0.006971          0.007089            0.007088           0.01                 19            100
1.41          232                1                  2.3         256       1         0         1         4096        0           0           0.002472     NA          0.021074          0.023643            0.023643           0.04                 67            93
1.41          233                1                  2.3         256       1         0         1         8192        0           0           0.004691     NA          0.036214          0.037833            0.037833           0.08                 130           95
1.39          231                1                  2.3         256       1         0         2         1024        0           0           0.001108     NA          0.008061          0.009882            0.009881           0.01                 21            84
1.38          231                1                  2.3         256       1         0         2         4096        0           0           0.004219     NA          0.021698          0.027483            0.027483           0.05                 75            88
1.40          231                1                  2.3         256       1         0         2         8192        0           0           0.007717     NA          0.045072          0.046205            0.046204           0.09                 147           93
1.36          230                1                  2.3         256       1         0         3         1024        0           0           0.000972     NA          0.003421          0.010115            0.010115           0.01                 15            61
1.36          230                1                  2.3         256       1         0         3         4096        0           0           0.003786     NA          0.009998          0.021994            0.021993           0.04                 51            72
1.34          231                1                  2.3         256       1         0         3         8192        0           0           0.006423     NA          0.020374          0.048956            0.048955           0.09                 99            68
1.35          229                1                  2.3         256       1         0         4         1024        0           0           0.001036     NA          0.004138          0.009470            0.009469           0.01                 15            66
1.35          230                1                  2.3         256       1         0         4         4096        0           0           0.003963     NA          0.011281          0.025529            0.025528           0.05                 51            70
1.36          230                1                  2.3         256       1         0         4         8192        0           0           0.006422     NA          0.021854          0.036158            0.036158           0.09                 99            75
1.37          231                1                  2.3         256       1         0         5         1024        0           0           0.001037     NA          0.005334          0.009735            0.009734           0.02                 17            70
1.35          231                1                  2.3         256       1         0         5         4096        0           0           0.003829     NA          0.012010          0.022427            0.022426           0.04                 59            76
1.37          232                1                  2.3         256       1         0         5         8192        0           0           0.006637     NA          0.022340          0.045091            0.045090           0.09                 115           75
1.35          231                1                  2.3         256       1         0         6         1024        0           0           0.000793     NA          0.002560          0.003943            0.003942           0.01                 13            83
1.34          231                1                  2.3         256       1         0         6         4096        0           0           0.002033     NA          0.007199          0.010054            0.010053           0.03                 43            90
1.36          231                1                  2.3         256       1         0         6         8192        0           0           0.003392     NA          0.011227          0.018141            0.018140           0.06                 83            85
1.39          232                1                  2.1         256       1         0         1         1024        0           0           0.001450     NA          0.010654          0.010128            0.010127           0.02                 19            91
1.40          232                1                  2.1         256       1         0         1         4096        0           0           0.004139     NA          0.033337          0.031444            0.031443           0.07                 67            101
1.41          232                1                  2.1         256       1         0         1         8192        0           0           0.007739     NA          0.055000          0.053770            0.053769           0.12                 131           100
1.38          231                1                  2.1         256       1         0         2         1024        0           0           0.001876     NA          0.010101          0.011652            0.011651           0.02                 21            88
1.39          231                1                  2.1         256       1         0         2         4096        0           0           0.005817     NA          0.032938          0.035795            0.035794           0.08                 75            89
1.38          231                1                  2.1         256       1         0         2         8192        0           0           0.012176     NA          0.061579          0.059219            0.059218           0.13                 147           101
1.36          231                1                  2.1         256       1         0         3         1024        0           0           0.001614     NA          0.005334          0.013969            0.013968           0.02                 15            62
1.37          230                1                  2.1         256       1         0         3         4096        0           0           0.005804     NA          0.017177          0.039931            0.039931           0.07                 51            70
1.36          230                1                  2.1         256       1         0         3         8192        0           0           0.010321     NA          0.033248          0.058444            0.058443           0.14                 99            76
1.36          230                1                  2.1         256       1         0         4         1024        0           0           0.001565     NA          0.006008          0.011005            0.011004           0.02                 15            78
1.34          229                1                  2.1         256       1         0         4         4096        0           0           0.005526     NA          0.017025          0.027823            0.027822           0.07                 51            78
1.35          229                1                  2.1         256       1         0         4         8192        0           0           0.009969     NA          0.032763          0.054814            0.054814           0.13                 99            78
1.38          230                1                  2.1         256       1         0         5         1024        0           0           0.001595     NA          0.006185          0.011120            0.011119           0.03                 17            62
1.36          231                1                  2.1         256       1         0         5         4096        0           0           0.005813     NA          0.019629          0.034965            0.034964           0.07                 59            76
1.37          230                1                  2.1         256       1         0         5         8192        0           0           0.010258     NA          0.039516          0.060884            0.060883           0.14                 115           81
1.34          230                1                  2.1         256       1         0         6         1024        0           0           0.000901     NA          0.002938          0.004441            0.004440           0.02                 13            75
1.34          230                1                  2.1         256       1         0         6         4096        0           0           0.003069     NA          0.009050          0.014156            0.014155           0.05                 43            88
1.36          230                1                  2.1         256       1         0         6         8192        0           0           0.005709     NA          0.017323          0.025624            0.025623           0.10                 83            85
1.42          233                1                  2           256       1         0         1         1024        0           0           0.001464     NA          0.011295          0.010455            0.010455           0.02                 19            100
1.41          232                1                  2           256       1         0         1         4096        0           0           0.003821     NA          0.030867          0.032929            0.032928           0.07                 67            93
1.40          231                1                  2           256       1         0         1         8192        0           0           0.007578     NA          0.053355          0.055956            0.055956           0.13                 130           93
1.39          232                1                  2           256       1         0         2         1024        0           0           0.001855     NA          0.011051          0.013440            0.013439           0.02                 21            88
1.38          231                1                  2           256       1         0         2         4096        0           0           0.006680     NA          0.033320          0.034020            0.034019           0.07                 75            97
1.39          232                1                  2           256       1         0         2         8192        0           0           0.012312     NA          0.061691          0.060200            0.060200           0.13                 147           101
1.37          231                1                  2           256       1         0         3         1024        0           0           0.001584     NA          0.005944          0.015713            0.015712           0.02                 15            64
1.35          231                1                  2           256       1         0         3         4096        0           0           0.005846     NA          0.017003          0.040156            0.040155           0.08                 51            69
1.37          230                1                  2           256       1         0         3         8192        0           0           0.010667     NA          0.032513          0.061682            0.061682           0.13                 99            78
1.35          230                1                  2           256       1         0         4         1024        0           0           0.001581     NA          0.005381          0.011747            0.011746           0.02                 15            70
1.35          230                1                  2           256       1         0         4         4096        0           0           0.005802     NA          0.017134          0.027800            0.027799           0.06                 51            83
1.35          230                1                  2           256       1         0         4         8192        0           0           0.010051     NA          0.033044          0.049859            0.049858           0.12                 99            86
1.35          231                1                  2           256       1         0         5         1024        0           0           0.001617     NA          0.006626          0.013500            0.013499           0.02                 17            70
1.35          230                1                  2           256       1         0         5         4096        0           0           0.005852     NA          0.019915          0.036134            0.036134           0.07                 59            77
1.37          231                1                  2           256       1         0         5         8192        0           0           0.010114     NA          0.038942          0.059141            0.059141           0.14                 115           81
1.35          230                1                  2           256       1         0         6         1024        0           0           0.001202     NA          0.003317          0.004829            0.004828           0.01                 13            88
1.35          230                1                  2           256       1         0         6         4096        0           0           0.003130     NA          0.009337          0.013692            0.013691           0.05                 43            90
1.34          229                1                  2           256       1         0         6         8192        0           0           0.005736     NA          0.016007          0.021796            0.021795           0.09                 83            88
1.40          233                1                  1.9         256       1         0         1         1024        0           0           0.001263     NA          0.010869          0.009583            0.009583           0.02                 19            104
1.40          232                1                  1.9         256       1         0         1         4096        0           0           0.004835     NA          0.032802          0.030922            0.030922           0.07                 67            102
1.41          233                1                  1.9         256       1         0         1         8192        0           0           0.007812     NA          0.052725          0.054818            0.054817           0.13                 131           91
1.40          232                1                  1.9         256       1         0         2         1024        0           0           0.001870     NA          0.010944          0.011561            0.011560           0.02                 21            100
1.39          232                1                  1.9         256       1         0         2         4096        0           0           0.006752     NA          0.033778          0.034149            0.034148           0.07                 75            98
1.37          231                1                  1.9         256       1         0         2         8192        0           0           0.012297     NA          0.057394          0.063617            0.063616           0.14                 147           92
1.35          229                1                  1.9         256       1         0         3         1024        0           0           0.001331     NA          0.004582          0.013266            0.013266           0.03                 15            54
1.34          230                1                  1.9         256       1         0         3         4096        0           0           0.005983     NA          0.017397          0.031746            0.031745           0.07                 51            78
1.34          230                1                  1.9         256       1         0         3         8192        0           0           0.010176     NA          0.030133          0.062835            0.062834           0.13                 99            75
1.34          229                1                  1.9         256       1         0         4         1024        0           0           0.001531     NA          0.005408          0.012251            0.012250           0.02                 15            75
1.34          230                1                  1.9         256       1         0         4         4096        0           0           0.005700     NA          0.017147          0.034355            0.034354           0.07                 51            74
1.35          231                1                  1.9         256       1         0         4         8192        0           0           0.010018     NA          0.033545          0.050641            0.050640           0.12                 99            84
1.36          230                1                  1.9         256       1         0         5         1024        0           0           0.001698     NA          0.006890          0.014779            0.014778           0.02                 17            70
1.35          231                1                  1.9         256       1         0         5         4096        0           0           0.004956     NA          0.019969          0.034025            0.034025           0.07                 59            75
1.36          231                1                  1.9         256       1         0         5         8192        0           0           0.010330     NA          0.038542          0.062333            0.062333           0.13                 115           82
1.35          230                1                  1.9         256       1         0         6         1024        0           0           0.001195     NA          0.003795          0.004856            0.004854           0.02                 13            73
1.34          230                1                  1.9         256       1         0         6         4096        0           0           0.003129     NA          0.009811          0.012608            0.012607           0.05                 43            84
1.33          231                1                  1.9         256       1         0         6         8192        0           0           0.005658     NA          0.017896          0.024169            0.024168           0.09                 83            92
1.41          233                1                  1.8         256       1         0         1         1024        0           0           0.001491     NA          0.010656          0.010205            0.010205           0.02                 19            100
1.40          232                1                  1.8         256       1         0         1         4096        0           0           0.004148     NA          0.032138          0.031254            0.031253           0.07                 67            100
1.41          233                1                  1.8         256       1         0         1         8192        0           0           0.007650     NA          0.052214          0.054438            0.054437           0.12                 130           97
1.37          231                1                  1.8         256       1         0         2         1024        0           0           0.001812     NA          0.011655          0.013724            0.013723           0.03                 21            80
1.38          232                1                  1.8         256       1         0         2         4096        0           0           0.006798     NA          0.034267          0.033664            0.033663           0.07                 75            100
1.39          231                1                  1.8         256       1         0         2         8192        0           0           0.012174     NA          0.061250          0.062638            0.062637           0.14                 149           99
1.36          230                1                  1.8         256       1         0         3         1024        0           0           0.001594     NA          0.005700          0.011307            0.011306           0.02                 15            75
1.35          230                1                  1.8         256       1         0         3         4096        0           0           0.005799     NA          0.018393          0.031312            0.031311           0.08                 53            77
1.35          231                1                  1.8         256       1         0         3         8192        0           0           0.010329     NA          0.033299          0.065846            0.065846           0.14                 101           76
1.34          231                1                  1.8         256       1         0         4         1024        0           0           0.001557     NA          0.006162          0.011769            0.011768           0.02                 15            75
1.34          229                1                  1.8         256       1         0         4         4096        0           0           0.005773     NA          0.017833          0.028909            0.028909           0.06                 51            83
1.34          229                1                  1.8         256       1         0         4         8192        0           0           0.010408     NA          0.034366          0.048839            0.048838           0.12                 99            88
1.37          231                1                  1.8         256       1         0         5         1024        0           0           0.001626     NA          0.006792          0.013732            0.013731           0.02                 19            74
1.36          231                1                  1.8         256       1         0         5         4096        0           0           0.005823     NA          0.017968          0.030702            0.030701           0.07                 59            81
1.37          230                1                  1.8         256       1         0         5         8192        0           0           0.010307     NA          0.041972          0.055849            0.055849           0.13                 115           88
1.35          230                1                  1.8         256       1         0         6         1024        0           0           0.001178     NA          0.003718          0.005572            0.005571           0.02                 13            69
1.35          230                1                  1.8         256       1         0         6         4096        0           0           0.003115     NA          0.010198          0.013123            0.013122           0.05                 43            84
1.35          230                1                  1.8         256       1         0         6         8192        0           0           0.005687     NA          0.015785          0.024786            0.024785           0.10                 83            84
1.40          233                1                  1.7         256       1         0         1         1024        0           0           0.001413     NA          0.010258          0.009990            0.009989           0.03                 19            83
1.41          233                1                  1.7         256       1         0         1         4096        0           0           0.004140     NA          0.033360          0.030398            0.030398           0.06                 67            102
1.41          233                1                  1.7         256       1         0         1         8192        0           0           0.007694     NA          0.053925          0.055100            0.055099           0.12                 130           98
1.40          232                1                  1.7         256       1         0         2         1024        0           0           0.001813     NA          0.010795          0.012093            0.012092           0.02                 21            92
1.39          232                1                  1.7         256       1         0         2         4096        0           0           0.006760     NA          0.033222          0.034262            0.034261           0.08                 75            93
1.39          231                1                  1.7         256       1         0         2         8192        0           0           0.012350     NA          0.063795          0.064670            0.064669           0.14                 147           99
1.36          231                1                  1.7         256       1         0         3         1024        0           0           0.001354     NA          0.005155          0.012416            0.012415           0.03                 15            58
1.36          231                1                  1.7         256       1         0         3         4096        0           0           0.004977     NA          0.017363          0.037427            0.037426           0.08                 51            67
1.36          230                1                  1.7         256       1         0         3         8192        0           0           0.010532     NA          0.033486          0.063462            0.063461           0.14                 99            77
1.35          231                1                  1.7         256       1         0         4         1024        0           0           0.001515     NA          0.005745          0.011625            0.011624           0.02                 15            70
1.35          229                1                  1.7         256       1         0         4         4096        0           0           0.004880     NA          0.017270          0.032445            0.032444           0.08                 51            70
1.34          231                1                  1.7         256       1         0         4         8192        0           0           0.009880     NA          0.033345          0.054081            0.054080           0.13                 99            83
1.36          231                1                  1.7         256       1         0         5         1024        0           0           0.001641     NA          0.006980          0.013712            0.013712           0.03                 17            60
1.37          230                1                  1.7         256       1         0         5         4096        0           0           0.005883     NA          0.019358          0.033600            0.033599           0.07                 61            79
1.36          231                1                  1.7         256       1         0         5         8192        0           0           0.010668     NA          0.040673          0.060346            0.060345           0.13                 115           85
1.34          231                1                  1.7         256       1         0         6         1024        0           0           0.001182     NA          0.003586          0.005788            0.005787           0.01                 13            78
1.36          232                1                  1.7         256       1         0         6         4096        0           0           0.003113     NA          0.010273          0.013066            0.013066           0.05                 43            94
1.35          230                1                  1.7         256       1         0         6         8192        0           0           0.005804     NA          0.017759          0.023501            0.023500           0.09                 83            94
1.41          232                1                  1.6         256       1         0         1         1024        0           0           0.001442     NA          0.011226          0.012742            0.012741           0.02                 19            96
1.40          232                1                  1.6         256       1         0         1         4096        0           0           0.004124     NA          0.030860          0.031107            0.031106           0.07                 67            93
1.40          232                1                  1.6         256       1         0         1         8192        0           0           0.007702     NA          0.055681          0.056988            0.056987           0.13                 130           95
1.39          232                1                  1.6         256       1         0         2         1024        0           0           0.001851     NA          0.011093          0.012549            0.012548           0.03                 21            76
1.38          231                1                  1.6         256       1         0         2         4096        0           0           0.006960     NA          0.031845          0.035410            0.035410           0.07                 75            94
1.38          235                1                  1.6         256       1         0         2         8192        0           0           0.012132     NA          0.061173          0.065749            0.065748           0.14                 147           95
1.35          230                1                  1.6         256       1         0         3         1024        0           0           0.001529     NA          0.006183          0.011423            0.011422           0.02                 15            69
1.35          230                1                  1.6         256       1         0         3         4096        0           0           0.005901     NA          0.017841          0.035954            0.035953           0.07                 51            75
1.34          231                1                  1.6         256       1         0         3         8192        0           0           0.010099     NA          0.032418          0.065064            0.065063           0.14                 99            73
1.35          230                1                  1.6         256       1         0         4         1024        0           0           0.001559     NA          0.005743          0.012581            0.012580           0.02                 15            72
1.35          231                1                  1.6         256       1         0         4         4096        0           0           0.005742     NA          0.018406          0.031262            0.031262           0.07                 51            81
1.34          231                1                  1.6         256       1         0         4         8192        0           0           0.009972     NA          0.032442          0.055411            0.055411           0.13                 99            81
1.36          231                1                  1.6         256       1         0         5         1024        0           0           0.001618     NA          0.006953          0.013069            0.013068           0.02                 17            73
1.34          231                1                  1.6         256       1         0         5         4096        0           0           0.005823     NA          0.021113          0.033611            0.033610           0.08                 59            75
