comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;1;512;0;1;0;1;0;0;40960;0;1;.001970;NA;.140939;.109698;.109698;.160000;1273;671
0.02;3;1;0;1;512;0;1;0;1;1000;0;40960;0;1;.002085;NA;.169527;.114084;.114084;.163333;1274;781
0.02;3;1;0;1;512;0;1;0;1;10000;0;40960;0;1;.002081;NA;.165930;.108308;.108308;.160000;1275;780
0.02;3;1;0;1;512;0;1;0;1;100000;0;40960;0;1;.001979;NA;.151973;.111023;.111023;.158333;1275;723
0.02;3;1;0;1;512;0;1;0;1;500000;0;40960;0;1;.002069;NA;.148934;.112809;.112809;.161666;1273;699
0.02;3;1;0;1;512;0;1;0;2;0;0;40960;0;1;.007614;NA;.114418;.120628;.120628;.175000;1278;554
0.02;3;1;0;1;512;0;1;0;2;1000;0;40960;0;1;.006912;NA;.131101;.110213;.110213;.168333;1280;641
0.02;3;1;0;1;512;0;1;0;2;10000;0;40960;0;1;.008101;NA;.125945;.113115;.113115;.173333;1280;626
0.02;3;1;0;1;512;0;1;0;2;100000;0;40960;0;1;.006565;NA;.119811;.110177;.110177;.163333;1279;599
0.02;3;1;0;1;512;0;1;0;2;500000;0;40960;0;1;.006236;NA;.112810;.109339;.109339;.161666;1280;577
0.02;3;1;0;1;512;0;1;0;3;0;0;40960;0;1;.002065;NA;.088174;.110713;.110713;.158333;1276;475
0.02;3;1;0;1;512;0;1;0;3;1000;0;40960;0;1;.002197;NA;.102214;.114285;.114285;.170000;1278;501
0.02;3;1;0;1;512;0;1;0;3;10000;0;40960;0;1;.002493;NA;.102203;.098390;.098390;.146666;1278;579
0.02;3;1;0;1;512;0;1;0;3;100000;0;40960;0;1;.002666;NA;.096141;.094682;.094682;.145000;1276;570
0.01;3;1;0;1;512;0;1;0;3;500000;0;40960;0;1;.002097;NA;.089487;.091278;.091278;.136666;1276;556
0.02;3;1;0;1;512;0;1;0;4;0;0;40960;0;1;.002679;NA;.074948;.101972;.101972;.148333;1113;461
0.02;3;1;0;1;512;0;1;0;4;1000;0;40960;0;1;.002657;NA;.090160;.099552;.099552;.158333;1116;506
0.02;3;1;0;1;512;0;1;0;4;10000;0;40960;0;1;.002244;NA;.086641;.091349;.091349;.140000;1116;540
0.02;3;1;0;1;512;0;1;0;4;100000;0;40960;0;1;.002116;NA;.081821;.090466;.090466;.138333;1114;525
0.02;3;1;0;1;512;0;1;0;4;500000;0;40960;0;1;.002580;NA;.080523;.092179;.092179;.140000;1113;524
0.02;3;1;0;1;512;0;1;0;5;0;0;40960;0;1;.002632;NA;.088391;.105875;.105875;.156666;1116;495
0.02;3;1;0;1;512;0;1;0;5;1000;0;40960;0;1;.002750;NA;.106598;.106397;.106396;.156666;1118;564
0.02;3;1;0;1;512;0;1;0;5;10000;0;40960;0;1;.002670;NA;.105158;.101002;.101001;.151666;1118;584
0.02;3;1;0;1;512;0;1;0;5;100000;0;40960;0;1;.002549;NA;.094788;.094318;.094318;.141666;1116;577
0.01;3;1;0;1;512;0;1;0;5;500000;0;40960;0;1;.002451;NA;.090730;.096377;.096377;.145000;1116;538
0.02;3;1;0;1;512;0;1;0;6;0;0;40960;0;1;.000651;NA;.032062;.041788;.041787;.086666;643;475
0.02;3;1;0;1;512;0;1;0;6;1000;0;40960;0;1;.000905;NA;.038195;.048446;.048446;.095000;644;486
0.02;3;1;0;1;512;0;1;0;6;10000;0;40960;0;1;.000629;NA;.037152;.040832;.040832;.085000;644;526
0.02;3;1;0;1;512;0;1;0;6;100000;0;40960;0;1;.000716;NA;.037291;.037712;.037712;.083333;643;544
0.02;3;1;0;1;512;0;1;0;6;500000;0;40960;0;1;.000841;NA;.034604;.037602;.037602;.085000;643;558
